Line num,0
packages num,5,23
files num,8,144
Average Line num per featured file,3103
cache/cache,271
cmd/scanner/main,28
cmd/vuls/main,30
config/config,2289
constant/constant,22
contrib/future-vuls/cmd/main,88
contrib/owasp-dependency-check/parser/parser,59
contrib/trivy/cmd/main,72
contrib/trivy/parser/parser,5663
cwe/cwe,6275
detector/detector,1706
errof/errof,20
gost/gost,1341
logging/logging,96
models/models,4525
oval/oval,3583
reporter/reporter,2578
saas/saas,673
scanner/scanner,7725
server/server,110
subcmds/subcmds,1199
tui/tui,875
util/util,333
Filename, #,Concurrent Type, Line number , Number
detector/exploitdb.go,9,Unknown chan length,113,
detector/exploitdb.go,9,Unknown chan length,114,
detector/exploitdb.go,9,Unknown chan length,115,
detector/exploitdb.go,15,Close chan,116,
detector/exploitdb.go,15,Close chan,117,
detector/exploitdb.go,15,Close chan,118,
detector/exploitdb.go,1,Goroutine,120,
detector/exploitdb.go,3,Send,122,
detector/exploitdb.go,3,Send,131,
detector/exploitdb.go,16,Select (number of branch),132,1
detector/exploitdb.go,2,Receive,133,
detector/exploitdb.go,3,Send,139,
detector/exploitdb.go,16,Select (number of branch),151,3
detector/exploitdb.go,2,Receive,152,
detector/exploitdb.go,2,Receive,154,
detector/exploitdb.go,2,Receive,156,
detector/exploitdb.go,21,Send only chan (chan<-),173,
detector/exploitdb.go,21,Send only chan (chan<-),173,
detector/exploitdb.go,3,Send,195,
detector/exploitdb.go,3,Send,199,
detector/exploitdb.go,3,Send,203,
detector/cve_client.go,9,Unknown chan length,70,
detector/cve_client.go,9,Unknown chan length,71,
detector/cve_client.go,9,Unknown chan length,72,
detector/cve_client.go,15,Close chan,73,
detector/cve_client.go,15,Close chan,74,
detector/cve_client.go,15,Close chan,75,
detector/cve_client.go,1,Goroutine,77,
detector/cve_client.go,3,Send,79,
detector/cve_client.go,3,Send,86,
detector/cve_client.go,16,Select (number of branch),87,1
detector/cve_client.go,2,Receive,88,
detector/cve_client.go,3,Send,91,
detector/cve_client.go,16,Select (number of branch),103,3
detector/cve_client.go,2,Receive,104,
detector/cve_client.go,2,Receive,106,
detector/cve_client.go,2,Receive,108,
detector/cve_client.go,21,Send only chan (chan<-),119,
detector/cve_client.go,21,Send only chan (chan<-),119,
detector/cve_client.go,3,Send,136,
detector/cve_client.go,3,Send,141,
detector/cve_client.go,3,Send,144,
gost/util.go,9,Unknown chan length,27,
gost/util.go,9,Unknown chan length,28,
gost/util.go,9,Unknown chan length,29,
gost/util.go,15,Close chan,30,
gost/util.go,15,Close chan,31,
gost/util.go,15,Close chan,32,
gost/util.go,1,Goroutine,34,
gost/util.go,3,Send,36,
gost/util.go,3,Send,45,
gost/util.go,16,Select (number of branch),46,1
gost/util.go,2,Receive,47,
gost/util.go,3,Send,53,
gost/util.go,16,Select (number of branch),65,3
gost/util.go,2,Receive,66,
gost/util.go,2,Receive,68,
gost/util.go,2,Receive,70,
gost/util.go,9,Unknown chan length,94,
gost/util.go,9,Unknown chan length,95,
gost/util.go,9,Unknown chan length,96,
gost/util.go,15,Close chan,97,
gost/util.go,15,Close chan,98,
gost/util.go,15,Close chan,99,
gost/util.go,1,Goroutine,101,
gost/util.go,3,Send,103,
gost/util.go,3,Send,110,
gost/util.go,3,Send,121,
gost/util.go,16,Select (number of branch),122,1
gost/util.go,2,Receive,123,
gost/util.go,3,Send,130,
gost/util.go,16,Select (number of branch),142,3
gost/util.go,2,Receive,143,
gost/util.go,2,Receive,145,
gost/util.go,2,Receive,147,
gost/util.go,21,Send only chan (chan<-),157,
gost/util.go,21,Send only chan (chan<-),157,
gost/util.go,3,Send,179,
gost/util.go,3,Send,183,
gost/util.go,3,Send,187,
oval/util.go,9,Unknown chan length,103,
oval/util.go,9,Unknown chan length,104,
oval/util.go,9,Unknown chan length,105,
oval/util.go,15,Close chan,106,
oval/util.go,15,Close chan,107,
oval/util.go,15,Close chan,108,
oval/util.go,1,Goroutine,110,
oval/util.go,3,Send,112,
oval/util.go,3,Send,121,
oval/util.go,3,Send,134,
oval/util.go,16,Select (number of branch),135,1
oval/util.go,2,Receive,136,
oval/util.go,3,Send,145,
oval/util.go,16,Select (number of branch),157,3
oval/util.go,2,Receive,158,
oval/util.go,2,Receive,187,
oval/util.go,2,Receive,189,
oval/util.go,21,Send only chan (chan<-),199,
oval/util.go,21,Send only chan (chan<-),199,
oval/util.go,3,Send,220,
oval/util.go,3,Send,224,
oval/util.go,3,Send,230,
oval/util.go,3,Send,233,
scanner/executil.go,9,Unknown chan length,67,
scanner/executil.go,15,Close chan,68,
scanner/executil.go,5,Go in for,71,
scanner/executil.go,1,Goroutine,71,
scanner/executil.go,3,Send,80,
scanner/executil.go,3,Send,82,
scanner/executil.go,16,Select (number of branch),97,2
scanner/executil.go,2,Receive,98,
scanner/executil.go,2,Receive,106,
scanner/serverapi.go,9,Unknown chan length,270,
scanner/serverapi.go,15,Close chan,271,
scanner/serverapi.go,5,Go in for,273,
scanner/serverapi.go,1,Goroutine,273,
scanner/serverapi.go,3,Send,279,
scanner/serverapi.go,16,Select (number of branch),285,2
scanner/serverapi.go,2,Receive,286,
scanner/serverapi.go,2,Receive,296,
scanner/serverapi.go,9,Unknown chan length,322,
scanner/serverapi.go,15,Close chan,323,
scanner/serverapi.go,5,Go in for,325,
scanner/serverapi.go,1,Goroutine,325,
scanner/serverapi.go,3,Send,332,
scanner/serverapi.go,16,Select (number of branch),338,2
scanner/serverapi.go,2,Receive,339,
scanner/serverapi.go,2,Receive,351,
scanner/serverapi.go,8,Known chan length (length),494,1
scanner/serverapi.go,1,Goroutine,495,
scanner/serverapi.go,3,Send,497,
scanner/serverapi.go,16,Select (number of branch),501,2
scanner/serverapi.go,2,Receive,502,
scanner/serverapi.go,2,Receive,504,
scanner/debian.go,9,Unknown chan length,692,
scanner/debian.go,9,Unknown chan length,693,
scanner/debian.go,9,Unknown chan length,694,
scanner/debian.go,15,Close chan,695,
scanner/debian.go,15,Close chan,696,
scanner/debian.go,15,Close chan,697,
scanner/debian.go,1,Goroutine,699,
scanner/debian.go,3,Send,701,
scanner/debian.go,3,Send,709,
