Line num,0
packages num,2,7
files num,6,85
Average Line num per featured file,3611
gin,5439
binding/binding,2732
ginS/ginS,87
internal/bytesconv/bytesconv,91
internal/json/json,28
render/render,846
testdata/protoexample/protoexample,246
Filename, #,Concurrent Type, Line number , Number
debug_test.go,4,Synchronous chan,137,
debug_test.go,1,Goroutine,140,
debug_test.go,3,Send,145,
debug_test.go,2,Receive,150,
gin_integration_test.go,1,Goroutine,67,
gin_integration_test.go,1,Goroutine,94,
gin_integration_test.go,1,Goroutine,114,
gin_integration_test.go,1,Goroutine,131,
gin_integration_test.go,1,Goroutine,149,
gin_integration_test.go,1,Goroutine,180,
gin_integration_test.go,1,Goroutine,203,
gin_integration_test.go,1,Goroutine,224,
gin_integration_test.go,1,Goroutine,243,
gin_integration_test.go,1,Goroutine,279,
gin_integration_test.go,1,Goroutine,311,
gin_integration_test.go,5,Go in for,364,
gin_integration_test.go,1,Goroutine,364,
context.go,17,Select with default (number of branch),1068,2
context.go,2,Receive,1069,
githubapi_test.go,1,Goroutine,357,
githubapi_test.go,1,Goroutine,358,
context_test.go,3,Send,1955,
context_test.go,1,Goroutine,2022,
context_test.go,2,Receive,2083,
render/render_test.go,4,Synchronous chan,45,
render/render_test.go,4,Synchronous chan,67,
render/render_test.go,4,Synchronous chan,104,
render/render_test.go,4,Synchronous chan,156,
render/render_test.go,4,Synchronous chan,186,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/msgpack.go,0,Mutex,33,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/msgpack.go,0,Mutex,33,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/binding_msgpack_test.go,0,Mutex,23,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/binding_msgpack_test.go,0,Mutex,23,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/binding_test.go,0,Mutex,690,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/binding_test.go,0,Mutex,702,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/binding_test.go,0,Mutex,1311,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/binding_test.go,0,Mutex,1334,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/form_mapping_benchmark_test.go,0,Mutex,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/form_mapping_benchmark_test.go,0,Mutex,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/form_mapping_benchmark_test.go,0,Mutex,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/form_mapping_benchmark_test.go,0,Mutex,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/form_mapping_benchmark_test.go,0,Mutex,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/form_mapping_benchmark_test.go,0,Mutex,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/msgpack_test.go,0,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/msgpack_test.go,0,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/validate_test.go,0,Mutex,213,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/binding/validate_test.go,0,Mutex,213,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/msgpack.go,0,Mutex,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/msgpack.go,0,Mutex,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_msgpack_test.go,0,Mutex,35,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_msgpack_test.go,0,Mutex,35,
