Line num,0
packages num,9,27
files num,36,285
Average Line num per featured file,7252
main,31
commands/commands,6118
config/config_test,1671
creds/creds,799
docs/man/main,134
errors/errors_test,540
filepathfilter/filepathfilter,259
fs/fs,342
git/git_test,3220
git/gitattr/gitattr,685
git/githistory/githistory,1029
lfs/lfs_test,3597
lfsapi/lfsapi,2039
lfshttp/lfshttp,2748
lfshttp/standalone/standalone,231
locking/locking,1583
script/main,78
ssh/ssh_test,996
subprocess/subprocess,392
t/cmd/main,2351
t/cmd/util/util,391
t/git-lfs-test-server-api/main,534
tasklog/tasklog,699
tools/tools_test,2378
tools/humanize/humanize,357
tools/kv/kv,283
tq/tq,3354
Filename, #,Concurrent Type, Line number , Number
git-lfs.go,4,Synchronous chan,14,
git-lfs.go,1,Goroutine,19,
git-lfs.go,2,Receive,21,
commands/command_fetch.go,21,Send only chan (chan<-),326,
commands/command_fetch.go,3,Send,337,
commands/command_fetch.go,1,Goroutine,342,
commands/command_fetch.go,3,Send,357,
commands/command_pull.go,1,Goroutine,79,
commands/command_prune.go,8,Known chan length (length),86,10
commands/command_prune.go,1,Goroutine,90,
commands/command_prune.go,1,Goroutine,93,
commands/command_prune.go,8,Known chan length (length),96,100
commands/command_prune.go,1,Goroutine,103,
commands/command_prune.go,1,Goroutine,104,
commands/command_prune.go,1,Goroutine,105,
commands/command_prune.go,1,Goroutine,106,
commands/command_prune.go,1,Goroutine,109,
commands/command_prune.go,1,Goroutine,115,
commands/command_prune.go,1,Goroutine,120,
commands/command_prune.go,15,Close chan,124,
commands/command_prune.go,15,Close chan,127,
commands/command_prune.go,1,Goroutine,151,
commands/command_prune.go,3,Send,155,
commands/command_prune.go,22,chan used as a param,277,
commands/command_prune.go,3,Send,284,
commands/command_prune.go,22,chan used as a param,290,
commands/command_prune.go,3,Send,330,
commands/command_prune.go,22,chan used as a param,336,
commands/command_prune.go,22,chan used as a param,336,
commands/command_prune.go,3,Send,344,
commands/command_prune.go,3,Send,348,
commands/command_prune.go,3,Send,353,
commands/command_prune.go,22,chan used as a param,358,
commands/command_prune.go,22,chan used as a param,358,
commands/command_prune.go,3,Send,366,
commands/command_prune.go,3,Send,370,
commands/command_prune.go,3,Send,375,
