Line num,0
packages num,3,7
files num,7,35
Average Line num per featured file,3321
go/base/base,1036
go/binlog/binlog,221
go/cmd/gh-ost/main,267
go/logic/logic,3754
go/mysql/mysql,769
go/os/os,41
go/sql/sql,1889
Filename, #,Concurrent Type, Line number , Number
go/binlog/gomysql_reader.go,21,Send only chan (chan<-),80,
go/binlog/gomysql_reader.go,3,Send,121,
go/binlog/gomysql_reader.go,21,Send only chan (chan<-),128,
go/cmd/gh-ost/main.go,8,Known chan length (length),28,1
go/cmd/gh-ost/main.go,1,Goroutine,31,
go/cmd/gh-ost/main.go,6,Range over chan,32,
go/logic/streamer.go,1,Goroutine,97,
go/logic/streamer.go,1,Goroutine,171,
go/logic/server.go,1,Goroutine,74,
go/logic/server.go,5,Go in for,80,
go/logic/server.go,1,Goroutine,80,
go/logic/server.go,1,Goroutine,83,
go/logic/server.go,5,Go in for,92,
go/logic/server.go,1,Goroutine,92,
go/logic/server.go,3,Send,362,
go/logic/throttler.go,21,Send only chan (chan<-),133,
go/logic/throttler.go,3,Send,162,
go/logic/throttler.go,5,Go in for,169,
go/logic/throttler.go,1,Goroutine,169,
go/logic/throttler.go,9,Unknown chan length,209,
go/logic/throttler.go,5,Go in for,215,
go/logic/throttler.go,1,Goroutine,215,
go/logic/throttler.go,3,Send,217,
go/logic/throttler.go,2,Receive,221,
go/logic/throttler.go,21,Send only chan (chan<-),279,
go/logic/throttler.go,3,Send,304,
go/logic/throttler.go,3,Send,340,
go/logic/throttler.go,1,Goroutine,354,
go/logic/throttler.go,3,Send,363,
go/logic/throttler.go,1,Goroutine,367,
go/logic/throttler.go,2,Receive,369,
go/logic/throttler.go,3,Send,371,
go/logic/throttler.go,21,Send only chan (chan<-),417,
go/logic/throttler.go,1,Goroutine,418,
go/logic/throttler.go,1,Goroutine,419,
go/logic/throttler.go,1,Goroutine,420,
go/logic/throttler.go,1,Goroutine,422,
go/logic/throttler.go,3,Send,424,
go/logic/applier.go,22,chan used as a param,813,
go/logic/applier.go,21,Send only chan (chan<-),813,
go/logic/applier.go,20,Receive only chan (<-chan),813,
go/logic/applier.go,21,Send only chan (chan<-),813,
go/logic/applier.go,3,Send,816,
go/logic/applier.go,3,Send,820,
go/logic/applier.go,3,Send,821,
go/logic/applier.go,3,Send,822,
go/logic/applier.go,3,Send,828,
go/logic/applier.go,3,Send,831,
go/logic/applier.go,3,Send,839,
go/logic/applier.go,3,Send,847,
go/logic/applier.go,3,Send,852,
go/logic/applier.go,3,Send,870,
go/logic/applier.go,3,Send,874,
go/logic/applier.go,2,Receive,881,
go/logic/applier.go,3,Send,908,
go/logic/applier.go,3,Send,912,
go/logic/applier.go,22,chan used as a param,917,
go/logic/applier.go,21,Send only chan (chan<-),917,
go/logic/applier.go,3,Send,924,
go/logic/applier.go,3,Send,925,
go/logic/applier.go,3,Send,931,
go/logic/applier.go,3,Send,951,
go/logic/applier.go,3,Send,954,
go/logic/migrator.go,4,Synchronous chan,93,
go/logic/migrator.go,8,Known chan length (length),94,3
go/logic/migrator.go,4,Synchronous chan,95,
go/logic/migrator.go,4,Synchronous chan,96,
go/logic/migrator.go,4,Synchronous chan,98,
go/logic/migrator.go,9,Unknown chan length,99,
go/logic/migrator.go,3,Send,146,
go/logic/migrator.go,3,Send,174,
go/logic/migrator.go,2,Receive,192,
go/logic/migrator.go,3,Send,193,
go/logic/migrator.go,1,Goroutine,197,
go/logic/migrator.go,3,Send,200,
go/logic/migrator.go,3,Send,230,
go/logic/migrator.go,3,Send,235,
go/logic/migrator.go,1,Goroutine,243,
go/logic/migrator.go,3,Send,244,
go/logic/migrator.go,2,Receive,270,
go/logic/migrator.go,1,Goroutine,315,
go/logic/migrator.go,1,Goroutine,342,
go/logic/migrator.go,2,Receive,376,
go/logic/migrator.go,1,Goroutine,410,
go/logic/migrator.go,1,Goroutine,411,
go/logic/migrator.go,1,Goroutine,413,
go/logic/migrator.go,16,Select (number of branch),578,2
go/logic/migrator.go,2,Receive,579,
go/logic/migrator.go,2,Receive,583,
go/logic/migrator.go,8,Known chan length (length),636,4
go/logic/migrator.go,3,Send,639,
go/logic/migrator.go,8,Known chan length (length),647,2
go/logic/migrator.go,8,Known chan length (length),648,2
go/logic/migrator.go,8,Known chan length (length),649,2
go/logic/migrator.go,1,Goroutine,650,
go/logic/migrator.go,2,Receive,655,
go/logic/migrator.go,2,Receive,658,
go/logic/migrator.go,8,Known chan length (length),671,2
go/logic/migrator.go,8,Known chan length (length),672,2
go/logic/migrator.go,1,Goroutine,673,
go/logic/migrator.go,3,Send,677,
go/logic/migrator.go,2,Receive,680,
go/logic/migrator.go,3,Send,694,
go/logic/migrator.go,3,Send,709,
go/logic/migrator.go,2,Receive,712,
go/logic/migrator.go,2,Receive,715,
go/logic/migrator.go,1,Goroutine,739,
go/logic/migrator.go,5,Go in for,814,
go/logic/migrator.go,1,Goroutine,814,
go/logic/migrator.go,1,Goroutine,1039,
go/logic/migrator.go,3,Send,1043,
go/logic/migrator.go,1,Goroutine,1048,
go/logic/migrator.go,3,Send,1068,
go/logic/migrator.go,1,Goroutine,1079,
go/logic/migrator.go,2,Receive,1081,
go/logic/migrator.go,2,Receive,1082,
go/logic/migrator.go,2,Receive,1083,
go/logic/migrator.go,1,Goroutine,1085,
go/logic/migrator.go,1,Goroutine,1121,
go/logic/migrator.go,3,Send,1129,
go/logic/migrator.go,3,Send,1196,
go/logic/migrator.go,2,Receive,1226,
go/logic/migrator.go,17,Select with default (number of branch),1269,2
go/logic/migrator.go,2,Receive,1270,
go/logic/migrator.go,17,Select with default (number of branch),1278,2
go/logic/migrator.go,2,Receive,1279,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,385,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,385,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,385,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,408,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,408,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,408,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,462,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,462,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,462,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,509,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,509,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,509,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,509,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,509,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,814,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,814,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,814,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,814,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,814,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,918,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,918,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,918,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,918,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,918,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,1021,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,1021,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,1021,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,1021,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/applier.go,0,Mutex,1021,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/hooks.go,0,Mutex,84,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/migrator.go,0,Mutex,90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/migrator.go,0,Mutex,90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/migrator.go,0,Mutex,90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/migrator.go,0,Mutex,90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/github++gh-ost/go/logic/migrator.go,0,Mutex,90,
