Line num,0
packages num,3,5
files num,16,46
Average Line num per featured file,1112
termui,1088
_examples/main,975
_test/main,23
drawille/drawille,74
widgets/widgets,1246
Filename, #,Concurrent Type, Line number , Number
events.go,4,Synchronous chan,71,
events.go,1,Goroutine,72,
events.go,3,Send,74,
_examples/tabs.go,2,Receive,58,
_examples/gauge.go,2,Receive,66,
_examples/table.go,2,Receive,66,
_examples/barchart.go,2,Receive,36,
_examples/stacked_barchart.go,2,Receive,38,
_examples/piechart.go,16,Select (number of branch),59,2
_examples/piechart.go,2,Receive,60,
_examples/piechart.go,2,Receive,67,
_examples/plot.go,2,Receive,78,
_examples/tree.go,2,Receive,84,
_examples/list.go,2,Receive,45,
_examples/paragraph.go,2,Receive,53,
_examples/demo.go,16,Select (number of branch),141,2
_examples/demo.go,2,Receive,142,
_examples/demo.go,2,Receive,147,
_examples/image.go,2,Receive,69,
_examples/grid.go,16,Select (number of branch),98,2
_examples/grid.go,2,Receive,99,
_examples/grid.go,2,Receive,109,
_examples/sparkline.go,2,Receive,61,
_test/log_events.go,2,Receive,26,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gizak++termui/grid.go,0,Mutex,33,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gizak++termui/widgets/plot.go,0,Mutex,80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gizak++termui/_examples/tree.go,0,Mutex,70,
