Line num,0
packages num,44,138
files num,108,1378
Average Line num per featured file,13878
main,162
build/main,504
cmd/cmd,5531
contrib/environment-to-ini/main,206
contrib/fixtures/main,63
contrib/pr/main,193
integrations/integrations,13691
integrations/migration-test/migrations,242
models/models,35027
models/migrations/migrations,5724
modules/analyze/analyze,109
modules/auth/openid/openid,88
modules/auth/pam/pam,43
modules/avatar/avatar,124
modules/base/base,583
modules/cache/cache,472
modules/charset/charset,315
modules/context/context,2664
modules/convert/convert,1463
modules/cron/cron,517
modules/csv/csv,113
modules/doctor/doctor,910
modules/emoji/emoji,3301
modules/eventsource/eventsource,337
modules/generate/generate,48
modules/git/git,0
modules/git/pipeline/pipeline,498
modules/gitgraph/gitgraph,1256
modules/graceful/graceful,1153
modules/hcaptcha/hcaptcha,23
modules/highlight/highlight,249
modules/httpcache/httpcache,171
modules/httplib/httplib,365
modules/indexer/bleve/bleve,40
modules/indexer/code/code,1461
modules/indexer/issues/issues,891
modules/indexer/stats/stats,170
modules/json/json,89
modules/lfs/lfs,1411
modules/log/log,2984
modules/markup/markup_test,2015
modules/markup/common/common,533
modules/markup/csv/markup,144
modules/markup/external/external,102
modules/markup/markdown/markdown_test,1248
modules/markup/mdstripper/mdstripper,228
modules/markup/orgmode/markup,173
modules/matchlist/matchlist,32
modules/metrics/metrics,305
modules/migrations/migrations,6386
modules/migrations/base/base,480
modules/nosql/nosql,475
modules/notification/notification,215
modules/notification/action/action,414
modules/notification/base/base,135
modules/notification/indexer/indexer,127
modules/notification/mail/mail,161
modules/notification/ui/ui,210
modules/notification/webhook/webhook,726
modules/options/options,230
modules/password/password,181
modules/pprof/pprof,34
modules/private/private,570
modules/process/process,201
modules/proxy/proxy,65
modules/public/public,220
modules/queue/queue,2946
modules/recaptcha/recaptcha,71
modules/references/references,854
modules/repofiles/repofiles,2413
modules/repository/repository,1901
modules/secret/secret,95
modules/session/session,421
modules/setting/setting,0
modules/ssh/ssh,307
modules/storage/storage,470
modules/structs/structs,1636
modules/svg/svg,42
modules/sync/sync,169
modules/task/task,218
modules/templates/templates,1179
modules/timeutil/timeutil,443
modules/translation/translation,73
modules/typesniffer/typesniffer,141
modules/upload/upload,160
modules/uri/uri,43
modules/user/user,63
modules/util/util,1006
modules/validation/validation,886
modules/web/web,436
modules/web/middleware/middleware,381
routers/routers,126
routers/api/v1/v1,0
routers/api/v1/admin/admin,456
routers/api/v1/misc/misc,254
routers/api/v1/notify/notify,272
routers/api/v1/org/org,756
routers/api/v1/repo/repo,6330
routers/api/v1/settings/settings,40
routers/api/v1/swagger/swagger,369
routers/api/v1/user/user,983
routers/api/v1/utils/utils,333
routers/common/common,197
routers/install/install,527
routers/private/private,1377
routers/utils/utils,128
routers/web/web,0
routers/web/admin/admin,1705
routers/web/dev/dev,20
