Line num,0
packages num,25,57
files num,52,254
Average Line num per featured file,8034
auth/basic/basic,116
auth/casbin/casbin,84
auth/jwt/jwt,409
circuitbreaker/circuitbreaker_test,177
endpoint/endpoint_test,52
log/log_test,170
log/deprecated_levels/levels_test,123
log/level/level_test,80
log/logrus/logrus_test,158
log/syslog/syslog,33
log/term/term_test,97
log/zap/zap_test,105
metrics/metrics_test,88
metrics/cloudwatch/cloudwatch,539
metrics/cloudwatch2/cloudwatch2,306
metrics/discard/discard,15
metrics/dogstatsd/dogstatsd,381
metrics/expvar/expvar,88
metrics/generic/generic_test,323
metrics/graphite/graphite,184
metrics/influx/influx,381
metrics/influxstatsd/influxstatsd,369
metrics/internal/convert/convert,131
metrics/internal/lv/lv,218
metrics/internal/ratemap/ratemap,25
metrics/multi/multi,134
metrics/pcp/pcp,116
metrics/prometheus/prometheus,278
metrics/provider/provider,189
metrics/statsd/statsd,211
metrics/teststat/teststat,196
ratelimit/ratelimit_test,76
sd/sd,414
sd/consul/consul,638
sd/dnssrv/dnssrv,166
sd/etcd/etcd,806
sd/etcdv3/etcdv3,764
sd/eureka/eureka,536
sd/internal/instance/instance,151
sd/lb/lb_test,404
sd/zk/zk,849
tracing/tracing,1
tracing/opencensus/opencensus,1199
tracing/opentracing/opentracing_test,672
tracing/zipkin/zipkin_test,689
transport/transport_test,45
transport/amqp/amqp_test,1063
transport/awslambda/awslambda,416
transport/grpc/grpc_test,315
transport/grpc/_grpc_test/test,251
transport/grpc/_grpc_test/pb/pb,252
transport/http/http_test,1110
transport/http/jsonrpc/jsonrpc_test,1317
transport/http/proto/proto,278
transport/httprp/httprp_test,170
transport/nats/nats_test,909
util/conn/conn,223
Filename, #,Concurrent Type, Line number , Number
auth/jwt/middleware_test.go,5,Go in for,215,
auth/jwt/middleware_test.go,7,Goroutine in for with constant (constant),215,100
auth/jwt/middleware_test.go,1,Goroutine,215,
log/example_test.go,1,Goroutine,127,
log/example_test.go,1,Goroutine,128,
metrics/cloudwatch/cloudwatch.go,9,Unknown chan length,109,
metrics/cloudwatch/cloudwatch.go,20,Receive only chan (<-chan),144,
metrics/cloudwatch/cloudwatch.go,16,Select (number of branch),146,2
metrics/cloudwatch/cloudwatch.go,2,Receive,147,
metrics/cloudwatch/cloudwatch.go,2,Receive,151,
metrics/cloudwatch/cloudwatch.go,9,Unknown chan length,242,
metrics/cloudwatch/cloudwatch.go,9,Unknown chan length,242,
metrics/cloudwatch/cloudwatch.go,5,Go in for,244,
metrics/cloudwatch/cloudwatch.go,1,Goroutine,244,
metrics/cloudwatch/cloudwatch.go,3,Send,245,
metrics/cloudwatch/cloudwatch.go,2,Receive,247,
metrics/cloudwatch/cloudwatch.go,3,Send,253,
metrics/cloudwatch/cloudwatch.go,2,Receive,258,
metrics/cloudwatch2/cloudwatch2.go,9,Unknown chan length,87,
metrics/cloudwatch2/cloudwatch2.go,20,Receive only chan (<-chan),119,
metrics/cloudwatch2/cloudwatch2.go,16,Select (number of branch),121,2
metrics/cloudwatch2/cloudwatch2.go,2,Receive,122,
metrics/cloudwatch2/cloudwatch2.go,2,Receive,126,
metrics/cloudwatch2/cloudwatch2.go,3,Send,166,
metrics/cloudwatch2/cloudwatch2.go,2,Receive,168,
metrics/dogstatsd/dogstatsd.go,20,Receive only chan (<-chan),117,
metrics/dogstatsd/dogstatsd.go,16,Select (number of branch),119,2
metrics/dogstatsd/dogstatsd.go,2,Receive,120,
metrics/dogstatsd/dogstatsd.go,2,Receive,124,
metrics/dogstatsd/dogstatsd.go,20,Receive only chan (<-chan),135,
metrics/generic/generic_test.go,5,Go in for,84,
metrics/generic/generic_test.go,1,Goroutine,84,
metrics/graphite/graphite.go,20,Receive only chan (<-chan),90,
metrics/graphite/graphite.go,16,Select (number of branch),92,2
metrics/graphite/graphite.go,2,Receive,93,
metrics/graphite/graphite.go,2,Receive,97,
metrics/graphite/graphite.go,20,Receive only chan (<-chan),108,
metrics/influx/influx.go,20,Receive only chan (<-chan),92,
metrics/influx/influx.go,16,Select (number of branch),94,2
metrics/influx/influx.go,2,Receive,95,
metrics/influx/influx.go,2,Receive,99,
metrics/influxstatsd/influxstatsd.go,20,Receive only chan (<-chan),116,
metrics/influxstatsd/influxstatsd.go,16,Select (number of branch),118,2
metrics/influxstatsd/influxstatsd.go,2,Receive,119,
