Line num,0
packages num,23,145
files num,38,730
Average Line num per featured file,13002
main,311
bufferpool/bufferpool,30
cache/filecache/filecache,964
cache/namedmemcache/namedmemcache,94
codegen/codegen,445
commands/commands,2609
common/collections/collections,274
common/constants/constants,7
common/herrors/herrors,486
common/hexec/hexec,20
common/hreflect/hreflect,103
common/htime/htime,186
common/hugio/hugio,138
common/hugo/hugo,372
common/loggers/loggers,306
common/maps/maps,898
common/math/math,204
common/para/para,107
common/paths/paths,614
common/terminal/terminal,39
common/text/text,116
common/types/types,290
common/urls/urls,5
compare/compare,124
config/config,1006
config/privacy/privacy,123
config/services/services,88
create/create_test,558
deploy/deploy,1750
deps/deps,287
docshelper/docshelper,28
helpers/helpers,2860
htesting/htesting,125
htesting/hqt/hqt,93
hugofs/hugofs,2876
hugofs/files/files,194
hugofs/glob/glob,133
hugolib/hugolib,20406
hugolib/filesystems/filesystems,886
hugolib/paths/paths,301
identity/identity,173
langs/langs,368
langs/i18n/i18n,726
lazy/lazy,337
livereload/livereload,178
markup/markup,116
markup/asciidocext/asciidocext,651
markup/asciidocext/asciidocext_config/asciidocext_config,55
markup/blackfriday/blackfriday,399
markup/blackfriday/blackfriday_config/blackfriday_config,43
markup/converter/converter,82
markup/converter/hooks/hooks,89
markup/goldmark/goldmark,1352
markup/goldmark/goldmark_config/goldmark_config,56
markup/goldmark/internal/extensions/attributes/attributes,96
markup/highlight/highlight,395
markup/internal/internal,47
markup/markup_config/markup_config,144
markup/mmark/mmark,174
markup/org/org,70
markup/pandoc/pandoc,73
markup/rst/rst,98
markup/tableofcontents/tableofcontents,243
media/media,560
metrics/metrics,243
minifiers/minifiers,378
modules/modules,1775
modules/npm/npm,241
navigation/navigation,503
output/output,1761
parser/parser,160
parser/metadecoders/metadecoders,555
parser/pageparser/pageparser,1516
publisher/publisher,610
related/related,552
releaser/releaser,956
resources/resources,3462
resources/images/images,1185
resources/images/exif/exif,306
resources/images/webp/webp,26
resources/internal/internal,33
resources/jsconfig/jsconfig,73
resources/page/page,2865
resources/page/page_generate/page_generate,176
resources/page/pagemeta/pagemeta,618
resources/postpub/postpub,196
resources/resource/resource,302
resources/resource_factories/bundler/bundler,125
resources/resource_factories/create/create,88
resources/resource_transformers/babel/babel,163
resources/resource_transformers/htesting/htesting,53
resources/resource_transformers/integrity/integrity,124
resources/resource_transformers/js/js,566
resources/resource_transformers/minifier/minifier,57
resources/resource_transformers/postcss/postcss,399
resources/resource_transformers/templates/templates,48
resources/resource_transformers/tocss/dartsass/dartsass,229
resources/resource_transformers/tocss/scss/scss,230
scripts/fork_go_templates/main,183
source/source,512
tpl/tpl,141
tpl/cast/cast,217
tpl/collections/collections,4169
tpl/compare/compare,691
tpl/crypto/crypto,236
tpl/data/data,733
tpl/debug/debug,63
tpl/encoding/encoding,194
tpl/fmt/fmt,123
tpl/hugo/hugo,46
tpl/images/images,198
tpl/inflect/inflect,144
tpl/internal/internal,219
tpl/internal/go_templates/cfg/cfg,55
tpl/internal/go_templates/fmtsort/fmtsort_test,411
tpl/internal/go_templates/htmltemplate/template_test,8184
tpl/internal/go_templates/testenv/testenv,251
tpl/internal/go_templates/texttemplate/template_test,4046
tpl/internal/go_templates/texttemplate/parse/parse,2961
tpl/internal/resourcehelpers/resourcehelpers,43
tpl/js/js,57
tpl/lang/lang,341
tpl/math/math,597
tpl/openapi/openapi3/openapi3,84
tpl/os/os,247
tpl/partials/partials,238
tpl/path/path,274
tpl/reflect/reflect,103
tpl/resources/resources,292
tpl/safe/safe,263
tpl/site/site,49
tpl/strings/strings,1537
tpl/templates/templates,64
tpl/time/time,298
tpl/tplimpl/tplimpl,1744
tpl/tplimpl/embedded/embedded,656
tpl/tplimpl/embedded/generate/main,51
tpl/transform/transform,854
tpl/urls/urls,253
transform/transform,111
transform/livereloadinject/livereloadinject,94
transform/metainject/metainject,76
transform/urlreplacers/urlreplacers,379
watcher/watcher,57
watcher/filenotify/filenotify,516
Filename, #,Concurrent Type, Line number , Number
cache/filecache/filecache_test.go,5,Go in for,226,
cache/filecache/filecache_test.go,7,Goroutine in for with constant (constant),226,50
cache/filecache/filecache_test.go,1,Goroutine,226,
cache/namedmemcache/named_cache_test.go,5,Go in for,69,
cache/namedmemcache/named_cache_test.go,7,Goroutine in for with constant (constant),69,10
cache/namedmemcache/named_cache_test.go,1,Goroutine,69,
commands/server_test.go,4,Synchronous chan,48,
commands/server_test.go,1,Goroutine,56,
commands/server_test.go,3,Send,75,
commands/commandeer.go,2,Receive,113,
commands/server.go,20,Receive only chan (<-chan),71,
commands/server.go,8,Known chan length (length),507,1
commands/server.go,5,Go in for,523,
commands/server.go,1,Goroutine,523,
commands/server.go,16,Select (number of branch),535,2
commands/server.go,2,Receive,536,
commands/server.go,2,Receive,537,
commands/server.go,2,Receive,540,
commands/server.go,1,Goroutine,615,
commands/hugo.go,4,Synchronous chan,421,
commands/hugo.go,1,Goroutine,428,
commands/hugo.go,16,Select (number of branch),430,2
commands/hugo.go,2,Receive,431,
commands/hugo.go,2,Receive,433,
commands/hugo.go,15,Close chan,442,
commands/hugo.go,8,Known chan length (length),532,1
commands/hugo.go,2,Receive,535,
commands/hugo.go,1,Goroutine,780,
commands/hugo.go,1,Goroutine,863,
commands/hugo.go,16,Select (number of branch),865,2
commands/hugo.go,2,Receive,866,
commands/hugo.go,2,Receive,872,
common/maps/scratch_test.go,5,Go in for,142,
common/maps/scratch_test.go,7,Goroutine in for with constant (constant),142,10
common/maps/scratch_test.go,1,Goroutine,142,
common/para/para.go,16,Select (number of branch),45,2
common/para/para.go,3,Send,46,
common/para/para.go,2,Receive,47,
common/para/para.go,2,Receive,53,
common/types/evictingqueue_test.go,5,Go in for,60,
common/types/evictingqueue_test.go,7,Goroutine in for with constant (constant),60,100
common/types/evictingqueue_test.go,1,Goroutine,60,
deploy/deploy.go,10,Make chan in for,199,
deploy/deploy.go,8,Known chan length (length),199,10
deploy/deploy.go,5,Go in for,209,
deploy/deploy.go,3,Send,208,
deploy/deploy.go,1,Goroutine,209,
deploy/deploy.go,2,Receive,215,
deploy/deploy.go,3,Send,220,
deploy/deploy.go,8,Known chan length (length),230,10
deploy/deploy.go,5,Go in for,239,
deploy/deploy.go,3,Send,238,
deploy/deploy.go,1,Goroutine,239,
deploy/deploy.go,2,Receive,250,
