Line num,0
packages num,2,6
files num,3,16
Average Line num per featured file,521
groupcache,1442
consistenthash/consistenthash,113
groupcachepb/groupcachepb,49
lru/lru,158
singleflight/singleflight,96
testpb/testpb,193
Filename, #,Concurrent Type, Line number , Number
http_test.go,5,Go in for,71,
http_test.go,7,Goroutine in for with constant (constant),71,4
http_test.go,1,Goroutine,71,
groupcache_test.go,4,Synchronous chan,43,
groupcache_test.go,2,Receive,64,
groupcache_test.go,2,Receive,72,
groupcache_test.go,8,Known chan length (length),89,2
groupcache_test.go,5,Go in for,91,
groupcache_test.go,7,Goroutine in for with constant (constant),91,2
groupcache_test.go,1,Goroutine,91,
groupcache_test.go,3,Send,94,
groupcache_test.go,3,Send,97,
groupcache_test.go,3,Send,110,
groupcache_test.go,16,Select (number of branch),113,2
groupcache_test.go,2,Receive,114,
groupcache_test.go,2,Receive,118,
groupcache_test.go,8,Known chan length (length),131,2
groupcache_test.go,5,Go in for,133,
groupcache_test.go,7,Goroutine in for with constant (constant),133,2
groupcache_test.go,1,Goroutine,133,
groupcache_test.go,3,Send,138,
groupcache_test.go,3,Send,151,
groupcache_test.go,16,Select (number of branch),157,2
groupcache_test.go,2,Receive,158,
groupcache_test.go,2,Receive,162,
groupcache_test.go,2,Receive,379,
groupcache_test.go,2,Receive,380,
groupcache_test.go,4,Synchronous chan,396,
groupcache_test.go,4,Synchronous chan,397,
groupcache_test.go,8,Known chan length (length),408,2
groupcache_test.go,5,Go in for,410,
groupcache_test.go,7,Goroutine in for with constant (constant),410,2
groupcache_test.go,1,Goroutine,410,
groupcache_test.go,3,Send,413,
groupcache_test.go,3,Send,416,
groupcache_test.go,3,Send,423,
groupcache_test.go,3,Send,424,
groupcache_test.go,3,Send,425,
groupcache_test.go,3,Send,426,
groupcache_test.go,2,Receive,429,
singleflight/singleflight_test.go,4,Synchronous chan,57,
singleflight/singleflight_test.go,2,Receive,61,
singleflight/singleflight_test.go,5,Go in for,68,
singleflight/singleflight_test.go,7,Goroutine in for with constant (constant),68,10
singleflight/singleflight_test.go,1,Goroutine,68,
singleflight/singleflight_test.go,3,Send,80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight.go,0,Mutex Lock(),42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight.go,0,Waitgroup,46,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight.go,0,Mutex Unlock(),47,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight.go,0,Waitgroup,51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight.go,0,Waitgroup Add(const),52,&{2248623 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight.go,0,Mutex Unlock(),54,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight.go,0,Waitgroup Done(),57,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight.go,0,Mutex Lock(),59,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight.go,0,Mutex Unlock(),61,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,0,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,0,Mutex,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,0,Mutex,56,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,0,Waitgroup,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,0,Waitgroup Add(const),67,&{5776202 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,0,Waitgroup Done(),76,
/Users/nicolasdilley/Library/Caches/go-build/f8/f8f6277d09635a971943d55e2f66d3958e0bdaac3a6d9128e40c8a9d39be6ac2-d,0,Mutex,45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,0,Mutex,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,0,Mutex,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,0,Mutex,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,0,Mutex,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,0,Mutex,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,0,Mutex,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,0,Mutex,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,0,Mutex,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,0,Mutex,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,0,Mutex,353,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http.go,0,Mutex,81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http.go,0,Mutex,97,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http.go,0,Mutex Lock(),120,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http.go,0,Mutex Unlock(),121,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http.go,0,Mutex Lock(),131,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http.go,0,Mutex Unlock(),132,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http.go,0,Mutex,156,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http.go,0,Mutex,156,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http.go,0,Mutex,156,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,0,Mutex,205,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,0,Mutex,205,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,0,Mutex,205,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,0,Mutex,267,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,0,Mutex,267,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,0,Mutex,267,
