Line num,0
packages num,2,2
files num,8,30
Average Line num per featured file,3386
redis/redis_test,5652
redisx/redisx_test,398
Filename, #,Concurrent Type, Line number , Number
redis/test_test.go,4,Synchronous chan,61,
redis/test_test.go,8,Known chan length (length),74,1
redis/test_test.go,1,Goroutine,75,
redis/test_test.go,16,Select (number of branch),77,2
redis/test_test.go,2,Receive,78,
redis/test_test.go,2,Receive,79,
redis/test_test.go,22,chan used as a param,91,
redis/test_test.go,3,Send,103,
redis/test_test.go,3,Send,108,
redis/test_test.go,3,Send,112,
redis/test_test.go,2,Receive,121,
redis/pool.go,3,Send,259,
redis/pool.go,9,Unknown chan length,339,
redis/pool.go,3,Send,344,
redis/pool.go,16,Select (number of branch),372,2
redis/pool.go,2,Receive,373,
redis/pool.go,17,Select with default (number of branch),376,2
redis/pool.go,2,Receive,377,
redis/pool.go,3,Send,378,
redis/pool.go,2,Receive,382,
redis/pool.go,3,Send,423,
redis/conn.go,8,Known chan length (length),261,2
redis/conn.go,3,Send,264,
redis/conn.go,1,Goroutine,268,
redis/conn.go,3,Send,269,
redis/conn.go,2,Receive,271,
redis/pubsub_example_test.go,8,Known chan length (length),53,1
redis/pubsub_example_test.go,1,Goroutine,56,
redis/pubsub_example_test.go,3,Send,60,
redis/pubsub_example_test.go,3,Send,64,
redis/pubsub_example_test.go,3,Send,72,
redis/pubsub_example_test.go,3,Send,77,
redis/pubsub_example_test.go,16,Select (number of branch),88,3
redis/pubsub_example_test.go,2,Receive,89,
redis/pubsub_example_test.go,2,Receive,96,
redis/pubsub_example_test.go,2,Receive,98,
redis/pubsub_example_test.go,2,Receive,110,
redis/pubsub_example_test.go,1,Goroutine,152,
redis/conn_test.go,2,Receive,67,
redis/conn_test.go,1,Goroutine,75,
redis/conn_test.go,4,Synchronous chan,76,
redis/conn_test.go,1,Goroutine,77,
redis/conn_test.go,15,Close chan,79,
redis/conn_test.go,4,Synchronous chan,444,
redis/conn_test.go,1,Goroutine,445,
redis/conn_test.go,15,Close chan,447,
redis/conn_test.go,2,Receive,452,
redis/conn_test.go,1,Goroutine,488,
redis/conn_test.go,5,Go in for,494,
redis/conn_test.go,1,Goroutine,494,
redis/conn_test.go,2,Receive,721,
redis/conn_test.go,22,chan used as a param,725,
