Line num,0
packages num,1,2
files num,7,75
Average Line num per featured file,4000
runtime/grumpy,22014
tools/main,93
Filename, #,Concurrent Type, Line number , Number
runtime/core_test.go,4,Synchronous chan,1020,
runtime/core_test.go,15,Close chan,1022,
runtime/core_test.go,2,Receive,1027,
runtime/core_test.go,4,Synchronous chan,1034,
runtime/core_test.go,15,Close chan,1036,
runtime/core_test.go,2,Receive,1040,
runtime/builtin_types_test.go,4,Synchronous chan,414,
runtime/builtin_types_test.go,1,Goroutine,416,
runtime/builtin_types_test.go,15,Close chan,417,
runtime/builtin_types_test.go,2,Receive,425,
runtime/module_test.go,4,Synchronous chan,300,
runtime/module_test.go,1,Goroutine,301,
runtime/module_test.go,3,Send,303,
runtime/module_test.go,2,Receive,305,
runtime/threading.go,2,Receive,102,
runtime/threading.go,17,Select with default (number of branch),108,2
runtime/threading.go,2,Receive,109,
runtime/threading.go,3,Send,118,
runtime/weakref_test.go,4,Synchronous chan,84,
runtime/weakref_test.go,3,Send,86,
runtime/weakref_test.go,2,Receive,93,
runtime/weakref_test.go,4,Synchronous chan,154,
runtime/weakref_test.go,15,Close chan,156,
runtime/weakref_test.go,4,Synchronous chan,160,
runtime/weakref_test.go,1,Goroutine,161,
runtime/weakref_test.go,15,Close chan,172,
runtime/weakref_test.go,16,Select (number of branch),174,2
runtime/weakref_test.go,2,Receive,175,
runtime/weakref_test.go,2,Receive,177,
runtime/dict_test.go,4,Synchronous chan,858,
runtime/dict_test.go,5,Go in for,863,
runtime/dict_test.go,7,Goroutine in for with constant (constant),863,8
runtime/dict_test.go,1,Goroutine,863,
runtime/dict_test.go,2,Receive,874,
runtime/dict_test.go,15,Close chan,901,
runtime/core.go,1,Goroutine,805,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/google++grumpy/runtime/baseexception.go,0,Mutex,40,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/google++grumpy/runtime/baseexception.go,0,Mutex,46,
