Line num,0
packages num,5,6
files num,11,39
Average Line num per featured file,2931
websocket_test,4377
examples/autobahn/main,217
examples/chat/main,162
examples/command/main,153
examples/echo/main,176
examples/filewatch/main,166
Filename, #,Concurrent Type, Line number , Number
conn_broadcast_test.go,4,Synchronous chan,50,
conn_broadcast_test.go,4,Synchronous chan,51,
conn_broadcast_test.go,5,Go in for,77,
conn_broadcast_test.go,1,Goroutine,77,
conn_broadcast_test.go,16,Select (number of branch),79,2
conn_broadcast_test.go,2,Receive,80,
conn_broadcast_test.go,3,Send,88,
conn_broadcast_test.go,2,Receive,90,
conn_broadcast_test.go,3,Send,105,
conn_broadcast_test.go,2,Receive,107,
prepared.go,8,Known chan length (length),76,1
prepared.go,3,Send,77,
conn_test.go,2,Receive,652,
conn_test.go,1,Goroutine,659,
conn_test.go,2,Receive,664,
client_server_test.go,1,Goroutine,775,
client_server_test.go,4,Synchronous chan,820,
client_server_test.go,1,Goroutine,821,
client_server_test.go,15,Close chan,823,
client_server_test.go,2,Receive,826,
conn.go,8,Known chan length (length),305,1
conn.go,3,Send,306,
conn.go,2,Receive,379,
conn.go,3,Send,380,
conn.go,16,Select (number of branch),441,2
conn.go,2,Receive,442,
conn.go,2,Receive,444,
conn.go,3,Send,447,
examples/chat/main.go,1,Goroutine,31,
examples/chat/hub.go,16,Select (number of branch),34,3
examples/chat/hub.go,2,Receive,35,
examples/chat/hub.go,2,Receive,37,
examples/chat/hub.go,2,Receive,42,
examples/chat/hub.go,17,Select with default (number of branch),44,2
examples/chat/hub.go,3,Send,45,
examples/chat/client.go,3,Send,58,
examples/chat/client.go,3,Send,73,
examples/chat/client.go,16,Select (number of branch),89,2
examples/chat/client.go,2,Receive,90,
examples/chat/client.go,2,Receive,108,
examples/chat/client.go,2,Receive,114,
examples/chat/client.go,8,Known chan length (length),130,256
examples/chat/client.go,3,Send,131,
examples/chat/client.go,1,Goroutine,135,
examples/chat/client.go,1,Goroutine,136,
examples/command/main.go,22,chan used as a param,59,
examples/command/main.go,22,chan used as a param,81,
examples/command/main.go,16,Select (number of branch),85,2
examples/command/main.go,2,Receive,86,
examples/command/main.go,2,Receive,90,
examples/command/main.go,4,Synchronous chan,139,
examples/command/main.go,1,Goroutine,140,
examples/command/main.go,1,Goroutine,141,
examples/command/main.go,16,Select (number of branch),153,2
examples/command/main.go,2,Receive,154,
examples/command/main.go,2,Receive,155,
examples/command/main.go,2,Receive,160,
examples/echo/client.go,8,Known chan length (length),26,1
examples/echo/client.go,4,Synchronous chan,38,
examples/echo/client.go,1,Goroutine,40,
examples/echo/client.go,15,Close chan,41,
examples/echo/client.go,16,Select (number of branch),56,3
examples/echo/client.go,2,Receive,57,
examples/echo/client.go,2,Receive,59,
examples/echo/client.go,2,Receive,65,
examples/echo/client.go,16,Select (number of branch),75,2
examples/echo/client.go,2,Receive,76,
examples/echo/client.go,2,Receive,77,
examples/filewatch/main.go,16,Select (number of branch),82,2
examples/filewatch/main.go,2,Receive,83,
examples/filewatch/main.go,2,Receive,104,
examples/filewatch/main.go,1,Goroutine,127,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client.go,0,Mutex,40,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client.go,0,Mutex,247,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client.go,0,Mutex,308,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client.go,0,Mutex,312,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client.go,0,Mutex,312,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client.go,0,Mutex,312,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client.go,0,Mutex,312,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client.go,0,Mutex,327,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client.go,0,Mutex,327,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex,307,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex,307,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex Lock(),361,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex Unlock(),365,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex Lock(),382,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex Unlock(),384,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex Lock(),449,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex Unlock(),451,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex Lock(),481,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex Unlock(),483,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex,512,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex,537,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex,537,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex,550,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex,550,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex,756,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex,1010,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,0,Mutex,1010,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/prepared.go,0,Mutex,44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/prepared.go,0,Mutex Lock(),63,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/prepared.go,0,Mutex,64,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/prepared.go,0,Mutex Unlock(),69,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/prepared.go,0,Mutex,79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/prepared.go,0,Mutex,79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/server.go,0,Mutex,202,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/server.go,0,Mutex,202,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Waitgroup,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Waitgroup,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,94,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,94,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,152,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Waitgroup,152,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,152,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,152,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,157,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,0,Mutex,180,
