Line num,0
packages num,73,216
files num,144,577
Average Line num per featured file,49085
grpc,9108
admin/admin_test,27
attributes/attributes_test,67
authz/authz,458
backoff/backoff,14
balancer/balancer,136
balancer/base/base,277
balancer/grpclb/grpclb,2574
balancer/grpclb/grpc_lb_v1/grpc_lb_v1,856
balancer/grpclb/state/state,17
balancer/rls/internal/rls,1606
balancer/rls/internal/adaptive/adaptive,353
balancer/rls/internal/cache/cache,325
balancer/rls/internal/keys/keys,624
balancer/rls/internal/proto/grpc_lookup_v1/grpc_lookup_v1,990
balancer/rls/internal/testutils/fakeserver/fakeserver,65
balancer/roundrobin/roundrobin_test,481
balancer/weightedroundrobin/weightedroundrobin,76
benchmark/benchmark,210
benchmark/benchmain/main,0
benchmark/benchresult/main,0
benchmark/client/main,0
benchmark/flags/flags,0
benchmark/latency/latency,0
benchmark/primitives/primitives_test,0
benchmark/server/main,0
benchmark/stats/stats,0
benchmark/worker/main,0
binarylog/binarylog,0
binarylog/grpc_binarylog_v1/grpc_binarylog_v1,0
channelz/grpc_channelz_v1/grpc_channelz_v1,0
channelz/service/service,0
cmd/protoc-gen-go-grpc/main,0
codes/codes,0
connectivity/connectivity,0
credentials/credentials,0
credentials/alts/alts,0
credentials/alts/internal/internal,0
credentials/alts/internal/authinfo/authinfo,0
credentials/alts/internal/conn/conn,0
credentials/alts/internal/handshaker/handshaker,0
credentials/alts/internal/handshaker/service/service,0
credentials/alts/internal/proto/grpc_gcp/grpc_gcp,0
credentials/alts/internal/testutil/testutil,0
credentials/google/google,0
credentials/insecure/insecure,0
credentials/local/local,0
credentials/oauth/oauth,0
credentials/sts/sts,0
credentials/tls/certprovider/certprovider,0
credentials/tls/certprovider/pemfile/pemfile,0
credentials/xds/xds,0
encoding/encoding,0
encoding/gzip/gzip,0
encoding/proto/proto,0
examples/data/data,0
examples/features/authentication/client/main,0
examples/features/authentication/server/main,0
examples/features/cancellation/client/main,0
examples/features/cancellation/server/main,0
examples/features/compression/client/main,0
examples/features/compression/server/main,0
examples/features/deadline/client/main,0
examples/features/deadline/server/main,0
examples/features/debugging/client/main,0
examples/features/debugging/server/main,0
examples/features/encryption/ALTS/client/main,32
examples/features/encryption/ALTS/server/main,31
examples/features/encryption/TLS/client/main,36
examples/features/encryption/TLS/server/main,35
examples/features/errors/client/main,42
examples/features/errors/server/main,54
examples/features/health/client/main,56
examples/features/health/server/main,53
examples/features/interceptor/client/main,122
examples/features/interceptor/server/main,112
examples/features/keepalive/client/main,35
examples/features/keepalive/server/main,43
examples/features/load_balancing/client/main,87
examples/features/load_balancing/server/main,43
examples/features/metadata/client/main,229
examples/features/metadata/server/main,149
examples/features/multiplex/client/main,45
examples/features/multiplex/server/main,38
examples/features/name_resolving/client/main,86
examples/features/name_resolving/server/main,29
examples/features/proto/echo/echo,453
examples/features/reflection/server/main,40
examples/features/retry/client/main,47
examples/features/retry/server/main,55
examples/features/wait_for_ready/main,67
examples/features/xds/client/main,45
examples/features/xds/server/main,71
examples/helloworld/greeter_client/main,32
examples/helloworld/greeter_server/main,30
examples/helloworld/helloworld/helloworld,257
examples/route_guide/client/main,147
examples/route_guide/routeguide/routeguide,679
examples/route_guide/server/main,782
grpclog/grpclog,335
grpclog/glogger/glogger,62
health/health_test,292
health/grpc_health_v1/grpc_health_v1,372
internal/internal,40
internal/admin/admin,27
internal/backoff/backoff,31
internal/balancer/stub/stub,60
