Line num,0
packages num,9,57
files num,22,340
Average Line num per featured file,4119
main,938
acctest/acctest,197
acctest/plugin/plugin,164
builder/file/file,294
builder/file/version/version,10
builder/null/null,359
builder/null/version/version,10
cmd/generate-fixer-deprecations/main,74
cmd/packer-plugins-check/main,151
cmd/ssh-keygen/main,82
command/command,5340
command/enumflag/enumflag,21
command/flag-kv/kvflag,189
command/flag-slice/sliceflag,49
datasource/packer-image-iteration/packer_image_iteration,218
fix/fix,3719
hcl2template/hcl2template,6735
hcl2template/addrs/addrs,236
hcl2template/function/function,786
hcl2template/internal/hcl2template,219
hcl2template/repl/repl,90
hcl2template/shim/hcl2shim,505
helper/wrappedreadline/wrappedreadline,89
helper/wrappedstreams/wrappedstreams,80
internal/packer_registry/packer_registry,1158
internal/packer_registry/env/env,90
packer/packer,5216
packer/plugin-getter/plugingetter,1152
packer/plugin-getter/github/github,192
post-processor/artifice/artifice,133
post-processor/artifice/version/version,10
post-processor/checksum/checksum,287
post-processor/checksum/version/version,10
post-processor/compress/main,850
post-processor/compress/version/version,10
post-processor/manifest/manifest,207
post-processor/manifest/version/version,10
post-processor/shell-local/shell_local,251
post-processor/shell-local/version/version,10
provisioner/breakpoint/breakpoint,103
provisioner/breakpoint/version/version,10
provisioner/file/file,637
provisioner/file/version/version,10
provisioner/powershell/powershell_test,1344
provisioner/powershell/version/version,10
provisioner/shell/shell_test,1020
provisioner/shell/version/version,10
provisioner/shell-local/shell_test,148
provisioner/shell-local/version/version,10
provisioner/sleep/sleep,93
provisioner/sleep/version/version,10
provisioner/windows-restart/restart,510
provisioner/windows-restart/version/version,10
provisioner/windows-shell/shell,600
provisioner/windows-shell/version/version,10
scripts/main,261
version/version,20
Filename, #,Concurrent Type, Line number , Number
log.go,1,Goroutine,36,
main.go,4,Synchronous chan,85,
main.go,1,Goroutine,87,
main.go,2,Receive,114,
main.go,1,Goroutine,173,
main.go,21,Send only chan (chan<-),435,
main.go,1,Goroutine,458,
main.go,1,Goroutine,462,
main.go,1,Goroutine,466,
checkpoint.go,8,Known chan length (length),15,1
checkpoint.go,3,Send,26,
checkpoint.go,3,Send,33,
checkpoint.go,3,Send,59,
checkpoint.go,2,Receive,66,
command/signal.go,8,Known chan length (length),16,1
command/signal.go,15,Close chan,21,
command/signal.go,1,Goroutine,23,
command/signal.go,16,Select (number of branch),24,2
command/signal.go,2,Receive,25,
command/signal.go,2,Receive,33,
command/meta.go,1,Goroutine,79,
command/build_cancellation_test.go,4,Synchronous chan,56,
command/build_cancellation_test.go,4,Synchronous chan,62,
command/build_cancellation_test.go,1,Goroutine,63,
command/build_cancellation_test.go,15,Close chan,64,
command/build_cancellation_test.go,3,Send,70,
command/build_cancellation_test.go,16,Select (number of branch),77,2
command/build_cancellation_test.go,2,Receive,78,
command/build_cancellation_test.go,2,Receive,83,
command/build_parallel_test.go,16,Select (number of branch),57,2
command/build_parallel_test.go,2,Receive,58,
command/build_parallel_test.go,2,Receive,59,
command/build_parallel_test.go,4,Synchronous chan,94,
command/build_parallel_test.go,4,Synchronous chan,123,
command/build_parallel_test.go,4,Synchronous chan,152,
command/build.go,5,Go in for,269,
command/build.go,1,Goroutine,269,
internal/packer_registry/types.bucket.go,5,Go in for,369,
internal/packer_registry/types.bucket.go,1,Goroutine,369,
packer/provisioner.go,16,Select (number of branch),150,2
packer/provisioner.go,2,Receive,151,
packer/provisioner.go,2,Receive,152,
packer/provisioner.go,8,Known chan length (length),221,1
packer/provisioner.go,1,Goroutine,222,
packer/provisioner.go,3,Send,228,
packer/provisioner.go,16,Select (number of branch),231,2
packer/provisioner.go,2,Receive,232,
packer/provisioner.go,2,Receive,233,
packer/provisioner_test.go,2,Receive,74,
packer/provisioner_test.go,2,Receive,166,
packer/provisioner_test.go,2,Receive,226,
packer/provisioner_test.go,2,Receive,297,
packer/provisioner_test.go,2,Receive,337,
packer/registry_builder.go,4,Synchronous chan,31,
packer/registry_builder.go,1,Goroutine,32,
packer/registry_builder.go,16,Select (number of branch),34,2
packer/registry_builder.go,2,Receive,35,
packer/registry_builder.go,2,Receive,41,
packer/registry_builder.go,15,Close chan,60,
packer/build.go,17,Select with default (number of branch),240,2
packer/build.go,2,Receive,241,
packer/plugin_client.go,5,Go in for,86,
packer/plugin_client.go,1,Goroutine,86,
packer/plugin_client.go,2,Receive,202,
packer/plugin_client.go,4,Synchronous chan,219,
packer/plugin_client.go,4,Synchronous chan,257,
packer/plugin_client.go,1,Goroutine,258,
packer/plugin_client.go,15,Close chan,272,
packer/plugin_client.go,1,Goroutine,281,
packer/plugin_client.go,4,Synchronous chan,285,
packer/plugin_client.go,1,Goroutine,286,
packer/plugin_client.go,15,Close chan,287,
packer/plugin_client.go,3,Send,293,
packer/plugin_client.go,1,Goroutine,305,
packer/plugin_client.go,6,Range over chan,306,
packer/plugin_client.go,16,Select (number of branch),316,3
packer/plugin_client.go,2,Receive,317,
packer/plugin_client.go,2,Receive,319,
packer/plugin_client.go,2,Receive,321,
packer/provisioner_timeout.go,4,Synchronous chan,25,
packer/provisioner_timeout.go,1,Goroutine,27,
packer/provisioner_timeout.go,16,Select (number of branch),28,2
packer/provisioner_timeout.go,2,Receive,29,
