Line num,0
packages num,28,55
files num,58,263
Average Line num per featured file,12750
ipfs,6
assets/assets,429
blocks/blockstoreutil/blockstoreutil,88
cmd/ipfs/main,1830
cmd/ipfs/util/util,289
cmd/ipfswatch/main,202
commands/commands,186
core/core,251
core/bootstrap/bootstrap,155
core/commands/commands,9990
core/commands/cmdenv/cmdenv,267
core/commands/dag/dagcmd,734
core/commands/e/e,19
core/commands/keyencode/keyencode,33
core/commands/name/name,470
core/commands/object/objectcmd,766
core/commands/pin/pin,1336
core/commands/unixfs/unixfs,213
core/coreapi/coreapi,1874
core/coredag/coredag,164
core/corehttp/corehttp,2575
core/corerepo/corerepo,251
core/coreunix/coreunix,846
core/mock/coremock,83
core/node/node,956
core/node/helpers/helpers,16
core/node/libp2p/libp2p,861
coverage/main/main,69
docs/examples/go-ipfs-as-a-library/main,264
fuse/ipns/ipns,919
fuse/mount/mount,188
fuse/node/node,347
fuse/readonly/readonly,500
gc/gc,218
p2p/p2p,365
peering/peering,313
plugin/plugin,49
plugin/loader/loader,348
plugin/plugins/badgerds/badgerds,100
plugin/plugins/flatfs/flatfs,69
plugin/plugins/git/git,38
plugin/plugins/levelds/levelds,67
plugin/plugins/peerlog/peerlog,206
repo/repo,117
repo/common/common,46
repo/fsrepo/fsrepo,981
repo/fsrepo/migrations/migrations,1624
repo/fsrepo/migrations/ipfsfetcher/ipfsfetcher,476
tar/tarfmt,176
thirdparty/assert/assert,20
thirdparty/cidv0v1/cidv0v1,77
thirdparty/dir/dir,18
thirdparty/notifier/notifier,295
thirdparty/unit/unit,60
thirdparty/verifbs/verifbs,53
Filename, #,Concurrent Type, Line number , Number
assets/assets_test.go,5,Go in for,24,
assets/assets_test.go,1,Goroutine,24,
blocks/blockstoreutil/remove.go,9,Unknown chan length,39,
blocks/blockstoreutil/remove.go,1,Goroutine,40,
blocks/blockstoreutil/remove.go,15,Close chan,41,
blocks/blockstoreutil/remove.go,3,Send,53,
blocks/blockstoreutil/remove.go,3,Send,57,
blocks/blockstoreutil/remove.go,3,Send,63,
blocks/blockstoreutil/remove.go,3,Send,65,
blocks/blockstoreutil/remove.go,21,Send only chan (chan<-),77,
blocks/blockstoreutil/remove.go,3,Send,81,
blocks/blockstoreutil/remove.go,3,Send,88,
cmd/ipfs/pinmfs_test.go,4,Synchronous chan,69,
cmd/ipfs/pinmfs_test.go,1,Goroutine,70,
cmd/ipfs/pinmfs_test.go,2,Receive,71,
cmd/ipfs/pinmfs_test.go,2,Receive,74,
cmd/ipfs/pinmfs_test.go,4,Synchronous chan,90,
cmd/ipfs/pinmfs_test.go,1,Goroutine,91,
cmd/ipfs/pinmfs_test.go,2,Receive,92,
cmd/ipfs/pinmfs_test.go,2,Receive,95,
cmd/ipfs/pinmfs_test.go,4,Synchronous chan,167,
cmd/ipfs/pinmfs_test.go,1,Goroutine,168,
cmd/ipfs/pinmfs_test.go,2,Receive,171,
cmd/ipfs/main.go,1,Goroutine,326,
cmd/ipfs/daemon.go,17,Select with default (number of branch),432,2
cmd/ipfs/daemon.go,2,Receive,433,
cmd/ipfs/daemon.go,1,Goroutine,523,
cmd/ipfs/daemon.go,2,Receive,524,
cmd/ipfs/daemon.go,4,Synchronous chan,660,
cmd/ipfs/daemon.go,5,Go in for,664,
cmd/ipfs/daemon.go,1,Goroutine,664,
cmd/ipfs/daemon.go,3,Send,666,
cmd/ipfs/daemon.go,1,Goroutine,670,
cmd/ipfs/daemon.go,15,Close chan,672,
cmd/ipfs/daemon.go,4,Synchronous chan,789,
cmd/ipfs/daemon.go,5,Go in for,793,
cmd/ipfs/daemon.go,1,Goroutine,793,
cmd/ipfs/daemon.go,3,Send,795,
cmd/ipfs/daemon.go,1,Goroutine,799,
cmd/ipfs/daemon.go,15,Close chan,801,
cmd/ipfs/daemon.go,4,Synchronous chan,844,
cmd/ipfs/daemon.go,1,Goroutine,845,
cmd/ipfs/daemon.go,3,Send,846,
cmd/ipfs/daemon.go,15,Close chan,847,
cmd/ipfs/daemon.go,4,Synchronous chan,856,
cmd/ipfs/daemon.go,3,Send,862,
cmd/ipfs/daemon.go,1,Goroutine,869,
cmd/ipfs/daemon.go,1,Goroutine,875,
cmd/ipfs/daemon.go,15,Close chan,877,
cmd/ipfs/pinmfs.go,4,Synchronous chan,65,
cmd/ipfs/pinmfs.go,1,Goroutine,66,
cmd/ipfs/pinmfs.go,1,Goroutine,67,
cmd/ipfs/pinmfs.go,16,Select (number of branch),69,2
cmd/ipfs/pinmfs.go,2,Receive,70,
cmd/ipfs/pinmfs.go,2,Receive,75,
cmd/ipfs/pinmfs.go,21,Send only chan (chan<-),82,
cmd/ipfs/pinmfs.go,16,Select (number of branch),100,2
cmd/ipfs/pinmfs.go,2,Receive,101,
cmd/ipfs/pinmfs.go,2,Receive,103,
cmd/ipfs/pinmfs.go,16,Select (number of branch),109,2
cmd/ipfs/pinmfs.go,3,Send,110,
cmd/ipfs/pinmfs.go,2,Receive,111,
cmd/ipfs/pinmfs.go,16,Select (number of branch),121,2
cmd/ipfs/pinmfs.go,3,Send,122,
cmd/ipfs/pinmfs.go,2,Receive,123,
cmd/ipfs/pinmfs.go,21,Send only chan (chan<-),136,
cmd/ipfs/pinmfs.go,9,Unknown chan length,137,
cmd/ipfs/pinmfs.go,5,Go in for,178,
cmd/ipfs/pinmfs.go,3,Send,144,
cmd/ipfs/pinmfs.go,16,Select (number of branch),155,2
cmd/ipfs/pinmfs.go,3,Send,156,
cmd/ipfs/pinmfs.go,2,Receive,157,
cmd/ipfs/pinmfs.go,3,Send,159,
cmd/ipfs/pinmfs.go,3,Send,172,
cmd/ipfs/pinmfs.go,1,Goroutine,178,
cmd/ipfs/pinmfs.go,16,Select (number of branch),180,2
cmd/ipfs/pinmfs.go,3,Send,181,
cmd/ipfs/pinmfs.go,2,Receive,182,
cmd/ipfs/pinmfs.go,3,Send,184,
cmd/ipfs/pinmfs.go,3,Send,186,
cmd/ipfs/pinmfs.go,2,Receive,191,
cmd/ipfs/pinmfs.go,2,Receive,233,
cmd/ipfs/util/signal.go,8,Known chan length (length),38,1
cmd/ipfs/util/signal.go,1,Goroutine,41,
cmd/ipfs/util/signal.go,16,Select (number of branch),47,2
cmd/ipfs/util/signal.go,2,Receive,48,
cmd/ipfs/util/signal.go,2,Receive,50,
cmd/ipfs/util/signal.go,1,Goroutine,68,
cmd/ipfswatch/main.go,8,Known chan length (length),108,1
cmd/ipfswatch/main.go,16,Select (number of branch),112,3
cmd/ipfswatch/main.go,2,Receive,113,
cmd/ipfswatch/main.go,2,Receive,115,
cmd/ipfswatch/main.go,2,Receive,166,
core/builder.go,1,Goroutine,63,
core/builder.go,16,Select (number of branch),67,2
core/builder.go,2,Receive,68,
core/builder.go,2,Receive,73,
core/bootstrap/bootstrap.go,4,Synchronous chan,77,
core/bootstrap/bootstrap.go,2,Receive,93,
core/bootstrap/bootstrap.go,3,Send,109,
core/bootstrap/bootstrap.go,15,Close chan,110,
core/bootstrap/bootstrap.go,9,Unknown chan length,158,
core/bootstrap/bootstrap.go,5,Go in for,168,
core/bootstrap/bootstrap.go,1,Goroutine,168,
core/bootstrap/bootstrap.go,3,Send,175,
core/bootstrap/bootstrap.go,15,Close chan,185,
core/commands/profile.go,1,Goroutine,82,
core/commands/profile.go,16,Select (number of branch),216,2
core/commands/profile.go,2,Receive,217,
core/commands/profile.go,2,Receive,218,
core/commands/external.go,4,Synchronous chan,59,
core/commands/external.go,1,Goroutine,61,
core/commands/external.go,3,Send,63,
core/commands/external.go,2,Receive,73,
core/commands/stat.go,16,Select (number of branch),149,2
core/commands/stat.go,2,Receive,150,
core/commands/stat.go,2,Receive,151,
core/commands/get.go,1,Goroutine,305,
core/commands/get.go,1,Goroutine,320,
core/commands/swarm.go,9,Unknown chan length,483,
core/commands/swarm.go,4,Synchronous chan,485,
core/commands/swarm.go,5,Go in for,499,
core/commands/swarm.go,1,Goroutine,499,
core/commands/swarm.go,3,Send,503,
core/commands/swarm.go,3,Send,510,
core/commands/swarm.go,3,Send,515,
core/commands/swarm.go,1,Goroutine,519,
core/commands/swarm.go,15,Close chan,521,
core/commands/swarm.go,6,Range over chan,524,
core/commands/swarm.go,17,Select with default (number of branch),528,2
core/commands/swarm.go,2,Receive,529,
core/commands/log.go,1,Goroutine,118,
core/commands/log.go,2,Receive,120,
core/commands/refs.go,17,Select with default (number of branch),320,2
core/commands/refs.go,2,Receive,321,
core/commands/ping.go,2,Receive,116,
core/commands/ping.go,16,Select (number of branch),138,2
core/commands/ping.go,2,Receive,139,
core/commands/ping.go,2,Receive,140,
core/commands/repo.go,20,Receive only chan (<-chan),238,
core/commands/repo.go,21,Send only chan (chan<-),238,
core/commands/repo.go,16,Select (number of branch),244,2
core/commands/repo.go,3,Send,245,
core/commands/repo.go,2,Receive,246,
core/commands/repo.go,16,Select (number of branch),253,2
core/commands/repo.go,3,Send,254,
core/commands/repo.go,2,Receive,255,
core/commands/repo.go,20,Receive only chan (<-chan),261,
core/commands/repo.go,4,Synchronous chan,262,
core/commands/repo.go,1,Goroutine,264,
core/commands/repo.go,15,Close chan,265,
core/commands/repo.go,5,Go in for,271,
core/commands/repo.go,1,Goroutine,271,
core/commands/add.go,10,Make chan in for,236,
core/commands/add.go,10,Make chan in for,237,
core/commands/add.go,5,Go in for,240,
core/commands/add.go,8,Known chan length (length),236,1
core/commands/add.go,8,Known chan length (length),237,8
core/commands/add.go,1,Goroutine,240,
core/commands/add.go,15,Close chan,242,
core/commands/add.go,3,Send,244,
core/commands/add.go,6,Range over chan,247,
core/commands/add.go,2,Receive,274,
core/commands/add.go,8,Known chan length (length),292,1
core/commands/add.go,4,Synchronous chan,293,
core/commands/add.go,1,Goroutine,297,
core/commands/add.go,3,Send,305,
core/commands/add.go,16,Select (number of branch),333,3
core/commands/add.go,2,Receive,334,
core/commands/add.go,2,Receive,379,
core/commands/add.go,2,Receive,386,
core/commands/add.go,15,Close chan,402,
core/commands/add.go,4,Synchronous chan,406,
core/commands/add.go,1,Goroutine,407,
core/commands/add.go,2,Receive,409,
core/commands/add.go,15,Close chan,410,
core/commands/add.go,16,Select (number of branch),422,2
core/commands/add.go,3,Send,423,
core/commands/add.go,2,Receive,424,
core/commands/dht.go,8,Known chan length (length),96,1
core/commands/dht.go,1,Goroutine,97,
core/commands/dht.go,15,Close chan,98,
core/commands/dht.go,3,Send,109,
core/commands/dht.go,2,Receive,120,
core/commands/dht.go,1,Goroutine,181,
core/commands/dht.go,1,Goroutine,292,
core/commands/dht.go,1,Goroutine,400,
core/commands/dht.go,1,Goroutine,484,
core/commands/dht.go,1,Goroutine,592,
core/commands/dag/export.go,8,Known chan length (length),55,2
core/commands/dag/export.go,1,Goroutine,56,
core/commands/dag/export.go,3,Send,59,
core/commands/dag/export.go,15,Close chan,61,
core/commands/dag/export.go,3,Send,73,
core/commands/dag/export.go,2,Receive,82,
core/commands/dag/import.go,8,Known chan length (length),50,1
core/commands/dag/import.go,1,Goroutine,51,
core/commands/dag/import.go,2,Receive,53,
core/commands/dag/import.go,22,chan used as a param,121,
core/commands/dag/import.go,3,Send,135,
core/commands/dag/import.go,3,Send,185,
core/commands/dag/import.go,3,Send,191,
core/commands/dag/import.go,3,Send,196,
core/commands/dag/import.go,3,Send,200,
core/commands/dag/get.go,1,Goroutine,63,
core/commands/pin/pin.go,8,Known chan length (length),106,1
core/commands/pin/pin.go,1,Goroutine,107,
core/commands/pin/pin.go,3,Send,109,
core/commands/pin/pin.go,16,Select (number of branch),116,3
core/commands/pin/pin.go,2,Receive,117,
core/commands/pin/pin.go,2,Receive,128,
core/commands/pin/pin.go,2,Receive,132,
core/commands/pin/pin.go,4,Synchronous chan,722,
core/commands/pin/pin.go,1,Goroutine,723,
core/commands/pin/pin.go,15,Close chan,724,
core/commands/pin/pin.go,16,Select (number of branch),728,2
core/commands/pin/pin.go,3,Send,729,
core/commands/pin/pin.go,2,Receive,730,
core/commands/pin/remotepin.go,16,Select (number of branch),231,2
core/commands/pin/remotepin.go,2,Receive,232,
core/commands/pin/remotepin.go,2,Receive,233,
core/commands/pin/remotepin.go,2,Receive,290,
core/commands/pin/remotepin.go,2,Receive,396,
core/coreapi/unixfs.go,4,Synchronous chan,268,
core/coreapi/unixfs.go,1,Goroutine,270,
core/coreapi/unixfs.go,15,Close chan,271,
core/coreapi/unixfs.go,16,Select (number of branch),273,2
core/coreapi/unixfs.go,3,Send,274,
core/coreapi/unixfs.go,2,Receive,275,
core/coreapi/unixfs.go,9,Unknown chan length,285,
core/coreapi/unixfs.go,3,Send,289,
core/coreapi/unixfs.go,15,Close chan,291,
core/coreapi/block.go,16,Select (number of branch),99,2
core/coreapi/block.go,2,Receive,100,
core/coreapi/block.go,2,Receive,114,
