Line num,0
packages num,2,2
files num,6,18
Average Line num per featured file,647
main,445
libwebsocketd/libwebsocketd,1426
Filename, #,Concurrent Type, Line number , Number
main.go,8,Known chan length (length),72,1
main.go,5,Go in for,84,
main.go,1,Goroutine,84,
main.go,3,Send,86,
main.go,3,Send,88,
main.go,1,Goroutine,93,
main.go,3,Send,108,
main.go,2,Receive,112,
libwebsocketd/endpoint.go,16,Select (number of branch),22,2
libwebsocketd/endpoint.go,2,Receive,23,
libwebsocketd/endpoint.go,2,Receive,27,
libwebsocketd/process_endpoint.go,4,Synchronous chan,33,
libwebsocketd/process_endpoint.go,1,Goroutine,34,
libwebsocketd/process_endpoint.go,3,Send,34,
libwebsocketd/process_endpoint.go,16,Select (number of branch),40,2
libwebsocketd/process_endpoint.go,2,Receive,41,
libwebsocketd/process_endpoint.go,2,Receive,44,
libwebsocketd/process_endpoint.go,16,Select (number of branch),53,2
libwebsocketd/process_endpoint.go,2,Receive,54,
libwebsocketd/process_endpoint.go,2,Receive,57,
libwebsocketd/process_endpoint.go,16,Select (number of branch),66,2
libwebsocketd/process_endpoint.go,2,Receive,67,
libwebsocketd/process_endpoint.go,2,Receive,70,
libwebsocketd/process_endpoint.go,16,Select (number of branch),79,2
libwebsocketd/process_endpoint.go,2,Receive,80,
libwebsocketd/process_endpoint.go,2,Receive,83,
libwebsocketd/process_endpoint.go,1,Goroutine,99,
libwebsocketd/process_endpoint.go,1,Goroutine,101,
libwebsocketd/process_endpoint.go,1,Goroutine,103,
libwebsocketd/process_endpoint.go,3,Send,119,
libwebsocketd/process_endpoint.go,3,Send,136,
libwebsocketd/websocket_endpoint.go,4,Synchronous chan,29,
libwebsocketd/websocket_endpoint.go,1,Goroutine,63,
libwebsocketd/websocket_endpoint.go,3,Send,84,
libwebsocketd/websocket_endpoint.go,3,Send,86,
libwebsocketd/endpoint_test.go,1,Goroutine,43,
libwebsocketd/endpoint_test.go,3,Send,45,
libwebsocketd/http.go,9,Unknown chan length,41,
libwebsocketd/http.go,17,Select with default (number of branch),208,2
libwebsocketd/http.go,3,Send,209,
libwebsocketd/http.go,17,Select with default (number of branch),221,2
libwebsocketd/http.go,2,Receive,222,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/handler.go,0,Mutex,75,
