Line num,0
packages num,1,1
files num,1,3
Average Line num per featured file,284
email,1754
Filename, #,Concurrent Type, Line number , Number
pool.go,9,Unknown chan length,52,
pool.go,4,Synchronous chan,53,
pool.go,4,Synchronous chan,54,
pool.go,17,Select with default (number of branch),81,2
pool.go,2,Receive,82,
pool.go,16,Select (number of branch),97,4
pool.go,2,Receive,98,
pool.go,2,Receive,100,
pool.go,2,Receive,102,
pool.go,2,Receive,104,
pool.go,3,Send,141,
pool.go,17,Select with default (number of branch),164,2
pool.go,3,Send,165,
pool.go,1,Goroutine,171,
pool.go,3,Send,174,
pool.go,17,Select with default (number of branch),264,2
pool.go,2,Receive,265,
pool.go,2,Receive,363,
/Users/nicolasdilley/Library/Caches/go-build/3a/3adb838657bf02ead37cdc38642223fc7a2f77df325f4c82124b9c8ef327dc71-d,0,Mutex,79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/email.go,0,Mutex,580,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/email.go,0,Mutex,580,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/email.go,0,Mutex,580,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/email.go,0,Mutex,580,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/email.go,0,Mutex,585,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/email.go,0,Mutex,654,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/pool.go,0,Mutex Lock(),149,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/pool.go,0,Mutex Unlock(),150,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/pool.go,0,Mutex Lock(),160,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/pool.go,0,Mutex Unlock(),162,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/jordan-wright++email/pool.go,0,Mutex,208,
