Line num,0
packages num,15,218
files num,22,1269
Average Line num per featured file,5351
kops,8
channels/cmd/channels/main,15
channels/pkg/api/api,36
channels/pkg/channels/channels,875
channels/pkg/cmd/cmd,381
cloudmock/aws/mockautoscaling/mockautoscaling,461
cloudmock/aws/mockec2/mockec2,2326
cloudmock/aws/mockelb/mockelb,216
cloudmock/aws/mockelbv2/mockelbv2,413
cloudmock/aws/mockeventbridge/mockeventbridge,78
cloudmock/aws/mockiam/mockiam,534
cloudmock/aws/mockroute53/mockroute53,225
cloudmock/aws/mocksqs/mocksqs,72
cloudmock/gce/gce,107
cloudmock/gce/mockcompute/mockcompute,1227
cloudmock/gce/mockdns/mockdns,94
cloudmock/openstack/openstack,27
cloudmock/openstack/mockblockstorage/mockblockstorage,230
cloudmock/openstack/mockcompute/mockcompute,534
cloudmock/openstack/mockdns/mockdns,198
cloudmock/openstack/mockimage/mockimage,138
cloudmock/openstack/mockloadbalancer/mockloadbalancer,423
cloudmock/openstack/mocknetworking/mocknetworking,1137
cmd/kops/main,10084
cmd/kops/util/util,93
cmd/kops-controller/main,163
cmd/kops-controller/controllers/controllers,254
cmd/kops-controller/pkg/config/config,22
cmd/kops-controller/pkg/server/server,289
cmd/kube-apiserver-healthcheck/main,190
cmd/nodeup/main,101
dns-controller/cmd/dns-controller/main,180
dns-controller/pkg/dns/dns,729
dns-controller/pkg/util/util,82
dns-controller/pkg/watchers/watchers,737
dnsprovider/pkg/dnsprovider/dnsprovider,179
dnsprovider/pkg/dnsprovider/providers/aws/route53/route53,592
dnsprovider/pkg/dnsprovider/providers/aws/route53/stubs/stubs,95
dnsprovider/pkg/dnsprovider/providers/do/dns,729
dnsprovider/pkg/dnsprovider/providers/google/clouddns/clouddns,548
dnsprovider/pkg/dnsprovider/providers/google/clouddns/internal/internal,267
dnsprovider/pkg/dnsprovider/providers/google/clouddns/internal/interfaces/interfaces,89
dnsprovider/pkg/dnsprovider/providers/google/clouddns/internal/stubs/stubs,370
dnsprovider/pkg/dnsprovider/providers/openstack/designate/designate,343
dnsprovider/pkg/dnsprovider/rrstype/rrstype,10
examples/kops-api-example/main,172
hack/hack,10
nodeup/pkg/bootstrap/bootstrap,165
nodeup/pkg/model/model,5864
nodeup/pkg/model/networking/networking,195
nodeup/pkg/model/resources/resources,379
pkg/acls/acls,39
pkg/acls/gce/gce,58
pkg/acls/s3/s3,104
pkg/apis/kops/kops,6716
pkg/apis/kops/install/install,19
pkg/apis/kops/model/model,253
pkg/apis/kops/registry/registry,62
pkg/apis/kops/util/util,297
pkg/apis/kops/v1alpha2/v1alpha2,12073
pkg/apis/kops/validation/validation,4684
pkg/apis/nodeup/nodeup,164
pkg/assets/assets,704
pkg/backoff/backoff,52
pkg/client/clientset_generated/clientset/clientset,70
pkg/client/clientset_generated/clientset/fake/fake,77
pkg/client/clientset_generated/clientset/scheme/scheme,19
pkg/client/clientset_generated/clientset/typed/kops/internalversion/internalversion,610
pkg/client/clientset_generated/clientset/typed/kops/internalversion/fake/fake,350
pkg/client/clientset_generated/clientset/typed/kops/v1alpha2/v1alpha2,603
pkg/client/clientset_generated/clientset/typed/kops/v1alpha2/fake/fake,350
pkg/client/clientset_generated/internalclientset/internalclientset,70
pkg/client/clientset_generated/internalclientset/fake/fake,77
pkg/client/clientset_generated/internalclientset/scheme/scheme,19
pkg/client/clientset_generated/internalclientset/typed/kops/internalversion/internalversion,610
pkg/client/clientset_generated/internalclientset/typed/kops/internalversion/fake/fake,350
pkg/client/clientset_generated/internalclientset/typed/kops/v1alpha2/v1alpha2,603
pkg/client/clientset_generated/internalclientset/typed/kops/v1alpha2/fake/fake,350
pkg/client/simple/simple,27
pkg/client/simple/api/api,131
pkg/client/simple/vfsclientset/vfsclientset,801
pkg/cloudinstances/cloudinstances,156
pkg/clusteraddons/clusteraddons,37
pkg/commands/commands,1149
pkg/commands/commandutils/commandutils,77
pkg/commands/helpers/helpers,212
pkg/configbuilder/configbuilder,116
pkg/configserver/configserver,66
pkg/diff/diff,279
pkg/dns/dns,39
pkg/dump/dump,311
pkg/edit/edit,97
pkg/featureflag/featureflag,137
pkg/flagbuilder/flagbuilder,366
pkg/formatter/formatter,108
pkg/instancegroups/instancegroups,2359
pkg/jsonutils/jsonutils,194
pkg/k8scodecs/k8scodecs,95
pkg/k8sversion/k8sversion,112
pkg/kopscodecs/kopscodecs,174
pkg/kubeconfig/kubeconfig,670
pkg/kubemanifest/kubemanifest,316
pkg/model/model,1852
pkg/model/alimodel/alimodel,886
