Line num,3642346
packages num,162,3468
files num,284,1973
Average Line num per featured file,389,110595
LICENSES/vendor,0
LICENSES/vendor/go.opentelemetry.io/contrib/instrumentation,0
build,11
build/pause/windows/wincat,50
cluster/addons/fluentd-elasticsearch/es-image,117
cluster/gce/gci,879
cluster/gce/gci/mounter,61
cluster/images/etcd/cp,40
cluster/images/etcd/migrate,1586
cluster/images/etcd-version-monitor,311
cmd/clicheck,27
cmd/cloud-controller-manager,219
cmd/dependencycheck,87
cmd/gendocs,27
cmd/genkubedocs,133
cmd/genman,172
cmd/genswaggertypedocs,45
cmd/genutils,43
cmd/genyaml,125
cmd/importverifier,190
cmd/kube-apiserver,23
cmd/kube-apiserver/app,886
cmd/kube-apiserver/app/options,866
cmd/kube-apiserver/app/testing,282
cmd/kube-controller-manager,23
cmd/kube-controller-manager/app,2134
cmd/kube-controller-manager/app/config,30
cmd/kube-controller-manager/app/options,1904
cmd/kube-controller-manager/app/testing,123
cmd/kube-proxy,24
cmd/kube-proxy/app,2521
cmd/kube-scheduler,31
cmd/kube-scheduler/app,524
cmd/kube-scheduler/app/config,87
cmd/kube-scheduler/app/options,2035
cmd/kube-scheduler/app/testing,137
cmd/kubeadm,8
cmd/kubeadm/app,25
cmd/kubeadm/app/apis/bootstraptoken,1
cmd/kubeadm/app/apis/bootstraptoken/v1,832
cmd/kubeadm/app/apis/kubeadm,668
cmd/kubeadm/app/apis/kubeadm/fuzzer,91
cmd/kubeadm/app/apis/kubeadm/scheme,23
cmd/kubeadm/app/apis/kubeadm/v1beta2,1669
cmd/kubeadm/app/apis/kubeadm/v1beta3,1381
cmd/kubeadm/app/apis/kubeadm/validation,1718
cmd/kubeadm/app/apis/output,156
cmd/kubeadm/app/apis/output/fuzzer,31
cmd/kubeadm/app/apis/output/scheme,21
cmd/kubeadm/app/apis/output/v1alpha1,326
cmd/kubeadm/app/cmd,4500
cmd/kubeadm/app/cmd/alpha,11
cmd/kubeadm/app/cmd/options,185
cmd/kubeadm/app/cmd/phases,50
cmd/kubeadm/app/cmd/phases/init,1300
cmd/kubeadm/app/cmd/phases/join,744
cmd/kubeadm/app/cmd/phases/reset,627
cmd/kubeadm/app/cmd/phases/upgrade/node,185
cmd/kubeadm/app/cmd/phases/workflow,902
cmd/kubeadm/app/cmd/upgrade,1598
cmd/kubeadm/app/cmd/util,326
cmd/kubeadm/app/componentconfigs,1905
cmd/kubeadm/app/constants,593
cmd/kubeadm/app/discovery,120
cmd/kubeadm/app/discovery/file,98
cmd/kubeadm/app/discovery/https,27
cmd/kubeadm/app/discovery/token,420
cmd/kubeadm/app/features,303
cmd/kubeadm/app/images,316
cmd/kubeadm/app/phases/addons/dns,1001
cmd/kubeadm/app/phases/addons/proxy,468
cmd/kubeadm/app/phases/bootstraptoken/clusterinfo,176
cmd/kubeadm/app/phases/bootstraptoken/node,143
cmd/kubeadm/app/phases/certs,1624
cmd/kubeadm/app/phases/certs/renewal,820
cmd/kubeadm/app/phases/controlplane,2064
cmd/kubeadm/app/phases/copycerts,488
cmd/kubeadm/app/phases/etcd,479
cmd/kubeadm/app/phases/kubeconfig,948
cmd/kubeadm/app/phases/kubelet,435
cmd/kubeadm/app/phases/markcontrolplane,203
cmd/kubeadm/app/phases/patchnode,114
cmd/kubeadm/app/phases/upgrade,3148
cmd/kubeadm/app/phases/uploadconfig,149
cmd/kubeadm/app/preflight,1901
cmd/kubeadm/app/util,2229
cmd/kubeadm/app/util/apiclient,1162
cmd/kubeadm/app/util/certs,193
cmd/kubeadm/app/util/config,2227
cmd/kubeadm/app/util/config/strict,167
cmd/kubeadm/app/util/crypto,118
cmd/kubeadm/app/util/dryrun,107
cmd/kubeadm/app/util/etcd,730
cmd/kubeadm/app/util/image,39
cmd/kubeadm/app/util/initsystem,285
cmd/kubeadm/app/util/kubeconfig,445
cmd/kubeadm/app/util/output,108
cmd/kubeadm/app/util/patches,612
cmd/kubeadm/app/util/pkiutil,1359
cmd/kubeadm/app/util/pkiutil/testing,100
cmd/kubeadm/app/util/pubkeypin,203
cmd/kubeadm/app/util/runtime,597
cmd/kubeadm/app/util/staticpod,1372
cmd/kubeadm/app/util/users,1072
cmd/kubeadm/test,78
cmd/kubeadm/test/cmd,707
cmd/kubeadm/test/kubeconfig,61
cmd/kubeadm/test/resources,58
cmd/kubectl,23
cmd/kubectl-convert,28
cmd/kubelet,20
cmd/kubelet/app,1799
cmd/kubelet/app/options,685
cmd/kubemark,241
cmd/linkcheck,133
cmd/preferredimports,199
hack/boilerplate,0
hack/boilerplate/test,2
hack/conformance,121
hack/make-rules/helpers/go2make,441
hack/make-rules/helpers/go2make/testdata/dir-with-gofiles,6
hack/tools,12
pkg/api/endpoints/testing,37
pkg/api/legacyscheme,10
pkg/api/persistentvolume,107
pkg/api/persistentvolumeclaim,306
pkg/api/pod,3276
pkg/api/podsecuritypolicy,102
pkg/api/service,242
pkg/api/service/testing,115
pkg/api/testing,2157
pkg/api/testing/compat,97
pkg/api/v1/endpoints,596
pkg/api/v1/persistentvolume,363
pkg/api/v1/pod,1065
pkg/api/v1/resource,555
pkg/api/v1/service,280
pkg/apis/abac,77
pkg/apis/abac/fuzzer,7
pkg/apis/abac/latest,6
pkg/apis/abac/v0,167
pkg/apis/abac/v1beta1,217
pkg/apis/admission,185
pkg/apis/admission/fuzzer,19
pkg/apis/admission/install,18
pkg/apis/admission/v1,188
pkg/apis/admission/v1beta1,188
pkg/apis/admissionregistration,455
pkg/apis/admissionregistration/fuzzer,47
pkg/apis/admissionregistration/install,18
pkg/apis/admissionregistration/v1,688
pkg/apis/admissionregistration/v1beta1,711
pkg/apis/admissionregistration/validation,1770
pkg/apis/apiserverinternal,195
pkg/apis/apiserverinternal/fuzzer,7
pkg/apis/apiserverinternal/install,26
pkg/apis/apiserverinternal/v1alpha1,213
pkg/apis/apiserverinternal/validation,541
pkg/apis/apps,913
pkg/apis/apps/fuzzer,111
pkg/apis/apps/install,20
pkg/apis/apps/v1,3321
pkg/apis/apps/v1beta1,1623
pkg/apis/apps/v1beta2,3457
pkg/apis/apps/validation,3722
pkg/apis/authentication,257
pkg/apis/authentication/fuzzer,7
pkg/apis/authentication/install,18
pkg/apis/authentication/v1,316
pkg/apis/authentication/v1beta1,172
pkg/apis/authentication/validation,18
pkg/apis/authorization,406
pkg/apis/authorization/fuzzer,7
pkg/apis/authorization/install,18
pkg/apis/authorization/v1,452
pkg/apis/authorization/v1beta1,452
pkg/apis/authorization/validation,238
pkg/apis/autoscaling,772
pkg/apis/autoscaling/fuzzer,140
pkg/apis/autoscaling/install,20
pkg/apis/autoscaling/v1,1527
pkg/apis/autoscaling/v2beta1,1265
pkg/apis/autoscaling/v2beta2,1325
pkg/apis/autoscaling/validation,2170
pkg/apis/batch,455
pkg/apis/batch/fuzzer,53
pkg/apis/batch/install,18
pkg/apis/batch/v1,1324
pkg/apis/batch/v1beta1,831
