Line num,0
packages num,2,2
files num,6,68
Average Line num per featured file,839
echo_test,7633
middleware/middleware,6887
Filename, #,Concurrent Type, Line number , Number
echo_test.go,4,Synchronous chan,220,
echo_test.go,1,Goroutine,222,
echo_test.go,3,Send,223,
echo_test.go,20,Receive only chan (<-chan),735,
echo_test.go,16,Select (number of branch),743,3
echo_test.go,2,Receive,744,
echo_test.go,2,Receive,746,
echo_test.go,2,Receive,756,
echo_test.go,4,Synchronous chan,767,
echo_test.go,1,Goroutine,769,
echo_test.go,3,Send,772,
echo_test.go,4,Synchronous chan,822,
echo_test.go,1,Goroutine,824,
echo_test.go,3,Send,836,
echo_test.go,4,Synchronous chan,863,
echo_test.go,1,Goroutine,864,
echo_test.go,3,Send,869,
echo_test.go,4,Synchronous chan,889,
echo_test.go,1,Goroutine,890,
echo_test.go,3,Send,893,
echo_test.go,4,Synchronous chan,960,
echo_test.go,1,Goroutine,962,
echo_test.go,3,Send,963,
echo_test.go,4,Synchronous chan,998,
echo_test.go,1,Goroutine,1000,
echo_test.go,3,Send,1001,
echo_test.go,4,Synchronous chan,1039,
echo_test.go,1,Goroutine,1040,
echo_test.go,3,Send,1043,
echo_test.go,4,Synchronous chan,1173,
echo_test.go,1,Goroutine,1175,
echo_test.go,3,Send,1176,
echo_test.go,2,Receive,1188,
echo_test.go,4,Synchronous chan,1194,
echo_test.go,1,Goroutine,1196,
echo_test.go,3,Send,1197,
echo_test.go,2,Receive,1211,
echo_test.go,4,Synchronous chan,1253,
echo_test.go,1,Goroutine,1255,
echo_test.go,3,Send,1256,
echo_test.go,4,Synchronous chan,1342,
echo_test.go,1,Goroutine,1343,
echo_test.go,3,Send,1344,
echo_test.go,4,Synchronous chan,1362,
echo_test.go,1,Goroutine,1363,
echo_test.go,3,Send,1364,
echo_test.go,4,Synchronous chan,1418,
echo_test.go,1,Goroutine,1419,
echo_test.go,3,Send,1420,
middleware/proxy.go,8,Known chan length (length),124,2
middleware/proxy.go,3,Send,127,
middleware/proxy.go,1,Goroutine,130,
middleware/proxy.go,1,Goroutine,131,
middleware/proxy.go,2,Receive,132,
middleware/timeout.go,8,Known chan length (length),114,1
middleware/timeout.go,17,Select with default (number of branch),120,2
middleware/timeout.go,2,Receive,121,
middleware/timeout.go,3,Send,178,
middleware/timeout_test.go,8,Known chan length (length),111,1
middleware/timeout_test.go,3,Send,115,
middleware/timeout_test.go,4,Synchronous chan,125,
middleware/timeout_test.go,2,Receive,127,
middleware/timeout_test.go,3,Send,130,
middleware/timeout_test.go,2,Receive,133,
middleware/timeout_test.go,4,Synchronous chan,241,
middleware/timeout_test.go,2,Receive,246,
middleware/timeout_test.go,3,Send,249,
middleware/timeout_test.go,4,Synchronous chan,271,
middleware/timeout_test.go,2,Receive,273,
middleware/timeout_test.go,3,Send,276,
middleware/timeout_test.go,4,Synchronous chan,292,
middleware/timeout_test.go,4,Synchronous chan,300,
middleware/timeout_test.go,2,Receive,305,
middleware/timeout_test.go,3,Send,311,
middleware/timeout_test.go,3,Send,314,
middleware/timeout_test.go,2,Receive,319,
middleware/timeout_test.go,4,Synchronous chan,430,
middleware/timeout_test.go,1,Goroutine,431,
middleware/timeout_test.go,3,Send,433,
middleware/timeout_test.go,16,Select (number of branch),437,2
middleware/timeout_test.go,2,Receive,438,
middleware/timeout_test.go,2,Receive,440,
middleware/proxy_test.go,8,Known chan length (length),213,1
middleware/proxy_test.go,3,Send,218,
middleware/proxy_test.go,2,Receive,243,
middleware/proxy_test.go,8,Known chan length (length),251,1
middleware/proxy_test.go,3,Send,256,
middleware/proxy_test.go,2,Receive,302,
middleware/proxy_test.go,1,Goroutine,370,
middleware/rate_limiter_test.go,5,Go in for,433,
middleware/rate_limiter_test.go,1,Goroutine,433,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/labstack++echo/echo.go,0,Mutex,544,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/labstack++echo/echo.go,0,Mutex,544,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/labstack++echo/echo.go,0,Mutex,544,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/labstack++echo/echo.go,0,Mutex,544,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/labstack++echo/echo.go,0,Mutex,544,
