Line num,0
packages num,61,116
files num,209,1123
Average Line num per featured file,121668
lnd,16466
aezeed/aezeed,2763
amp/amp_test,389
autopilot/autopilot_test,3741
batch/batch,146
blockcache/blockcache,171
brontide/brontide,1325
buffer/buffer_test,66
build/build_test,499
cert/cert_test,356
chainntnfs/chainntnfs_test,4036
chainntnfs/bitcoindnotify/bitcoindnotify,922
chainntnfs/btcdnotify/btcdnotify,924
chainntnfs/neutrinonotify/neutrinonotify,808
chainreg/chainreg,729
chanacceptor/chanacceptor,982
chanbackup/chanbackup,2078
chanfitness/chanfitness,1508
channeldb/channeldb_test,20524
channeldb/migration/migration_test,74
channeldb/migration/lnwire21/lnwire,3608
channeldb/migration12/migration12_test,409
channeldb/migration13/migration13,217
channeldb/migration16/migration16,233
channeldb/migration20/migration20,228
channeldb/migration21/migration21,643
channeldb/migration21/common/common,198
channeldb/migration21/current/current,840
channeldb/migration21/legacy/legacy,797
channeldb/migration_01_to_11/migration_01_to_11,5075
channeldb/migration_01_to_11/zpay32/zpay32,746
channeldb/migtest/migtest,203
channelnotifier/channelnotifier,129
clock/clock,145
cluster/cluster,244
cmd/lncli/main,8198
cmd/lnd/main,29
contractcourt/contractcourt,10736
discovery/discovery,9498
feature/feature,528
funding/funding,4883
fuzz/brontide/brontidefuzz,468
fuzz/lnwire/lnwirefuzz,528
fuzz/wtwire/wtwirefuzz,110
fuzz/zpay32/zpay32fuzz,48
healthcheck/healthcheck,395
htlcswitch/htlcswitch_test,15897
htlcswitch/hodl/hodl_test,247
htlcswitch/hop/hop_test,927
input/input_test,3542
invoices/invoices,3560
keychain/keychain,726
kvdb/kvdb,1235
kvdb/etcd/etcd,2026
labels/labels,37
lncfg/lncfg_test,1283
lnpeer/lnpeer,25
lnrpc/lnrpc,26034
lnrpc/autopilotrpc/autopilotrpc,1426
lnrpc/chainrpc/chainrpc,1661
lnrpc/invoicesrpc/invoicesrpc,2058
lnrpc/lnclipb/lnclipb,135
lnrpc/routerrpc/routerrpc,7848
lnrpc/signrpc/signrpc,2185
lnrpc/verrpc/verrpc,556
lnrpc/walletrpc/walletrpc,6632
lnrpc/watchtowerrpc/watchtowerrpc,570
lnrpc/wtclientrpc/wtclientrpc,2197
lntest/lntest,2576
lntest/channels/channels,68
lntest/itest/itest,17551
lntest/mock/mock,409
lntest/wait/wait,63
lntypes/lntypes,70
lnwallet/lnwallet_test,15037
lnwallet/btcwallet/btcwallet,1171
lnwallet/chainfee/chainfee,614
lnwallet/chancloser/chancloser,431
lnwallet/chanfunding/chanfunding,1880
lnwallet/chanvalidate/chanvalidate,346
lnwire/lnwire_test,7581
macaroons/macaroons_test,980
mobile/lndmobile,92
monitoring/monitoring,58
multimutex/multimutex,89
nat/nat,173
netann/netann_test,1857
peer/peer,2975
peernotifier/peernotifier,69
pool/pool_test,697
queue/queue_test,628
record/record_test,267
routing/routing_test,14119
routing/chainview/chainview,1706
routing/localchans/localchans,251
routing/route/route,432
routing/shards/shards_test,99
rpcperms/rpcperms,361
shachain/shachain,973
signal/signal,150
subscribe/subscribe_test,211
sweep/sweep,4341
ticker/ticker_test,173
tlv/tlv_test,2332
tor/tor,803
walletunlocker/walletunlocker_test,879
watchtower/watchtower,257
watchtower/blob/blob_test,776
watchtower/lookout/lookout_test,961
watchtower/wtclient/wtclient_test,3644
watchtower/wtdb/wtdb_test,3233
watchtower/wtmock/wtmock,656
watchtower/wtpolicy/wtpolicy_test,239
watchtower/wtserver/wtserver_test,1293
watchtower/wtwire/wtwire_test,886
zpay32/zpay32,2635
Filename, #,Concurrent Type, Line number , Number
witness_beacon.go,8,Known chan length (length),39,10
witness_beacon.go,4,Synchronous chan,40,
