Line num,1084173
packages num,62,1021
files num,132,1024
Average Line num per featured file,269,35533
api,9
api/server,196
api/server/backend/build,164
api/server/httputils,345
api/server/middleware,325
api/server/router,99
api/server/router/build,413
api/server/router/checkpoint,85
api/server/router/container,935
api/server/router/debug,53
api/server/router/distribution,155
api/server/router/grpc,74
api/server/router/image,335
api/server/router/network,362
api/server/router/plugin,311
api/server/router/session,42
api/server/router/swarm,722
api/server/router/system,311
api/server/router/volume,121
api/templates/server,0
api/types,1074
api/types/backend,113
api/types/blkiodev,16
api/types/container,435
api/types/events,30
api/types/filters,589
api/types/image,9
api/types/mount,62
api/types/network,94
api/types/plugins/logdriver,730
api/types/registry,57
api/types/strslice,91
api/types/swarm,593
api/types/swarm/runtime,704
api/types/time,208
api/types/versions,72
api/types/versions/v1p19,25
api/types/versions/v1p20,27
api/types/volume,13
builder,65
builder/builder-next,974
builder/builder-next/adapters/containerimage,708
builder/builder-next/adapters/localinlinecache,143
builder/builder-next/adapters/snapshot,692
builder/builder-next/exporter,329
builder/builder-next/imagerefchecker,76
builder/builder-next/worker,470
builder/dockerfile,4163
builder/dockerignore,8
builder/remotecontext,1589
builder/remotecontext/git,473
cli,141
cli/config,18
cli/debug,54
client,11720
cmd/docker-proxy,641
cmd/dockerd,1940
cmd/dockerd/trap,100
cmd/dockerd/trap/testfiles,40
container,2611
container/stream,250
contrib/apparmor,138
contrib/docker-device-tool,146
contrib/httpserver,10
daemon,17872
daemon/cluster,3055
daemon/cluster/controllers/plugin,535
daemon/cluster/convert,2211
daemon/cluster/executor,69
daemon/cluster/executor/container,2282
daemon/cluster/provider,26
daemon/config,1398
daemon/discovery,236
daemon/events,480
daemon/events/testutils,59
daemon/exec,111
daemon/graphdriver,824
daemon/graphdriver/aufs,1215
daemon/graphdriver/btrfs,570
daemon/graphdriver/copy,323
daemon/graphdriver/devmapper,2696
daemon/graphdriver/fuse-overlayfs,458
daemon/graphdriver/graphtest,799
daemon/graphdriver/overlay,401
daemon/graphdriver/overlay2,767
daemon/graphdriver/overlayutils,165
daemon/graphdriver/register,36
daemon/graphdriver/vfs,238
daemon/graphdriver/windows,764
daemon/graphdriver/zfs,421
daemon/images,2778
daemon/initlayer,66
daemon/links,294
daemon/listeners,154
daemon/logger,1889
daemon/logger/awslogs,2245
