Line num,0
packages num,19,29
files num,38,114
Average Line num per featured file,10845
apps/nsq_stat/main,151
apps/nsq_tail/main,113
apps/nsq_to_file/main,647
apps/nsq_to_http/main,357
apps/nsq_to_nsq/main,332
apps/nsqadmin/main,144
apps/nsqd/main,272
apps/nsqlookupd/main,125
apps/to_nsq/main,116
bench/bench_channels/main,82
bench/bench_reader/main,114
bench/bench_writer/main,109
internal/app/app,45
internal/auth/auth,128
internal/clusterinfo/clusterinfo,1045
internal/dirlock/dirlock,61
internal/http_api/http_api,416
internal/lg/lg,103
internal/pqueue/pqueue,127
internal/protocol/protocol,172
internal/quantile/quantile,177
internal/statsd/statsd,39
internal/stringy/stringy_test,78
internal/util/util,62
internal/version/version,9
internal/writers/writers,63
nsqadmin/nsqadmin,2169
nsqd/nsqd,7828
nsqlookupd/nsqlookupd,1785
Filename, #,Concurrent Type, Line number , Number
apps/nsq_stat/nsq_stat.go,8,Known chan length (length),178,1
apps/nsq_stat/nsq_stat.go,1,Goroutine,181,
apps/nsq_stat/nsq_stat.go,2,Receive,183,
apps/nsq_tail/nsq_tail.go,8,Known chan length (length),97,1
apps/nsq_tail/nsq_tail.go,2,Receive,132,
apps/nsq_tail/nsq_tail.go,2,Receive,138,
apps/nsq_to_file/nsq_to_file.go,4,Synchronous chan,139,
apps/nsq_to_file/nsq_to_file.go,4,Synchronous chan,140,
apps/nsq_to_file/topic_discoverer.go,22,chan used as a param,26,
apps/nsq_to_file/topic_discoverer.go,22,chan used as a param,26,
apps/nsq_to_file/topic_discoverer.go,5,Go in for,58,
apps/nsq_to_file/topic_discoverer.go,1,Goroutine,58,
apps/nsq_to_file/topic_discoverer.go,16,Select (number of branch),73,3
apps/nsq_to_file/topic_discoverer.go,2,Receive,74,
apps/nsq_to_file/topic_discoverer.go,2,Receive,81,
apps/nsq_to_file/topic_discoverer.go,2,Receive,86,
apps/nsq_to_file/topic_discoverer.go,3,Send,88,
apps/nsq_to_file/file_logger.go,8,Known chan length (length),56,1
apps/nsq_to_file/file_logger.go,4,Synchronous chan,58,
apps/nsq_to_file/file_logger.go,4,Synchronous chan,59,
apps/nsq_to_file/file_logger.go,3,Send,78,
apps/nsq_to_file/file_logger.go,16,Select (number of branch),91,5
apps/nsq_to_file/file_logger.go,2,Receive,92,
apps/nsq_to_file/file_logger.go,2,Receive,96,
apps/nsq_to_file/file_logger.go,2,Receive,100,
apps/nsq_to_file/file_logger.go,2,Receive,103,
apps/nsq_to_file/file_logger.go,2,Receive,112,
apps/nsq_to_http/nsq_to_http.go,8,Known chan length (length),239,1
apps/nsq_to_http/nsq_to_http.go,16,Select (number of branch),295,2
apps/nsq_to_http/nsq_to_http.go,2,Receive,296,
apps/nsq_to_http/nsq_to_http.go,2,Receive,298,
apps/nsq_to_nsq/nsq_to_nsq.go,8,Known chan length (length),319,1
apps/nsq_to_nsq/nsq_to_nsq.go,9,Unknown chan length,360,
apps/nsq_to_nsq/nsq_to_nsq.go,5,Go in for,383,
apps/nsq_to_nsq/nsq_to_nsq.go,1,Goroutine,383,
apps/nsq_to_nsq/nsq_to_nsq.go,2,Receive,400,
apps/nsq_to_nsq/nsq_to_nsq.go,2,Receive,406,
apps/nsqadmin/main.go,1,Goroutine,113,
apps/nsqd/main.go,1,Goroutine,77,
apps/nsqlookupd/main.go,1,Goroutine,88,
apps/to_nsq/to_nsq.go,4,Synchronous chan,49,
apps/to_nsq/to_nsq.go,8,Known chan length (length),50,1
apps/to_nsq/to_nsq.go,1,Goroutine,76,
apps/to_nsq/to_nsq.go,1,Goroutine,93,
apps/to_nsq/to_nsq.go,15,Close chan,110,
apps/to_nsq/to_nsq.go,16,Select (number of branch),116,2
apps/to_nsq/to_nsq.go,2,Receive,117,
apps/to_nsq/to_nsq.go,2,Receive,118,
bench/bench_channels/bench_channels.go,4,Synchronous chan,23,
bench/bench_channels/bench_channels.go,4,Synchronous chan,24,
bench/bench_channels/bench_channels.go,5,Go in for,27,
bench/bench_channels/bench_channels.go,1,Goroutine,27,
bench/bench_channels/bench_channels.go,2,Receive,31,
bench/bench_channels/bench_channels.go,15,Close chan,35,
bench/bench_channels/bench_channels.go,22,chan used as a param,41,
bench/bench_channels/bench_channels.go,22,chan used as a param,41,
bench/bench_channels/bench_channels.go,3,Send,55,
bench/bench_channels/bench_channels.go,2,Receive,56,
bench/bench_reader/bench_reader.go,4,Synchronous chan,36,
bench/bench_reader/bench_reader.go,4,Synchronous chan,37,
bench/bench_reader/bench_reader.go,5,Go in for,41,
bench/bench_reader/bench_reader.go,1,Goroutine,41,
bench/bench_reader/bench_reader.go,2,Receive,45,
bench/bench_reader/bench_reader.go,15,Close chan,59,
bench/bench_reader/bench_reader.go,22,chan used as a param,71,
bench/bench_reader/bench_reader.go,22,chan used as a param,71,
bench/bench_reader/bench_reader.go,3,Send,85,
bench/bench_reader/bench_reader.go,2,Receive,86,
bench/bench_reader/bench_reader.go,1,Goroutine,92,
bench/bench_writer/bench_writer.go,4,Synchronous chan,40,
bench/bench_writer/bench_writer.go,4,Synchronous chan,41,
bench/bench_writer/bench_writer.go,5,Go in for,44,
bench/bench_writer/bench_writer.go,1,Goroutine,44,
bench/bench_writer/bench_writer.go,2,Receive,48,
bench/bench_writer/bench_writer.go,15,Close chan,62,
bench/bench_writer/bench_writer.go,22,chan used as a param,74,
bench/bench_writer/bench_writer.go,22,chan used as a param,74,
bench/bench_writer/bench_writer.go,3,Send,87,
bench/bench_writer/bench_writer.go,2,Receive,88,
internal/clusterinfo/data.go,5,Go in for,85,
internal/clusterinfo/data.go,1,Goroutine,85,
