Line num,0
packages num,8,30
files num,17,215
Average Line num per featured file,5334
main,2955
contrib/cmd/recvtty/main,182
contrib/cmd/sd-helper/main,66
libcontainer/libcontainer,5785
libcontainer/apparmor/apparmor,67
libcontainer/capabilities/capabilities,148
libcontainer/cgroups/cgroups,1510
libcontainer/cgroups/devices/devices,1332
libcontainer/cgroups/ebpf/ebpf,193
libcontainer/cgroups/ebpf/devicefilter/devicefilter,385
libcontainer/cgroups/fs/fs,3933
libcontainer/cgroups/fs2/fs2,1190
libcontainer/cgroups/fscommon/fscommon,322
libcontainer/cgroups/systemd/systemd,1916
libcontainer/configs/configs_test,861
libcontainer/configs/validate/validate_test,721
libcontainer/devices/devices,295
libcontainer/integration/integration,2940
libcontainer/intelrdt/intelrdt,1010
libcontainer/keys/keys,32
libcontainer/logs/logs,216
libcontainer/nsenter/nsenter,235
libcontainer/seccomp/seccomp,245
libcontainer/seccomp/patchbpf/patchbpf,657
libcontainer/specconv/specconv,1708
libcontainer/system/system,262
libcontainer/user/user,1024
libcontainer/userns/userns,84
libcontainer/utils/utils,361
types/types,118
Filename, #,Concurrent Type, Line number , Number
signals.go,8,Known chan length (length),32,2048
signals.go,1,Goroutine,73,
notify_socket.go,4,Synchronous chan,118,
notify_socket.go,1,Goroutine,119,
notify_socket.go,3,Send,131,
notify_socket.go,16,Select (number of branch),140,2
notify_socket.go,2,Receive,141,
notify_socket.go,2,Receive,146,
events.go,8,Known chan length (length),54,1
events.go,8,Known chan length (length),55,1024
events.go,8,Known chan length (length),54,1
events.go,8,Known chan length (length),55,1024
events.go,1,Goroutine,59,
events.go,6,Range over chan,62,
events.go,3,Send,73,
events.go,15,Close chan,74,
events.go,1,Goroutine,78,
events.go,3,Send,85,
events.go,16,Select (number of branch),93,2
events.go,2,Receive,94,
events.go,3,Send,99,
events.go,2,Receive,103,
events.go,3,Send,104,
events.go,15,Close chan,107,
tty.go,1,Goroutine,58,
tty.go,1,Goroutine,63,
tty.go,1,Goroutine,64,
tty.go,1,Goroutine,131,
tty.go,1,Goroutine,132,
tty.go,1,Goroutine,134,
tty.go,1,Goroutine,140,
tty.go,8,Known chan length (length),149,1
tty.go,2,Receive,151,
tty.go,2,Receive,158,
utils_linux.go,8,Known chan length (length),165,1
utils_linux.go,1,Goroutine,166,
utils_linux.go,3,Send,167,
contrib/cmd/recvtty/recvtty.go,1,Goroutine,120,
contrib/cmd/recvtty/recvtty.go,1,Goroutine,126,
contrib/cmd/recvtty/recvtty.go,5,Go in for,158,
contrib/cmd/recvtty/recvtty.go,1,Goroutine,158,
libcontainer/notify_linux_v2.go,4,Synchronous chan,32,
libcontainer/notify_linux_v2.go,1,Goroutine,33,
libcontainer/notify_linux_v2.go,15,Close chan,40,
libcontainer/notify_linux_v2.go,3,Send,64,
libcontainer/notify_linux.go,4,Synchronous chan,43,
libcontainer/notify_linux.go,1,Goroutine,44,
libcontainer/notify_linux.go,15,Close chan,48,
libcontainer/notify_linux.go,3,Send,60,
libcontainer/notify_linux_test.go,16,Select (number of branch),64,2
libcontainer/notify_linux_test.go,2,Receive,65,
libcontainer/notify_linux_test.go,2,Receive,66,
libcontainer/notify_linux_test.go,16,Select (number of branch),80,2
libcontainer/notify_linux_test.go,2,Receive,81,
libcontainer/notify_linux_test.go,2,Receive,85,
libcontainer/process_linux.go,2,Receive,105,
libcontainer/process_linux.go,2,Receive,121,
libcontainer/process_linux.go,2,Receive,360,
libcontainer/process_linux.go,2,Receive,391,
libcontainer/process_linux.go,8,Known chan length (length),695,1
libcontainer/process_linux.go,1,Goroutine,696,
libcontainer/process_linux.go,15,Close chan,697,
libcontainer/process_linux.go,3,Send,707,
libcontainer/process_linux.go,3,Send,711,
libcontainer/container_linux.go,16,Select (number of branch),271,2
libcontainer/container_linux.go,2,Receive,272,
libcontainer/container_linux.go,2,Receive,275,
libcontainer/container_linux.go,4,Synchronous chan,301,
libcontainer/container_linux.go,1,Goroutine,302,
libcontainer/container_linux.go,3,Send,304,
libcontainer/container_linux.go,2,Receive,349,
libcontainer/cgroups/systemd/common.go,8,Known chan length (length),339,1
libcontainer/cgroups/systemd/common.go,16,Select (number of branch),348,2
libcontainer/cgroups/systemd/common.go,2,Receive,349,
libcontainer/cgroups/systemd/common.go,15,Close chan,350,
libcontainer/cgroups/systemd/common.go,2,Receive,356,
libcontainer/cgroups/systemd/common.go,8,Known chan length (length),368,1
libcontainer/cgroups/systemd/common.go,16,Select (number of branch),377,2
libcontainer/cgroups/systemd/common.go,2,Receive,378,
libcontainer/cgroups/systemd/common.go,15,Close chan,379,
libcontainer/cgroups/systemd/common.go,2,Receive,384,
libcontainer/configs/config.go,8,Known chan length (length),374,1
libcontainer/configs/config.go,1,Goroutine,375,
libcontainer/configs/config.go,3,Send,380,
libcontainer/configs/config.go,16,Select (number of branch),388,2
libcontainer/configs/config.go,2,Receive,389,
libcontainer/configs/config.go,2,Receive,391,
libcontainer/configs/config.go,2,Receive,393,
libcontainer/integration/execin_test.go,23,Make chan in constant for,283,300
libcontainer/integration/execin_test.go,5,Go in for,284,
libcontainer/integration/execin_test.go,7,Goroutine in for with constant (constant),284,300
libcontainer/integration/execin_test.go,4,Synchronous chan,283,
libcontainer/integration/execin_test.go,1,Goroutine,284,
libcontainer/integration/execin_test.go,3,Send,287,
libcontainer/integration/execin_test.go,3,Send,292,
libcontainer/integration/execin_test.go,3,Send,297,
libcontainer/integration/execin_test.go,3,Send,303,
libcontainer/integration/execin_test.go,16,Select (number of branch),309,2
libcontainer/integration/execin_test.go,2,Receive,310,
libcontainer/integration/execin_test.go,2,Receive,312,
libcontainer/logs/logs.go,8,Known chan length (length),31,1
libcontainer/logs/logs.go,1,Goroutine,34,
libcontainer/logs/logs.go,3,Send,43,
libcontainer/logs/logs.go,15,Close chan,44,
libcontainer/logs/logs_linux_test.go,16,Select (number of branch),55,2
libcontainer/logs/logs_linux_test.go,2,Receive,56,
libcontainer/logs/logs_linux_test.go,2,Receive,57,
libcontainer/logs/logs_linux_test.go,2,Receive,111,
libcontainer/seccomp/patchbpf/enosys_linux.go,8,Known chan length (length),119,1
libcontainer/seccomp/patchbpf/enosys_linux.go,1,Goroutine,120,
libcontainer/seccomp/patchbpf/enosys_linux.go,3,Send,122,
libcontainer/seccomp/patchbpf/enosys_linux.go,15,Close chan,123,
libcontainer/seccomp/patchbpf/enosys_linux.go,2,Receive,132,
