Line num,0
packages num,3,17
files num,5,68
Average Line num per featured file,663
auth/basic-auth/main,87
gateway/main,228
gateway/handlers/handlers,1884
gateway/metrics/metrics,557
gateway/pkg/middleware/middleware,33
gateway/plugin/plugin,246
gateway/requests/requests,175
gateway/scaling/scaling,354
gateway/types/types,607
gateway/version/version,13
sample-functions/BaseFunctions/golang/main,14
sample-functions/DockerHubStats/main,69
sample-functions/MarkdownRender/main,14
sample-functions/WebhookStash/main,24
sample-functions/apikey-secret/function,27
sample-functions/business-strategy-generator/function,9
sample-functions/haveibeenpwned/function,75
Filename, #,Concurrent Type, Line number , Number
gateway/main.go,1,Goroutine,260,
gateway/handlers/logs_test.go,2,Receive,104,
gateway/handlers/logs_test.go,8,Known chan length (length),125,1
gateway/handlers/logs_test.go,1,Goroutine,126,
gateway/handlers/logs_test.go,15,Close chan,128,
gateway/handlers/logs_test.go,3,Send,130,
gateway/handlers/logs_test.go,2,Receive,133,
gateway/handlers/logs.go,16,Select (number of branch),77,2
gateway/handlers/logs.go,2,Receive,78,
gateway/handlers/logs.go,2,Receive,83,
gateway/handlers/logs.go,8,Known chan length (length),116,1
gateway/handlers/logs.go,1,Goroutine,117,
gateway/handlers/logs.go,3,Send,119,
gateway/metrics/exporter_test.go,4,Synchronous chan,38,
gateway/metrics/exporter_test.go,1,Goroutine,41,
gateway/metrics/exporter_test.go,2,Receive,43,
gateway/metrics/exporter_test.go,2,Receive,50,
gateway/metrics/exporter_test.go,2,Receive,57,
gateway/metrics/exporter_test.go,4,Synchronous chan,77,
gateway/metrics/exporter_test.go,15,Close chan,78,
gateway/metrics/exporter_test.go,1,Goroutine,80,
gateway/metrics/exporter_test.go,2,Receive,82,
gateway/metrics/exporter.go,21,Send only chan (chan<-),43,
gateway/metrics/exporter.go,21,Send only chan (chan<-),55,
gateway/metrics/exporter.go,4,Synchronous chan,83,
gateway/metrics/exporter.go,1,Goroutine,85,
gateway/metrics/exporter.go,16,Select (number of branch),87,2
gateway/metrics/exporter.go,2,Receive,88,
gateway/metrics/exporter.go,2,Receive,119,
/Users/nicolasdilley/Library/Caches/go-build/66/6666d07ace4d6170668689414b14a61c0af4fc6aaf0b3c0434a4524779fadf82-d,0,Mutex,41,
