Line num,0
packages num,4,37
files num,12,99
Average Line num per featured file,1979
origin,1
cmd/openshift-tests/main,3783
examples/examples,131
examples/deployment/main,51
examples/hello-openshift/main,41
hack/jsonformat/main,25
hack/listtests/main,88
pkg/pkg,1
pkg/monitor/monitor,2017
pkg/monitor/intervalcreation/intervalcreation,299
pkg/monitor/monitorapi/monitorapi,413
pkg/monitor/resourcewatch/cmd/cmd,15
pkg/monitor/resourcewatch/controller/clusteroperatormetric/clusteroperatormetric,44
pkg/monitor/resourcewatch/controller/configmonitor/configmonitor,176
pkg/monitor/resourcewatch/operator/operator,66
pkg/monitor/resourcewatch/storage/storage,219
pkg/monitor/serialization/monitorserialization,105
pkg/synthetictests/synthetictests,1180
pkg/version/version,40
tools/buildanalyzer/main,11
tools/buildanalyzer/cmd/cmd,206
tools/changelog/main,254
tools/etcdhelper/main,170
tools/gotest2junit/main,186
tools/gotest2junit/pkg/api/api,141
tools/junitreport/main,129
tools/junitreport/pkg/api/api,141
tools/junitreport/pkg/builder/builder,6
tools/junitreport/pkg/builder/flat/flat,86
tools/junitreport/pkg/builder/nested/nested,292
tools/junitreport/pkg/cmd/cmd,132
tools/junitreport/pkg/errors/errors,20
tools/junitreport/pkg/parser/parser,8
tools/junitreport/pkg/parser/gotest/gotest,1412
tools/junitreport/pkg/parser/gotest/example/example,1
tools/junitreport/pkg/parser/oscmd/oscmd,840
tools/junitreport/pkg/parser/stack/stack,325
Filename, #,Concurrent Type, Line number , Number
examples/hello-openshift/hello_openshift.go,1,Goroutine,42,
examples/hello-openshift/hello_openshift.go,1,Goroutine,48,
examples/hello-openshift/hello_openshift.go,16,Select (number of branch),50,0
pkg/monitor/cmd.go,4,Synchronous chan,25,
pkg/monitor/cmd.go,1,Goroutine,26,
pkg/monitor/cmd.go,2,Receive,27,
pkg/monitor/cmd.go,2,Receive,30,
pkg/monitor/cmd.go,1,Goroutine,50,
pkg/monitor/cmd.go,16,Select (number of branch),56,2
pkg/monitor/cmd.go,2,Receive,57,
pkg/monitor/cmd.go,2,Receive,58,
pkg/monitor/cmd.go,2,Receive,74,
pkg/monitor/event.go,1,Goroutine,22,
pkg/monitor/event.go,17,Select with default (number of branch),24,2
pkg/monitor/event.go,2,Receive,25,
pkg/monitor/sampler_test.go,4,Synchronous chan,20,
pkg/monitor/sampler_test.go,3,Send,42,
pkg/monitor/sampler_test.go,2,Receive,52,
pkg/monitor/sampler.go,16,Select (number of branch),63,2
pkg/monitor/sampler.go,2,Receive,64,
pkg/monitor/sampler.go,2,Receive,65,
pkg/monitor/sampler.go,1,Goroutine,83,
pkg/monitor/pod.go,1,Goroutine,392,
pkg/monitor/monitor.go,1,Goroutine,46,
pkg/monitor/monitor.go,16,Select (number of branch),51,2
pkg/monitor/monitor.go,2,Receive,52,
pkg/monitor/monitor.go,2,Receive,53,
pkg/monitor/node.go,1,Goroutine,127,
pkg/monitor/api.go,1,Goroutine,150,
pkg/monitor/operator.go,1,Goroutine,133,
pkg/monitor/operator.go,1,Goroutine,286,
pkg/monitor/resourcewatch/controller/configmonitor/crd_controller.go,5,Go in for,148,
pkg/monitor/resourcewatch/controller/configmonitor/crd_controller.go,1,Goroutine,148,
pkg/monitor/resourcewatch/operator/starter.go,1,Goroutine,74,
pkg/monitor/resourcewatch/operator/starter.go,1,Goroutine,75,
pkg/monitor/resourcewatch/operator/starter.go,1,Goroutine,77,
pkg/monitor/resourcewatch/operator/starter.go,1,Goroutine,78,
pkg/monitor/resourcewatch/operator/starter.go,2,Receive,80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++origin/test/extended/single_node/topology.go,0,Waitgroup,47,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++origin/test/extended/single_node/topology.go,0,Waitgroup,47,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++origin/test/extended/single_node/topology.go,0,Waitgroup,47,
