Line num,0
packages num,6,42
files num,9,116
Average Line num per featured file,3537
s2i,1
cmd/cmd,1
cmd/s2i/main,26
pkg/pkg,1
pkg/api/api,403
pkg/api/constants/constants,51
pkg/api/describe/describe,158
pkg/api/validation/validation,187
pkg/build/build,117
pkg/build/strategies/strategies,69
pkg/build/strategies/dockerfile/dockerfile,610
pkg/build/strategies/layered/layered,362
pkg/build/strategies/onbuild/onbuild,407
pkg/build/strategies/sti/sti,2258
pkg/cmd/cmd,1
pkg/cmd/cli/cli,53
pkg/cmd/cli/cmd/cmd,637
pkg/cmd/cli/util/cmd,41
pkg/config/config,96
pkg/create/create,54
pkg/create/templates/templates,0
pkg/docker/docker,2226
pkg/errors/errors,224
pkg/ignore/ignore,247
pkg/run/run,38
pkg/scm/scm,113
pkg/scm/downloaders/empty/empty,13
pkg/scm/downloaders/file/file,112
pkg/scm/downloaders/git/git,116
pkg/scm/git/git,868
pkg/scripts/scripts,897
pkg/tar/tar,968
pkg/util/util,649
pkg/util/cmd/cmd,65
pkg/util/cygpath/cygpath,27
pkg/util/fs/fs,385
pkg/util/interrupt/interrupt,52
pkg/util/log/log,139
pkg/util/status/status,100
pkg/util/user/user,432
pkg/version/version,29
tools/tools,1
Filename, #,Concurrent Type, Line number , Number
pkg/build/strategies/onbuild/onbuild.go,1,Goroutine,111,
pkg/build/strategies/sti/postexecutorstep.go,2,Receive,365,
pkg/build/strategies/sti/sti.go,4,Synchronous chan,634,
pkg/build/strategies/sti/sti.go,15,Close chan,679,
pkg/build/strategies/sti/sti.go,3,Send,682,
pkg/build/strategies/sti/sti.go,15,Close chan,691,
pkg/build/strategies/sti/sti.go,1,Goroutine,698,
pkg/build/strategies/sti/sti.go,2,Receive,701,
pkg/build/strategies/sti/sti.go,2,Receive,722,
pkg/docker/util.go,8,Known chan length (length),212,1
pkg/docker/util.go,1,Goroutine,213,
pkg/docker/util.go,15,Close chan,230,
pkg/docker/docker.go,1,Goroutine,377,
pkg/docker/docker.go,8,Known chan length (length),860,1
pkg/docker/docker.go,1,Goroutine,862,
pkg/docker/docker.go,3,Send,872,
pkg/docker/docker.go,3,Send,875,
pkg/docker/docker.go,2,Receive,883,
pkg/docker/docker.go,2,Receive,889,
pkg/docker/docker.go,2,Receive,895,
pkg/docker/docker.go,8,Known chan length (length),1023,1
pkg/docker/docker.go,1,Goroutine,1025,
pkg/docker/docker.go,3,Send,1026,
pkg/docker/docker.go,16,Select (number of branch),1046,2
pkg/docker/docker.go,2,Receive,1047,
pkg/docker/docker.go,2,Receive,1057,
pkg/docker/docker.go,2,Receive,1063,
pkg/tar/tar.go,1,Goroutine,227,
pkg/tar/tar_test.go,1,Goroutine,575,
pkg/tar/tar_test.go,1,Goroutine,641,
pkg/util/timeout.go,8,Known chan length (length),31,1
pkg/util/timeout.go,1,Goroutine,33,
pkg/util/timeout.go,3,Send,36,
pkg/util/timeout.go,16,Select (number of branch),39,2
pkg/util/timeout.go,2,Receive,40,
pkg/util/timeout.go,2,Receive,43,
pkg/util/interrupt/interrupt.go,8,Known chan length (length),66,1
pkg/util/interrupt/interrupt.go,15,Close chan,68,
pkg/util/interrupt/interrupt.go,1,Goroutine,70,
pkg/util/interrupt/interrupt.go,2,Receive,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/scm/downloaders/file/download_test.go,0,Mutex,14,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/scm/downloaders/file/download_test.go,0,Mutex,33,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/scm/downloaders/file/download_test.go,0,Mutex,50,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/scm/git/git.go,0,Mutex,296,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/create/create.go,0,Mutex,53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/docker/docker.go,0,Mutex,300,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/docker/docker.go,0,Mutex,376,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/docker/docker.go,0,Mutex,376,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/docker/docker.go,0,Mutex,376,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/docker/docker.go,0,Mutex,376,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/docker/docker.go,0,Mutex,376,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/docker/docker.go,0,Mutex,376,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/docker/docker.go,0,Mutex,376,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/docker/docker.go,0,Mutex,376,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/layered/layered.go,0,Mutex,166,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/layered/layered.go,0,Mutex,166,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/layered/layered.go,0,Mutex,166,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/layered/layered.go,0,Mutex,166,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/layered/layered.go,0,Mutex,166,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/layered/layered.go,0,Mutex,166,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/layered/layered.go,0,Mutex,166,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/layered/layered.go,0,Mutex,166,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,261,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,261,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,261,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,261,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,261,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,261,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,261,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,261,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,262,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,262,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,262,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,262,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,262,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,262,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,262,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/postexecutorstep.go,0,Mutex,262,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,522,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,522,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,522,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,522,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,522,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,522,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,522,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,522,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,523,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,523,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,523,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,523,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,523,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,523,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,523,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,523,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,601,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/openshift++source-to-image/pkg/build/strategies/sti/sti.go,0,Mutex,601,
