Line num,0
packages num,79,217
files num,206,1519
Average Line num per featured file,147162
bindinfo/bindinfo,3528
br/cmd/br/main,874
br/cmd/tidb-lightning/main,98
br/cmd/tidb-lightning-ctl/main,400
br/pkg/backup/backup_test,1615
br/pkg/cdclog/cdclog,657
br/pkg/checksum/checksum,444
br/pkg/conn/conn,512
br/pkg/errors/errors,56
br/pkg/glue/glue,27
br/pkg/gluetidb/gluetidb,131
br/pkg/gluetikv/gluetikv,56
br/pkg/httputil/httputil,16
br/pkg/kv/kv_test,740
br/pkg/lightning/lightning,1026
br/pkg/lightning/backend/backend_test,603
br/pkg/lightning/backend/importer/importer,545
br/pkg/lightning/backend/kv/kv,1321
br/pkg/lightning/backend/local/local,5687
br/pkg/lightning/backend/noop/noop,97
br/pkg/lightning/backend/tidb/tidb_test,940
br/pkg/lightning/checkpoints/checkpoints_test,3144
br/pkg/lightning/checkpoints/checkpointspb/checkpointspb,2409
br/pkg/lightning/common/common_test,1073
br/pkg/lightning/config/config_test,1929
br/pkg/lightning/glue/glue,143
br/pkg/lightning/log/log_test,307
br/pkg/lightning/manual/manual,36
br/pkg/lightning/metric/metric_test,254
br/pkg/lightning/mydump/mydump_test,7274
br/pkg/lightning/restore/restore,8067
br/pkg/lightning/tikv/tikv_test,385
br/pkg/lightning/verification/verification_test,131
br/pkg/lightning/web/web,310
br/pkg/lightning/worker/worker_test,74
br/pkg/logutil/logutil,457
br/pkg/membuf/membuf,157
br/pkg/metautil/metautil,638
br/pkg/mock/mock_test,4795
br/pkg/mock/mockid/mockid,14
br/pkg/mock/storage/mockstorage,106
br/pkg/pdutil/pdutil,884
br/pkg/redact/redact_test,44
br/pkg/restore/restore_test,6929
br/pkg/rtree/rtree,405
br/pkg/storage/storage_test,3196
br/pkg/summary/summary,252
br/pkg/task/task,1883
br/pkg/trace/trace,134
br/pkg/utils/utils_test,1721
br/pkg/version/version,422
br/pkg/version/build/build,75
br/tools/tools,13
cmd/benchdb/main,264
cmd/benchfilesort/main,355
cmd/benchkv/main,107
cmd/benchraw/main,66
cmd/ddltest/ddltest,1282
cmd/explaintest/main,617
cmd/importer/main,1195
cmd/pluginpkg/main,139
cmd/portgenerator/main,30
config/config,1613
ddl/ddl,39739
ddl/failtest/ddl_test,476
ddl/label/label,364
ddl/placement/placement,1684
ddl/testutil/testutil,61
ddl/util/util_test,909
distsql/distsql,2527
domain/domain,2808
domain/infosync/infosync,932
errno/errno,2258
executor/executor_test,84952
executor/aggfuncs/aggfuncs,8947
executor/oomtest/oomtest,169
executor/seqtest/executor_test,1213
expression/expression_test,91020
expression/aggregation/aggregation,2229
expression/generator/main,2416
expression/generator/helper/helper,17
infoschema/infoschema,8467
infoschema/perfschema/perfschema_test,1031
kv/kv_test,1817
lock/lock,95
meta/meta_test,1520
meta/autoid/autoid_test,1787
metrics/metrics,1042
owner/owner_test,622
planner/planner,569
planner/cascades/cascades_test,3868
planner/core/core_test,53006
planner/implementation/implementation,448
planner/memo/memo,1026
planner/property/property,288
planner/util/util,156
plugin/plugin_test,998
plugin/conn_ip_example/main,151
privilege/privilege,41
privilege/privileges/privileges_test,4320
server/server,13225
session/session_test,16167
session/txninfo/txninfo,113
sessionctx/sessionctx,132
sessionctx/binloginfo/binloginfo_test,933
sessionctx/stmtctx/stmtctx,704
sessionctx/variable/variable_test,6080
statistics/statistics_test,9344
statistics/handle/handle_test,9231
store/store,693
store/copr/copr,2875
store/driver/driver,498
store/driver/backoff/backoff,44
store/driver/error/error,104
store/driver/options/options,16
store/driver/txn/txn,2016
store/gcworker/gcworker,3247
store/helper/helper_test,1101
store/mockstore/mockstore,374
store/mockstore/mockcopr/mockcopr,2444
store/mockstore/mockstorage/mockstorage,86
store/mockstore/unistore/unistore,870
store/mockstore/unistore/client/client,10
store/mockstore/unistore/config/config,125
store/mockstore/unistore/cophandler/cophandler,3555
store/mockstore/unistore/lockstore/lockstore,907
store/mockstore/unistore/metrics/metrics,95
store/mockstore/unistore/pd/pd,612
store/mockstore/unistore/server/server,120
store/mockstore/unistore/tikv/tikv,6129
store/mockstore/unistore/tikv/dbreader/dbreader,239
store/mockstore/unistore/tikv/mvcc/mvcc,308
store/mockstore/unistore/tikv/pberror/pberror,10
store/mockstore/unistore/util/lockwaiter/lockwaiter,301
structure/structure_test,850
table/table,1184
table/tables/tables_test,4392
tablecodec/tablecodec,1744
telemetry/telemetry_test,1340
telemetry/cte_test/cte_test,87
testkit/testkit,407
testkit/testdata/testdata,170
tidb-server/main,627
tools/check/main,188
types/types_test,16595
types/json/json,2635
types/parser_driver/driver,254
util/util_test,1106
util/admin/admin_test,828
util/arena/arena,93
util/bitmap/bitmap,117
util/checksum/checksum,581
util/chunk/chunk,6682
util/codec/codec,3040
util/collate/collate,1399
util/cteutil/cteutil,373
util/dbterror/dbterror,103
util/deadlockhistory/deadlockhistory,482
util/disjointset/disjointset,57
util/disk/disk,142
util/domainutil/domainutil,125
util/encrypt/encrypt,1046
util/execdetails/execdetails,1051
util/expensivequery/expensivequery,411
util/fastrand/fastrand,82
util/filesort/filesort,826
util/format/format,172
util/gcutil/gcutil,64
util/generatedexpr/generatedexpr,73
util/hack/hack,77
util/hint/hint,397
util/israce/israce,4
util/keydecoder/keydecoder_test,309
util/kvcache/kvcache,407
util/localpool/localpool,137
util/logutil/logutil_test,448
util/math/math,75
util/memory/memory,1056
util/mock/mock,437
util/mvmap/mvmap,255
util/parser/parser_test,361
util/pdapi/pdapi,11
util/placementpolicy/placementpolicy,108
util/plancodec/plancodec,806
util/printer/printer,175
util/profile/profile_test,518
util/ranger/ranger_test,4184
util/resourcegrouptag/resourcegrouptag,120
util/rowDecoder/decoder_test,356
util/rowcodec/rowcodec,1888
util/selection/selection,324
util/sem/sem,222
util/set/set,376
util/signal/signal,59
util/sli/sli,73
util/slice/slice,58
util/sqlexec/sqlexec,711
util/stmtsummary/stmtsummary,3497
util/stringutil/stringutil,507
util/sys/linux/linux,64
util/sys/storage/storage_test,50
util/systimemon/systimemon,61
util/tableutil/tableutil,15
util/testbridge/testbridge,12
util/testkit/testkit,352
util/testleak/testleak,138
util/testutil/testutil,377
util/texttree/texttree_test,70
util/timeutil/timeutil,208
util/topsql/topsql_test,323
util/topsql/reporter/reporter,1018
util/topsql/reporter/mock/mock,169
util/topsql/tracecpu/tracecpu,320
util/topsql/tracecpu/mock/mock,136
util/tracing/tracing_test,158
util/versioninfo/versioninfo,11
util/vitess/vitess,64
Filename, #,Concurrent Type, Line number , Number
bindinfo/handle.go,4,Synchronous chan,1014,
bindinfo/handle.go,1,Goroutine,1016,
bindinfo/handle.go,16,Select (number of branch),1017,2
bindinfo/handle.go,2,Receive,1018,
bindinfo/handle.go,2,Receive,1024,
bindinfo/handle.go,2,Receive,1028,
bindinfo/handle.go,21,Send only chan (chan<-),1032,
bindinfo/handle.go,3,Send,1038,
bindinfo/handle.go,3,Send,1046,
bindinfo/handle.go,3,Send,1057,
br/cmd/br/main.go,8,Known chan length (length),20,1
br/cmd/br/main.go,1,Goroutine,27,
br/cmd/br/main.go,2,Receive,28,
br/cmd/br/main.go,2,Receive,33,
br/cmd/br/main_test.go,8,Known chan length (length),36,1
br/cmd/br/main_test.go,1,Goroutine,39,
br/cmd/br/main_test.go,15,Close chan,41,
br/cmd/br/main_test.go,2,Receive,44,
br/cmd/tidb-lightning/main_test.go,8,Known chan length (length),41,1
br/cmd/tidb-lightning/main_test.go,1,Goroutine,44,
br/cmd/tidb-lightning/main_test.go,15,Close chan,46,
br/cmd/tidb-lightning/main_test.go,2,Receive,49,
br/cmd/tidb-lightning/main.go,8,Known chan length (length),37,1
br/cmd/tidb-lightning/main.go,1,Goroutine,44,
br/cmd/tidb-lightning/main.go,2,Receive,45,
br/cmd/tidb-lightning-ctl/main_test.go,8,Known chan length (length),39,1
br/cmd/tidb-lightning-ctl/main_test.go,1,Goroutine,42,
br/cmd/tidb-lightning-ctl/main_test.go,15,Close chan,44,
br/cmd/tidb-lightning-ctl/main_test.go,2,Receive,47,
br/pkg/backup/push.go,5,Go in for,89,
br/pkg/backup/push.go,1,Goroutine,89,
br/pkg/backup/push.go,3,Send,95,
br/pkg/backup/push.go,3,Send,107,
br/pkg/backup/push.go,1,Goroutine,113,
br/pkg/backup/push.go,16,Select (number of branch),120,2
br/pkg/backup/push.go,2,Receive,121,
br/pkg/backup/push.go,2,Receive,183,
br/pkg/backup/client.go,10,Make chan in for,597,
br/pkg/backup/client.go,10,Make chan in for,598,
br/pkg/backup/client.go,10,Make chan in for,599,
br/pkg/backup/client.go,5,Go in for,631,
br/pkg/backup/client.go,8,Known chan length (length),597,4
br/pkg/backup/client.go,8,Known chan length (length),598,4
br/pkg/backup/client.go,8,Known chan length (length),599,4
br/pkg/backup/client.go,5,Go in for,609,
br/pkg/backup/client.go,7,Goroutine in for with constant (constant),609,4
br/pkg/backup/client.go,1,Goroutine,609,
br/pkg/backup/client.go,6,Range over chan,611,
br/pkg/backup/client.go,3,Send,616,
br/pkg/backup/client.go,1,Goroutine,631,
br/pkg/backup/client.go,3,Send,633,
br/pkg/backup/client.go,15,Close chan,635,
br/pkg/backup/client.go,15,Close chan,637,
br/pkg/backup/client.go,16,Select (number of branch),642,2
br/pkg/backup/client.go,2,Receive,643,
br/pkg/backup/client.go,2,Receive,646,
br/pkg/backup/client.go,21,Send only chan (chan<-),759,
br/pkg/backup/client.go,3,Send,807,
br/pkg/backup/schema_test.go,8,Known chan length (length),57,4
br/pkg/backup/schema_test.go,1,Goroutine,58,
br/pkg/backup/schema_test.go,15,Close chan,61,
br/pkg/backup/schema_test.go,6,Range over chan,65,
br/pkg/checksum/validate.go,4,Synchronous chan,29,
