Line num,178190
packages num,59,234
files num,89,589
Average Line num per featured file,506,45065
,10
backend/alias,133
backend/all,46
backend/amazonclouddrive,1014
backend/azureblob,1642
backend/b2,2097
backend/b2/api,261
backend/box,1305
backend/box/api,207
backend/cache,5066
backend/chunker,2581
backend/compress,1099
backend/crypt,2895
backend/crypt/pkcs7,116
backend/drive,3700
backend/dropbox,1707
backend/dropbox/dbhash,164
backend/fichier,1046
backend/filefabric,1008
backend/filefabric/api,276
backend/ftp,917
backend/googlecloudstorage,946
backend/googlephotos,2350
backend/googlephotos/api,111
backend/hdfs,468
backend/http,787
backend/hubic,208
backend/jottacloud,1312
backend/jottacloud/api,245
backend/koofr,523
backend/local,1489
backend/mailru,1751
backend/mailru/api,415
backend/mailru/mrhash,165
backend/mega,885
backend/memory,467
backend/onedrive,1789
backend/onedrive/api,297
backend/onedrive/quickxorhash,276
backend/opendrive,978
backend/pcloud,915
backend/pcloud/api,145
backend/premiumizeme,843
backend/premiumizeme/api,59
backend/putio,857
backend/qingstor,1262
backend/s3,3098
backend/seafile,2200
backend/seafile/api,106
backend/sftp,1436
backend/sharefile,1465
backend/sharefile/api,119
backend/sugarsync,1049
backend/sugarsync/api,117
backend/swift,1554
backend/tardigrade,583
backend/union,1132
backend/union/policy,1059
backend/union/upstream,281
backend/uptobox,812
backend/uptobox/api,131
backend/webdav,1120
backend/webdav/api,137
backend/webdav/odrvcookie,190
backend/yandex,872
backend/yandex/api,118
backend/zoho,1006
backend/zoho/api,81
bin,1001
cmd,854
cmd/about,106
cmd/all,62
cmd/authorize,30
cmd/backend,150
cmd/cachestats,50
cmd/cat,71
cmd/check,168
cmd/checksum,49
cmd/cleanup,25
cmd/cmount,835
cmd/config,446
cmd/copy,68
cmd/copyto,46
cmd/copyurl,72
cmd/cryptcheck,87
cmd/cryptdecode,74
cmd/dedupe,128
cmd/delete,55
cmd/deletefile,34
cmd/genautocomplete,241
cmd/gendocs,131
cmd/hashsum,96
cmd/link,56
cmd/listremotes,44
cmd/ls,33
cmd/ls/lshelp,21
cmd/lsd,51
cmd/lsf,371
cmd/lsjson,114
cmd/lsl,33
cmd/md5sum,45
cmd/mkdir,26
cmd/mount,505
cmd/mount/test,267
cmd/mount2,535
cmd/mountlib,895
cmd/move,55
cmd/moveto,48
cmd/ncdu,716
cmd/ncdu/scan,159
cmd/obscure,56
cmd/purge,29
cmd/rc,240
cmd/rcat,59
cmd/rcd,57
cmd/reveal,26
cmd/rmdir,28
cmd/rmdirs,38
cmd/selfupdate,677
cmd/serve,50
cmd/serve/dlna,1030
cmd/serve/dlna/data,256
cmd/serve/dlna/dlnaflags,38
cmd/serve/dlna/upnpav,48
cmd/serve/docker,1555
cmd/serve/ftp,467
cmd/serve/http,393
cmd/serve/http/data,241
cmd/serve/httplib,327
cmd/serve/httplib/httpflags,29
cmd/serve/proxy,443
cmd/serve/proxy/proxyflags,12
cmd/serve/restic,793
cmd/serve/servetest,105
cmd/serve/sftp,831
cmd/serve/webdav,533
cmd/settier,44
cmd/sha1sum,45
cmd/size,43
cmd/sync,53
cmd/test,19
cmd/test/changenotify,41
cmd/test/histogram,53
cmd/test/info,418
cmd/test/info/internal,131
cmd/test/info/internal/build_csv,138
cmd/test/makefiles,137
cmd/test/memory,91
cmd/touch,188
cmd/tree,211
cmd/version,162
cmdtest,356
fs,4987
fs/accounting,3024
fs/asyncreader,587
fs/cache,267
fs/chunkedreader,279
fs/config,2177
fs/config/configfile,404
fs/config/configflags,323
fs/config/configmap,441
fs/config/configstruct,247
fs/config/flags,120
fs/config/obscure,139
fs/dirtree,297
fs/driveletter,12
fs/filter,204
fs/filter/filterflags,38
fs/fserrors,527
fs/fshttp,370
fs/fspath,776
fs/hash,435
fs/list,162
fs/log,356
fs/log/logflags,15
fs/march,879
fs/object,299
fs/operations,6296
fs/rc,1805
fs/rc/jobs,762
fs/rc/js,123
fs/rc/rcflags,27
fs/rc/rcserver,1061
fs/rc/webgui,858
fs/sync,3024
fs/walk,1341
fstest,640
fstest/fstests,1484
fstest/mockdir,8
fstest/mockfs,82
fstest/mockobject,154
fstest/test_all,1118
fstest/testserver,148
fstest/testy,11
lib/atexit,139
lib/bucket,198
