Line num,0
packages num,2,7
files num,13,46
Average Line num per featured file,1737
metrics,3926
cmd/metrics-bench/main,18
cmd/metrics-example/main,121
cmd/never-read/main,20
exp/exp,131
librato/librato,297
stathat/stathat,65
Filename, #,Concurrent Type, Line number , Number
graphite_test.go,1,Goroutine,10,
graphite_test.go,1,Goroutine,15,
meter_test.go,1,Goroutine,37,
meter_test.go,5,Go in for,42,
meter_test.go,5,Go in for,47,
meter_test.go,1,Goroutine,42,
meter_test.go,1,Goroutine,47,
meter_test.go,1,Goroutine,70,
metrics_test.go,4,Synchronous chan,30,
metrics_test.go,1,Goroutine,53,
metrics_test.go,17,Select with default (number of branch),57,2
metrics_test.go,2,Receive,58,
metrics_test.go,5,Go in for,89,
metrics_test.go,7,Goroutine in for with constant (constant),89,128
metrics_test.go,1,Goroutine,89,
metrics_test.go,15,Close chan,104,
ewma_test.go,5,Go in for,39,
ewma_test.go,1,Goroutine,39,
meter.go,1,Goroutine,46,
meter.go,16,Select (number of branch),238,1
meter.go,2,Receive,239,
debug_test.go,4,Synchronous chan,24,
debug_test.go,1,Goroutine,25,
debug_test.go,2,Receive,30,
debug_test.go,1,Goroutine,31,
debug_test.go,2,Receive,35,
debug_test.go,22,chan used as a param,38,
debug_test.go,17,Select with default (number of branch),41,2
debug_test.go,3,Send,42,
gauge_test.go,5,Go in for,27,
gauge_test.go,1,Goroutine,27,
runtime_test.go,4,Synchronous chan,87,
runtime_test.go,1,Goroutine,88,
runtime_test.go,2,Receive,93,
runtime_test.go,1,Goroutine,94,
runtime_test.go,2,Receive,98,
runtime_test.go,22,chan used as a param,101,
runtime_test.go,17,Select with default (number of branch),104,2
runtime_test.go,3,Send,105,
opentsdb_test.go,1,Goroutine,10,
opentsdb_test.go,1,Goroutine,15,
log.go,22,chan used as a param,18,
log.go,4,Synchronous chan,25,
log.go,1,Goroutine,26,
log.go,3,Send,28,
log.go,22,chan used as a param,37,
sample_test.go,4,Synchronous chan,345,
sample_test.go,1,Goroutine,346,
sample_test.go,16,Select (number of branch),349,2
sample_test.go,2,Receive,350,
sample_test.go,2,Receive,352,
sample_test.go,3,Send,362,
registry_test.go,4,Synchronous chan,338,
registry_test.go,5,Go in for,343,
registry_test.go,7,Goroutine in for with constant (constant),343,10
registry_test.go,1,Goroutine,343,
registry_test.go,15,Close chan,356,
registry_test.go,1,Goroutine,386,
cmd/metrics-example/metrics-example.go,5,Go in for,23,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),23,10
cmd/metrics-example/metrics-example.go,5,Go in for,29,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),29,10
cmd/metrics-example/metrics-example.go,1,Goroutine,23,
cmd/metrics-example/metrics-example.go,1,Goroutine,29,
cmd/metrics-example/metrics-example.go,5,Go in for,40,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),40,10
cmd/metrics-example/metrics-example.go,5,Go in for,46,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),46,10
cmd/metrics-example/metrics-example.go,1,Goroutine,40,
cmd/metrics-example/metrics-example.go,1,Goroutine,46,
cmd/metrics-example/metrics-example.go,5,Go in for,57,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),57,10
cmd/metrics-example/metrics-example.go,5,Go in for,63,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),63,10
cmd/metrics-example/metrics-example.go,1,Goroutine,57,
cmd/metrics-example/metrics-example.go,1,Goroutine,63,
cmd/metrics-example/metrics-example.go,5,Go in for,85,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),85,10
cmd/metrics-example/metrics-example.go,5,Go in for,91,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),91,10
cmd/metrics-example/metrics-example.go,1,Goroutine,85,
cmd/metrics-example/metrics-example.go,1,Goroutine,91,
cmd/metrics-example/metrics-example.go,5,Go in for,102,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),102,10
cmd/metrics-example/metrics-example.go,5,Go in for,108,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),108,10
cmd/metrics-example/metrics-example.go,1,Goroutine,102,
cmd/metrics-example/metrics-example.go,1,Goroutine,108,
cmd/metrics-example/metrics-example.go,5,Go in for,119,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),119,10
cmd/metrics-example/metrics-example.go,5,Go in for,124,
cmd/metrics-example/metrics-example.go,7,Goroutine in for with constant (constant),124,10
cmd/metrics-example/metrics-example.go,1,Goroutine,119,
cmd/metrics-example/metrics-example.go,1,Goroutine,124,
cmd/metrics-example/metrics-example.go,1,Goroutine,132,
cmd/metrics-example/metrics-example.go,1,Goroutine,135,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/exp/exp.go,0,Mutex,49,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/exp/exp.go,0,Mutex Lock(),55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/exp/exp.go,0,Mutex Unlock(),63,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/exp/exp.go,0,Mutex Lock(),69,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/exp/exp.go,0,Mutex Unlock(),77,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/ewma.go,0,Mutex Lock(),109,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/ewma.go,0,Mutex Unlock(),118,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex,52,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),64,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),75,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),76,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),110,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),111,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),117,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),118,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),147,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),148,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),165,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),166,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),421,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),422,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),430,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),431,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),438,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),439,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),445,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),446,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),453,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),454,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),460,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),461,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),468,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),469,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),475,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),476,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),482,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),483,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),494,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),495,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),501,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),502,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),508,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),509,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),523,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),524,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Lock(),532,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/sample.go,0,Mutex Unlock(),533,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/timer.go,0,Mutex Lock(),201,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/timer.go,0,Mutex Unlock(),202,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/timer.go,0,Mutex Lock(),233,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/timer.go,0,Mutex Unlock(),234,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/timer.go,0,Mutex Lock(),241,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/timer.go,0,Mutex Unlock(),242,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rcrowley++go-metrics/ewma_test.go,0,Waitgroup,35,
