Line num,0
packages num,17,45
files num,41,367
Average Line num per featured file,8386
restic,334
cmd/restic/main,9859
helpers/build-release-binaries/main,202
helpers/prepare-release/main,387
internal/archiver/archiver,5067
internal/backend/backend,1670
internal/backend/azure/azure_test,552
internal/backend/b2/b2_test,479
internal/backend/dryrun/dryrun_test,177
internal/backend/gs/gs_test,475
internal/backend/local/local_test,528
internal/backend/location/location,517
internal/backend/mem/mem_test,226
internal/backend/rclone/rclone_test,481
internal/backend/rest/rest,808
internal/backend/s3/s3_test,834
internal/backend/sftp/sftp_test,762
internal/backend/swift/swift_test,503
internal/cache/cache,911
internal/checker/checker_test,984
internal/crypto/crypto_test,700
internal/debug/debug_test,290
internal/dump/dump,737
internal/errors/errors,53
internal/filter/filter_test,485
internal/fs/fs,2062
internal/fuse/fuse,1176
internal/hashing/hashing,212
internal/limiter/limiter,329
internal/migrations/migrations,106
internal/mock/mock,104
internal/options/options,462
internal/pack/pack_test,445
internal/repository/repository,3737
internal/restic/restic_test,4788
internal/restorer/restorer,1751
internal/selfupdate/selfupdate,443
internal/textfile/textfile,109
internal/ui/ui,487
internal/ui/json/json,398
internal/ui/progress/progress_test,166
internal/ui/signals/signals,34
internal/ui/table/table,313
internal/ui/termstatus/termstatus,470
internal/walker/walker,582
Filename, #,Concurrent Type, Line number , Number
cmd/restic/lock.go,4,Synchronous chan,44,
cmd/restic/lock.go,1,Goroutine,47,
cmd/restic/lock.go,20,Receive only chan (<-chan),58,
cmd/restic/lock.go,16,Select (number of branch),70,2
cmd/restic/lock.go,2,Receive,71,
cmd/restic/lock.go,2,Receive,74,
cmd/restic/integration_helpers_test.go,8,Known chan length (length),26,100
cmd/restic/integration_helpers_test.go,1,Goroutine,28,
cmd/restic/integration_helpers_test.go,3,Send,41,
cmd/restic/integration_helpers_test.go,15,Close chan,54,
cmd/restic/integration_helpers_test.go,2,Receive,58,
cmd/restic/integration_helpers_test.go,2,Receive,91,
cmd/restic/integration_helpers_test.go,2,Receive,98,
cmd/restic/find.go,4,Synchronous chan,12,
cmd/restic/find.go,1,Goroutine,13,
cmd/restic/find.go,15,Close chan,14,
cmd/restic/find.go,16,Select (number of branch),52,2
cmd/restic/find.go,2,Receive,53,
cmd/restic/find.go,3,Send,55,
cmd/restic/find.go,16,Select (number of branch),68,2
cmd/restic/find.go,2,Receive,69,
cmd/restic/find.go,3,Send,71,
cmd/restic/cmd_mount.go,2,Receive,173,
cmd/restic/delete.go,4,Synchronous chan,27,
cmd/restic/delete.go,15,Close chan,30,
cmd/restic/delete.go,16,Select (number of branch),32,2
cmd/restic/delete.go,3,Send,33,
cmd/restic/delete.go,2,Receive,34,
cmd/restic/delete.go,6,Range over chan,45,
cmd/restic/integration_fuse_test.go,1,Goroutine,88,
cmd/restic/cmd_debug.go,4,Synchronous chan,202,
cmd/restic/cmd_debug.go,4,Synchronous chan,204,
cmd/restic/cmd_debug.go,15,Close chan,226,
