Line num,0
packages num,1,7
files num,4,92
Average Line num per featured file,1127
revel_test,9225
cache/cache,986
logger/logger_test,1264
model/model,44
session/session_test,375
testing/testing,514
utils/utils,211
Filename, #,Concurrent Type, Line number , Number
server_adapter_go.go,4,Synchronous chan,64,
server_adapter_go.go,1,Goroutine,77,
server_adapter_go.go,1,Goroutine,220,
server_adapter_go.go,2,Receive,221,
server_test.go,1,Goroutine,134,
watcher.go,8,Known chan length (length),70,100
watcher.go,8,Known chan length (length),71,10
watcher.go,1,Goroutine,133,
watcher.go,16,Select (number of branch),144,2
watcher.go,2,Receive,145,
watcher.go,1,Goroutine,158,
watcher.go,2,Receive,163,
watcher.go,17,Select with default (number of branch),182,3
watcher.go,2,Receive,183,
watcher.go,2,Receive,188,
watcher.go,2,Receive,240,
watcher.go,2,Receive,243,
watcher.go,3,Send,249,
compress.go,8,Known chan length (length),69,1
compress.go,17,Select with default (number of branch),157,2
compress.go,3,Send,158,
compress.go,17,Select with default (number of branch),172,2
compress.go,2,Receive,173,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/cache/serialization.go,0,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/cache/serialization.go,0,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/cache/serialization.go,0,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/cache/serialization.go,0,Mutex,72,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/cache/serialization.go,0,Mutex,72,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/testing/testsuite.go,0,Mutex,54,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/testing/testsuite.go,0,Mutex,294,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/testing/testsuite.go,0,Mutex,294,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/testing/testsuite_test.go,0,Mutex,51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/testing/testsuite_test.go,0,Mutex,51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/revel++revel/testing/testsuite_test.go,0,Mutex,51,
