Line num,0
packages num,1,4
files num,2,9
Average Line num per featured file,570
main,79
backends/backends,833
frontends/frontends,537
iface/iface,125
Filename, #,Concurrent Type, Line number , Number
backends/forecast.io.go,4,Synchronous chan,224,
backends/forecast.io.go,1,Goroutine,235,
backends/forecast.io.go,3,Send,240,
backends/forecast.io.go,2,Receive,263,
backends/worldweatheronline.com.go,22,chan used as a param,256,
backends/worldweatheronline.com.go,3,Send,262,
backends/worldweatheronline.com.go,3,Send,266,
backends/worldweatheronline.com.go,3,Send,274,
backends/worldweatheronline.com.go,3,Send,285,
backends/worldweatheronline.com.go,3,Send,292,
backends/worldweatheronline.com.go,3,Send,296,
backends/worldweatheronline.com.go,4,Synchronous chan,303,
backends/worldweatheronline.com.go,1,Goroutine,317,
backends/worldweatheronline.com.go,2,Receive,360,
