Line num,0
packages num,1,5
files num,4,44
Average Line num per featured file,1088
logrus_test,3934
ci/main,69
hooks/syslog/syslog,62
hooks/writer/writer,52
internal/testutils/testutils,46
Filename, #,Concurrent Type, Line number , Number
writer.go,1,Goroutine,51,
entry_test.go,1,Goroutine,272,
entry_test.go,1,Goroutine,275,
hook_test.go,1,Goroutine,180,
hook_test.go,1,Goroutine,184,
logrus_test.go,5,Go in for,557,
logrus_test.go,7,Goroutine in for with constant (constant),557,100
logrus_test.go,1,Goroutine,557,
logrus_test.go,5,Go in for,577,
logrus_test.go,7,Goroutine in for with constant (constant),577,100
logrus_test.go,1,Goroutine,577,
logrus_test.go,5,Go in for,602,
logrus_test.go,7,Goroutine in for with constant (constant),602,50
logrus_test.go,1,Goroutine,602,
logrus_test.go,5,Go in for,616,
logrus_test.go,7,Goroutine in for with constant (constant),616,50
logrus_test.go,1,Goroutine,616,
logrus_test.go,3,Send,683,
logrus_test.go,2,Receive,697,
logrus_test.go,5,Go in for,792,
logrus_test.go,7,Goroutine in for with constant (constant),792,100
logrus_test.go,1,Goroutine,792,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/example_basic_test.go,0,Mutex,10,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/example_basic_test.go,0,Mutex,28,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/example_custom_caller_test.go,0,Mutex,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/example_default_field_value_test.go,0,Mutex,23,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/example_global_hook_test.go,0,Mutex,26,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/example_hook_test.go,0,Mutex,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/example_hook_test.go,0,Mutex,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/hook_test.go,0,Mutex,107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/hook_test.go,0,Waitgroup,176,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/hook_test.go,0,Waitgroup Add(const),177,&{8766481 INT 2} val is : 2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/hook_test.go,0,Waitgroup Done(),181,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/hook_test.go,0,Waitgroup Done(),185,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,73,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,78,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,197,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,201,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,259,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,307,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,313,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,335,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,339,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,366,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,371,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,423,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup,554,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup Add(const),556,&{8789426 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup Done(),558,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,571,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup,573,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup Add(const),574,&{8789651 INT 100} val is : 100
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup Done(),579,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,586,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,589,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup,592,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,593,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup Add(const),599,&{8790025 INT 100} val is : 100
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup Done(),611,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup Done(),625,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,639,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,664,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,668,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,673,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,689,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,706,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,772,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Mutex,784,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup,788,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sirupsen++logrus/logrus_test.go,0,Waitgroup Add(const),789,&{8795705 INT 100} val is : 100
