Line num,0
packages num,1,26
files num,1,153
Average Line num per featured file,265
golearn,1
base/base,4578
clustering/clustering,818
ensemble/ensemble,386
evaluation/evaluation,349
examples/averageperceptron/main,23
examples/crossfold/main,27
examples/instances/main,39
examples/knnclassifier/main,26
examples/serialization/main,22
examples/trees/cart/main,37
examples/trees/id3/main,100
examples/trees/isolationForest/main,32
filters/filters,1002
kdtree/kdtree,396
knn/knn,880
linear_models/linear_models,804
meta/meta,776
metrics/pairwise/pairwise,383
naive/naive,324
neural/neural,650
optimisation/optimisation,1
pca/pca,170
perceptron/perceptron,227
trees/trees_test,2101
utilities/utilities,38
Filename, #,Concurrent Type, Line number , Number
meta/bagging.go,5,Go in for,88,
meta/bagging.go,1,Goroutine,88,
meta/bagging.go,9,Unknown chan length,106,
meta/bagging.go,1,Goroutine,113,
meta/bagging.go,2,Receive,115,
meta/bagging.go,9,Unknown chan length,136,
meta/bagging.go,5,Go in for,140,
meta/bagging.go,1,Goroutine,140,
meta/bagging.go,2,Receive,142,
meta/bagging.go,3,Send,146,
meta/bagging.go,3,Send,157,
meta/bagging.go,15,Close chan,159,
meta/bagging.go,15,Close chan,161,
/Users/nicolasdilley/Library/Caches/go-build/cd/cd02939006daf57430ea17727353f5519a3349033c9057fa69e8a4b061c27d99-d,0,Mutex,59,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dataframe_go.go,0,Mutex,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex,48,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex,75,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex,83,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Lock(),149,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Unlock(),150,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Lock(),167,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Unlock(),168,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Lock(),190,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Unlock(),191,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Lock(),237,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Unlock(),238,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Lock(),264,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Unlock(),265,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Lock(),280,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Unlock(),281,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Lock(),301,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Unlock(),302,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Lock(),316,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Unlock(),317,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Lock(),326,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Unlock(),327,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Lock(),394,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/dense.go,0,Mutex Unlock(),395,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/domain.go,0,Mutex,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/domain.go,0,Mutex,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/domain.go,0,Mutex,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/serialize_instances.go,0,Mutex,213,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/sjwhitworth++golearn/base/sort.go,0,Mutex,112,
