Line num,0
packages num,2,8
files num,2,20
Average Line num per featured file,1555
viper,3945
internal/encoding/encoding,197
internal/encoding/hcl/hcl,27
internal/encoding/json/json,11
internal/encoding/toml/toml,34
internal/encoding/yaml/yaml,9
internal/testutil/testutil,26
remote/remote,92
Filename, #,Concurrent Type, Line number , Number
viper.go,1,Goroutine,386,
viper.go,1,Goroutine,406,
viper.go,16,Select (number of branch),408,2
viper.go,2,Receive,409,
viper.go,2,Receive,436,
viper.go,5,Go in for,1896,
viper.go,1,Goroutine,1896,
viper.go,2,Receive,1898,
remote/remote.go,4,Synchronous chan,51,
remote/remote.go,4,Synchronous chan,52,
remote/remote.go,4,Synchronous chan,53,
remote/remote.go,1,Goroutine,56,
remote/remote.go,16,Select (number of branch),58,2
remote/remote.go,2,Receive,59,
remote/remote.go,3,Send,60,
remote/remote.go,2,Receive,62,
remote/remote.go,3,Send,63,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/internal/encoding/decoder_test.go,0,Mutex,20,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/internal/encoding/decoder_test.go,0,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/internal/encoding/decoder_test.go,0,Mutex,45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/internal/encoding/decoder_test.go,0,Mutex,68,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/internal/encoding/encoder_test.go,0,Mutex,17,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/internal/encoding/encoder_test.go,0,Mutex,26,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/internal/encoding/encoder_test.go,0,Mutex,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/internal/encoding/encoder_test.go,0,Mutex,63,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Waitgroup,384,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Waitgroup Add(const),385,&{14940109 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Mutex,387,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Waitgroup Done(),396,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Waitgroup,404,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Waitgroup Add(const),405,&{14940628 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Waitgroup Done(),411,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Waitgroup Done(),432,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Waitgroup Done(),440,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Waitgroup Done(),446,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Mutex,1657,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Mutex,1664,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper.go,0,Mutex,1723,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper_test.go,0,Mutex,591,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper_test.go,0,Waitgroup,2199,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper_test.go,0,Waitgroup Add(const),2200,&{15385405 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper_test.go,0,Waitgroup Done(),2203,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper_test.go,0,Waitgroup,2221,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper_test.go,0,Waitgroup Done(),2225,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/spf13++viper/viper_test.go,0,Waitgroup Add(const),2227,&{15386278 INT 1} val is : 1
/Users/nicolasdilley/Library/Caches/go-build/5c/5c674b2f13773c5cd936ca18530b9f09c4f76983f0d028257f3d5336b7f71b43-d,0,Mutex,47,
