Line num,67663
packages num,31,128
files num,80,674
Average Line num per featured file,123,9847
core/bloom,169
core/breaker,792
core/cmdline,86
core/codec,576
core/collection,2207
core/conf,321
core/contextx,138
core/discov,738
core/discov/internal,840
core/errorx,190
core/executors,736
core/filex,443
core/fs,41
core/fx,974
core/hash,347
core/iox,397
core/jsontype,127
core/jsonx,41
core/lang,6
core/limit,349
core/load,598
core/logx,1694
core/mapping,5334
core/mathx,251
core/metric,302
core/mr,627
core/naming,4
core/netx,39
core/proc,486
core/prof,172
core/prometheus,39
core/queue,502
core/rescue,32
core/search,382
core/service,248
core/stat,513
core/stat/internal,284
core/stores/cache,986
core/stores/clickhouse,17
core/stores/kv,1182
core/stores/mongo,1622
core/stores/mongo/internal,141
core/stores/mongoc,657
core/stores/postgres,17
core/stores/redis,2907
core/stores/redis/redistest,24
core/stores/sqlc,659
core/stores/sqlx,2481
core/stringx,955
core/syncx,1395
core/sysx,29
core/threading,204
core/timex,147
core/trace,518
core/trace/opentelemetry,728
core/trace/tracespec,20
core/utils,174
rest,807
rest/handler,1955
rest/httpx,557
rest/internal,136
rest/internal/security,329
rest/pathvar,47
rest/router,945
rest/token,176
tools/goctl,642
tools/goctl/api/apigen,122
tools/goctl/api/dartgen,384
tools/goctl/api/docgen,156
tools/goctl/api/format,232
tools/goctl/api/gogen,1651
tools/goctl/api/javagen,679
tools/goctl/api/ktgen,282
tools/goctl/api/new,59
tools/goctl/api/parser,327
tools/goctl/api/parser/g4/ast,2117
tools/goctl/api/parser/g4/gen/api,4654
tools/goctl/api/parser/g4/test,2157
tools/goctl/api/spec,352
tools/goctl/api/tsgen,391
tools/goctl/api/util,173
tools/goctl/api/validate,19
tools/goctl/config,23
tools/goctl/docker,196
tools/goctl/internal/errorx,47
tools/goctl/internal/version,68
tools/goctl/kube,248
tools/goctl/model/mongo,37
tools/goctl/model/mongo/generate,120
tools/goctl/model/mongo/template,89
tools/goctl/model/sql/builderx,202
tools/goctl/model/sql/command,272
tools/goctl/model/sql/converter,136
tools/goctl/model/sql/gen,1403
tools/goctl/model/sql/model,346
tools/goctl/model/sql/parser,424
tools/goctl/model/sql/template,202
tools/goctl/model/sql/test,483
tools/goctl/model/sql/test/model,477
tools/goctl/model/sql/util,70
