Line num,0
packages num,4,16
files num,11,88
Average Line num per featured file,4988
cmd/tile38-benchmark/main,708
cmd/tile38-benchmark/az/az,4
cmd/tile38-cli/main,621
cmd/tile38-luamemtest/main,243
cmd/tile38-server/main,361
core/core,2372
internal/bing/bing,268
internal/clip/clip,360
internal/collection/collection,1629
internal/deadline/deadline,24
internal/endpoint/endpoint,1601
internal/expire/expire,180
internal/glob/glob,591
internal/hservice/hservice,99
internal/log/log,139
internal/server/server,10947
Filename, #,Concurrent Type, Line number , Number
cmd/tile38-server/main.go,1,Goroutine,342,
cmd/tile38-server/main.go,8,Known chan length (length),372,1
cmd/tile38-server/main.go,1,Goroutine,375,
cmd/tile38-server/main.go,6,Range over chan,376,
internal/endpoint/endpoint.go,1,Goroutine,151,
internal/expire/expire.go,1,Goroutine,27,
internal/server/metrics.go,21,Send only chan (chan<-),78,
internal/server/metrics.go,3,Send,80,
internal/server/metrics.go,21,Send only chan (chan<-),84,
internal/server/metrics.go,3,Send,94,
internal/server/metrics.go,3,Send,96,
internal/server/metrics.go,3,Send,100,
internal/server/metrics.go,3,Send,105,
internal/server/metrics.go,3,Send,115,
internal/server/metrics.go,3,Send,125,
internal/server/metrics.go,3,Send,131,
internal/server/metrics.go,3,Send,137,
internal/server/metrics.go,3,Send,143,
internal/server/live.go,1,Goroutine,128,
internal/server/follow.go,1,Goroutine,91,
internal/server/pubsub.go,1,Goroutine,304,
internal/server/aof.go,1,Goroutine,513,
internal/server/aof.go,1,Goroutine,539,
internal/server/stats.go,1,Goroutine,29,
internal/server/hooks.go,1,Goroutine,572,
internal/server/server.go,1,Goroutine,289,
internal/server/server.go,1,Goroutine,295,
internal/server/server.go,1,Goroutine,302,
internal/server/server.go,1,Goroutine,303,
internal/server/server.go,1,Goroutine,304,
internal/server/server.go,1,Goroutine,305,
internal/server/server.go,1,Goroutine,306,
internal/server/server.go,1,Goroutine,307,
internal/server/server.go,5,Go in for,351,
internal/server/server.go,1,Goroutine,351,
internal/server/server.go,1,Goroutine,465,
internal/server/server.go,1,Goroutine,1113,
/Users/nicolasdilley/Library/Caches/go-build/e6/e685d9de908eecff3958cfeca75f5361a20ec4a6ae5766b187991f7328f8796a-d,0,Mutex,43,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/log/log.go,0,Mutex Lock(),64,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/log/log.go,0,Mutex Unlock(),66,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire.go,0,Mutex Lock(),24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire.go,0,Mutex Unlock(),30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire.go,0,Mutex Lock(),36,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire.go,0,Mutex Unlock(),39,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire.go,0,Mutex Unlock(),45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire.go,0,Mutex Unlock(),50,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire_test.go,0,Mutex,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire_test.go,0,Mutex,43,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire_test.go,0,Mutex,72,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire_test.go,0,Waitgroup,77,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire_test.go,0,Waitgroup Add(var),78,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/expire/expire_test.go,0,Waitgroup Done(),82,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aof.go,0,Mutex,245,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aof.go,0,Mutex,245,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aof.go,0,Mutex,245,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aof.go,0,Mutex,259,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aof.go,0,Mutex,259,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aof.go,0,Mutex,259,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aof.go,0,Mutex,273,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aof.go,0,Mutex,273,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aof.go,0,Mutex,273,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aofshrink.go,0,Mutex,90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aofshrink.go,0,Mutex,90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aofshrink.go,0,Mutex,90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aofshrink.go,0,Mutex,182,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aofshrink.go,0,Mutex,182,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/aofshrink.go,0,Mutex,182,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/client.go,0,Mutex Lock(),80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/client.go,0,Mutex Unlock(),90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/client.go,0,Mutex Lock(),130,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/client.go,0,Mutex Unlock(),132,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/client.go,0,Mutex Lock(),151,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/client.go,0,Mutex Unlock(),153,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/client.go,0,Mutex,194,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/config.go,0,Mutex,79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,145,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,145,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,145,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,301,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,301,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,301,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,359,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,359,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,359,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,420,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,420,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,420,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,460,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,460,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,460,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,472,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,472,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,472,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,763,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,763,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,763,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,872,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,872,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,872,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,931,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tidwall++tile38/internal/server/crud.go,0,Mutex,931,
