Line num,298
packages num,1,3
files num,2,3
Average Line num per featured file,88,176
behavioral/observer,57
concurrency,176
structural/proxy,65
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,20,Receive only chan (<-chan),17,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,4,Synchronous chan,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,8,Known chan length (length),19,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,1,Goroutine,20,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,15,Close chan,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,3,Send,24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,16,Select (number of branch),31,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,3,Send,32,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,2,Receive,33,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,20,Receive only chan (<-chan),51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,20,Receive only chan (<-chan),51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,21,Send only chan (chan<-),51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,16,Select (number of branch),54,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,3,Send,55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,2,Receive,56,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,4,Synchronous chan,69,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/tmrts++go-patterns/concurrency/bounded_parallelism.go,15,Close chan,70,
