Line num,0
packages num,5,7
files num,10,44
Average Line num per featured file,15628
main,874
internal/cmd/echosrv/main,61
internal/cmd/jsonschema/main,50
internal/resolver/resolver,198
lib/vegeta,3546
lib/lttb/lttb,14141
lib/plot/main,717
Filename, #,Concurrent Type, Line number , Number
plot.go,8,Known chan length (length),76,1
plot.go,17,Select with default (number of branch),87,2
plot.go,2,Receive,88,
encode.go,8,Known chan length (length),100,1
encode.go,17,Select with default (number of branch),104,2
encode.go,2,Receive,105,
attack.go,8,Known chan length (length),195,1
attack.go,16,Select (number of branch),199,2
attack.go,2,Receive,200,
attack.go,2,Receive,203,
report.go,8,Known chan length (length),119,1
report.go,17,Select with default (number of branch),132,3
report.go,2,Receive,133,
report.go,2,Receive,135,
internal/cmd/echosrv/main.go,1,Goroutine,26,
internal/resolver/resolver_test.go,4,Synchronous chan,58,
internal/resolver/resolver_test.go,15,Close chan,66,
internal/resolver/resolver_test.go,1,Goroutine,69,
internal/resolver/resolver_test.go,2,Receive,81,
lib/attack_test.go,2,Receive,115,
lib/attack_test.go,1,Goroutine,304,
lib/attack_test.go,16,Select (number of branch),350,0
lib/attack_fuzz.go,1,Goroutine,32,
lib/attack_fuzz.go,1,Goroutine,107,
lib/attack.go,4,Synchronous chan,70,
lib/attack.go,4,Synchronous chan,275,
lib/attack.go,4,Synchronous chan,276,
lib/attack.go,5,Go in for,279,
lib/attack.go,1,Goroutine,279,
lib/attack.go,1,Goroutine,282,
lib/attack.go,15,Close chan,283,
lib/attack.go,15,Close chan,285,
lib/attack.go,17,Select with default (number of branch),302,3
lib/attack.go,3,Send,303,
lib/attack.go,2,Receive,306,
lib/attack.go,1,Goroutine,312,
lib/attack.go,16,Select (number of branch),316,2
lib/attack.go,3,Send,317,
lib/attack.go,2,Receive,319,
lib/attack.go,17,Select with default (number of branch),330,2
lib/attack.go,2,Receive,331,
lib/attack.go,20,Receive only chan (<-chan),338,
lib/attack.go,21,Send only chan (chan<-),338,
lib/attack.go,3,Send,341,
lib/lttb/lttb_test.go,5,Go in for,42,
