Line num,0
packages num,2,4
files num,13,30
Average Line num per featured file,4708
brook,4151
cli/brook/main,1306
limits/limits,28
tproxy/tproxy,242
Filename, #,Concurrent Type, Line number , Number
socks5tohttp.go,5,Go in for,79,
socks5tohttp.go,1,Goroutine,79,
socks5tohttp.go,1,Goroutine,152,
relay.go,5,Go in for,111,
relay.go,1,Goroutine,111,
relay.go,5,Go in for,141,
relay.go,1,Goroutine,141,
relay.go,1,Goroutine,169,
relay.go,1,Goroutine,253,
packetstream.go,4,Synchronous chan,31,
packetstream.go,4,Synchronous chan,32,
packetstream.go,16,Select (number of branch),36,2
packetstream.go,3,Send,37,
packetstream.go,2,Receive,39,
packetstream.go,16,Select (number of branch),48,2
packetstream.go,2,Receive,49,
packetstream.go,2,Receive,52,
server.go,5,Go in for,112,
server.go,1,Goroutine,112,
server.go,5,Go in for,142,
server.go,1,Goroutine,142,
streamserver.go,1,Goroutine,168,
map.go,5,Go in for,138,
map.go,1,Goroutine,138,
map.go,5,Go in for,168,
map.go,1,Goroutine,168,
map.go,1,Goroutine,337,
streamclient.go,1,Goroutine,157,
wsserver.go,1,Goroutine,111,
wsserver.go,1,Goroutine,120,
wsclient.go,1,Goroutine,298,
hijackhttps.go,5,Go in for,229,
hijackhttps.go,1,Goroutine,229,
hijackhttps.go,1,Goroutine,362,
dns.go,5,Go in for,160,
dns.go,1,Goroutine,160,
dns.go,5,Go in for,190,
dns.go,1,Goroutine,190,
dns.go,1,Goroutine,242,
dns.go,1,Goroutine,473,
tproxy_linux.go,5,Go in for,339,
tproxy_linux.go,1,Goroutine,339,
tproxy_linux.go,5,Go in for,372,
tproxy_linux.go,1,Goroutine,372,
tproxy_linux.go,1,Goroutine,425,
tproxy_linux.go,1,Goroutine,555,
tproxy_linux.go,1,Goroutine,673,
cli/brook/main.go,1,Goroutine,105,
cli/brook/main.go,8,Known chan length (length),106,1
cli/brook/main.go,2,Receive,108,
cli/brook/main.go,1,Goroutine,180,
cli/brook/main.go,8,Known chan length (length),181,1
cli/brook/main.go,2,Receive,183,
cli/brook/main.go,1,Goroutine,187,
cli/brook/main.go,1,Goroutine,237,
cli/brook/main.go,8,Known chan length (length),238,1
cli/brook/main.go,2,Receive,240,
cli/brook/main.go,1,Goroutine,312,
cli/brook/main.go,8,Known chan length (length),313,1
cli/brook/main.go,2,Receive,315,
cli/brook/main.go,1,Goroutine,319,
cli/brook/main.go,1,Goroutine,368,
cli/brook/main.go,8,Known chan length (length),369,1
cli/brook/main.go,2,Receive,371,
cli/brook/main.go,1,Goroutine,443,
cli/brook/main.go,8,Known chan length (length),444,1
cli/brook/main.go,2,Receive,446,
cli/brook/main.go,1,Goroutine,450,
cli/brook/main.go,1,Goroutine,505,
cli/brook/main.go,8,Known chan length (length),506,1
cli/brook/main.go,2,Receive,508,
cli/brook/main.go,1,Goroutine,570,
cli/brook/main.go,8,Known chan length (length),571,1
cli/brook/main.go,2,Receive,573,
cli/brook/main.go,1,Goroutine,668,
cli/brook/main.go,1,Goroutine,697,
cli/brook/main.go,8,Known chan length (length),698,1
cli/brook/main.go,2,Receive,700,
cli/brook/main.go,1,Goroutine,725,
cli/brook/main.go,1,Goroutine,737,
cli/brook/main.go,8,Known chan length (length),738,1
cli/brook/main.go,2,Receive,740,
cli/brook/main.go,1,Goroutine,902,
cli/brook/main.go,8,Known chan length (length),903,1
cli/brook/main.go,2,Receive,905,
cli/brook/main.go,1,Goroutine,909,
cli/brook/main.go,1,Goroutine,924,
cli/brook/main.go,8,Known chan length (length),925,1
cli/brook/main.go,2,Receive,927,
cli/brook/main.go,1,Goroutine,931,
cli/brook/main.go,1,Goroutine,976,
cli/brook/main.go,8,Known chan length (length),977,1
cli/brook/main.go,2,Receive,979,
cli/brook/main.go,1,Goroutine,1039,
cli/brook/main.go,8,Known chan length (length),1040,1
cli/brook/main.go,2,Receive,1042,
cli/brook/main.go,1,Goroutine,1088,
cli/brook/main.go,8,Known chan length (length),1089,1
cli/brook/main.go,2,Receive,1091,
cli/brook/main.go,1,Goroutine,1151,
cli/brook/main.go,8,Known chan length (length),1152,1
cli/brook/main.go,2,Receive,1154,
cli/brook/main.go,1,Goroutine,1195,
cli/brook/main.go,8,Known chan length (length),1196,1
cli/brook/main.go,2,Receive,1198,
cli/brook/main.go,1,Goroutine,1319,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/dns.go,0,Mutex,78,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/dns.go,0,Mutex,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/dns.go,0,Mutex,100,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/dns.go,0,Mutex,504,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/hijackhttps.go,0,Mutex,85,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/hijackhttps.go,0,Mutex,85,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/map.go,0,Mutex,69,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/map.go,0,Mutex,76,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/map.go,0,Mutex,77,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/pac.go,0,Mutex,43,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/pac.go,0,Mutex,43,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/pac.go,0,Mutex,43,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/pac.go,0,Mutex,49,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/pac.go,0,Mutex,77,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/relay.go,0,Mutex,53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/relay.go,0,Mutex,54,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/server.go,0,Mutex,54,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/server.go,0,Mutex,55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsclient.go,0,Mutex,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsclient.go,0,Mutex,72,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsclient.go,0,Mutex,130,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsclient.go,0,Mutex,130,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsclient.go,0,Mutex,130,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsclient.go,0,Mutex,130,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,58,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,139,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/txthinking++brook/wsserver.go,0,Mutex,139,
/Users/nicolasdilley/Library/Caches/go-build/a8/a8a09988312a391f947efc24a4c1a439f50a08a27e2729adc36c98c97da2f56d-d,0,Mutex,41,
