Line num,0
packages num,6,17
files num,36,109
Average Line num per featured file,19364
fasthttp_test,25642
examples/fileserver/main,84
examples/helloworldserver/main,41
examples/letsencrypt/main,32
examples/multidomain/main,41
expvarhandler/expvarhandler,103
fasthttpadaptor/fasthttpadaptor,260
fasthttpproxy/fasthttpproxy,166
fasthttputil/fasthttputil_test,928
fuzzit/cookie/fuzz,17
fuzzit/request/fuzz,18
fuzzit/response/fuzz,18
fuzzit/url/fuzz,15
pprofhandler/pprofhandler,37
prefork/prefork,360
reuseport/reuseport_test,171
stackless/stackless,386
Filename, #,Concurrent Type, Line number , Number
workerpool_test.go,9,Unknown chan length,22,
workerpool_test.go,5,Go in for,24,
workerpool_test.go,1,Goroutine,24,
workerpool_test.go,3,Send,26,
workerpool_test.go,16,Select (number of branch),30,2
workerpool_test.go,2,Receive,31,
workerpool_test.go,2,Receive,32,
workerpool_test.go,9,Unknown chan length,60,
workerpool_test.go,5,Go in for,62,
workerpool_test.go,1,Goroutine,62,
workerpool_test.go,3,Send,64,
workerpool_test.go,16,Select (number of branch),68,2
workerpool_test.go,2,Receive,69,
workerpool_test.go,2,Receive,70,
workerpool_test.go,4,Synchronous chan,83,
workerpool_test.go,2,Receive,99,
workerpool_test.go,9,Unknown chan length,111,
workerpool_test.go,5,Go in for,113,
workerpool_test.go,1,Goroutine,113,
workerpool_test.go,3,Send,131,
workerpool_test.go,1,Goroutine,145,
workerpool_test.go,15,Close chan,163,
workerpool_test.go,16,Select (number of branch),166,2
workerpool_test.go,2,Receive,167,
workerpool_test.go,2,Receive,168,
uri_test.go,8,Known chan length (length),36,10
uri_test.go,5,Go in for,38,
uri_test.go,7,Goroutine in for with constant (constant),38,10
uri_test.go,1,Goroutine,38,
uri_test.go,3,Send,40,
uri_test.go,16,Select (number of branch),45,2
uri_test.go,2,Receive,46,
uri_test.go,2,Receive,47,
client_timing_wait_test.go,4,Synchronous chan,42,
client_timing_wait_test.go,1,Goroutine,44,
client_timing_wait_test.go,15,Close chan,49,
client_timing_wait_test.go,16,Select (number of branch),82,2
client_timing_wait_test.go,2,Receive,83,
client_timing_wait_test.go,2,Receive,84,
client_timing_wait_test.go,4,Synchronous chan,116,
client_timing_wait_test.go,1,Goroutine,118,
client_timing_wait_test.go,15,Close chan,123,
client_timing_wait_test.go,16,Select (number of branch),161,2
client_timing_wait_test.go,2,Receive,162,
client_timing_wait_test.go,2,Receive,163,
compress_test.go,9,Unknown chan length,211,
compress_test.go,5,Go in for,213,
compress_test.go,1,Goroutine,213,
compress_test.go,3,Send,216,
