Line num,0
packages num,14,35
files num,33,155
Average Line num per featured file,9094
api/api,180
common/common,144
common/chains/chains,10
common/docker/docker,206
common/odp/odp,80
db/db,102
ipam/ipam,2164
ipam/paxos/paxos,461
ipam/ring/ring,1152
ipam/space/space,412
ipam/tracker/tracker,194
nameserver/nameserver,1358
net/net,1555
net/address/address,313
net/ipsec/ipsec,431
net/ipset/ipset,183
npc/npc,2048
npc/iptables/iptables,6
npc/metrics/metrics,102
npc/ulogd/ulogd,30
plugin/plugin,121
plugin/ipam/ipamplugin,189
plugin/net/plugin,488
plugin/skel/skel,277
prog/kube-utils/main,745
prog/sigproxy/main,35
prog/weave-npc/main,263
prog/weaver/main,1468
prog/weaveutil/main,996
prog/weavewait/main,49
proxy/proxy,1817
router/router,3206
testing/testing,36
testing/gossip/gossip,179
testing/kubernetes/testing/testing,278
Filename, #,Concurrent Type, Line number , Number
common/docker/client.go,1,Goroutine,98,
common/docker/client.go,10,Make chan in for,104,
common/docker/client.go,8,Known chan length (length),104,1024
common/docker/client.go,6,Range over chan,109,
common/docker/client.go,1,Goroutine,146,
common/docker/client.go,16,Select (number of branch),153,2
common/docker/client.go,2,Receive,154,
common/docker/client.go,2,Receive,156,
common/docker/client.go,2,Receive,165,
ipam/status.go,4,Synchronous chan,50,
ipam/status.go,3,Send,51,
ipam/status.go,3,Send,52,
ipam/status.go,2,Receive,63,
ipam/claim.go,3,Send,29,
ipam/allocate.go,3,Send,33,
ipam/allocate.go,3,Send,38,
ipam/allocate.go,3,Send,52,
ipam/allocate.go,3,Send,71,
ipam/http_test.go,1,Goroutine,54,
ipam/http_test.go,1,Goroutine,165,
ipam/testutils_test.go,4,Synchronous chan,160,
ipam/testutils_test.go,3,Send,161,
ipam/testutils_test.go,3,Send,162,
ipam/testutils_test.go,2,Receive,164,
ipam/testutils_test.go,4,Synchronous chan,168,
ipam/testutils_test.go,3,Send,169,
ipam/testutils_test.go,3,Send,170,
ipam/testutils_test.go,2,Receive,172,
ipam/testutils_test.go,20,Receive only chan (<-chan),176,
ipam/testutils_test.go,16,Select (number of branch),178,2
ipam/testutils_test.go,2,Receive,179,
ipam/testutils_test.go,2,Receive,181,
ipam/testutils_test.go,20,Receive only chan (<-chan),186,
ipam/testutils_test.go,17,Select with default (number of branch),187,2
ipam/testutils_test.go,2,Receive,188,
ipam/http.go,20,Receive only chan (<-chan),45,
ipam/http.go,17,Select with default (number of branch),47,2
ipam/http.go,2,Receive,48,
ipam/http.go,4,Synchronous chan,142,
ipam/http.go,3,Send,143,
ipam/http.go,3,Send,155,
ipam/http.go,2,Receive,157,
ipam/allocator_test.go,3,Send,96,
ipam/allocator_test.go,3,Send,97,
ipam/allocator_test.go,3,Send,118,
ipam/allocator_test.go,4,Synchronous chan,121,
ipam/allocator_test.go,1,Goroutine,122,
ipam/allocator_test.go,3,Send,124,
ipam/allocator_test.go,3,Send,132,
ipam/allocator_test.go,4,Synchronous chan,238,
ipam/allocator_test.go,3,Send,239,
ipam/allocator_test.go,3,Send,240,
ipam/allocator_test.go,2,Receive,241,
ipam/allocator_test.go,2,Receive,243,
ipam/allocator_test.go,15,Close chan,245,
ipam/allocator_test.go,8,Known chan length (length),284,1
ipam/allocator_test.go,4,Synchronous chan,285,
ipam/allocator_test.go,1,Goroutine,286,
ipam/allocator_test.go,17,Select with default (number of branch),289,2
ipam/allocator_test.go,2,Receive,290,
ipam/allocator_test.go,3,Send,296,
ipam/allocator_test.go,3,Send,302,
ipam/allocator_test.go,2,Receive,304,
ipam/allocator_test.go,4,Synchronous chan,320,
ipam/allocator_test.go,3,Send,323,
ipam/allocator_test.go,1,Goroutine,327,
ipam/allocator_test.go,1,Goroutine,328,
ipam/allocator_test.go,2,Receive,337,
ipam/allocator_test.go,2,Receive,337,
ipam/allocator_test.go,4,Synchronous chan,365,
ipam/allocator_test.go,3,Send,370,
ipam/allocator_test.go,3,Send,371,
ipam/allocator_test.go,2,Receive,373,
ipam/allocator_test.go,5,Go in for,599,
ipam/allocator_test.go,7,Goroutine in for with constant (constant),599,5
ipam/allocator_test.go,1,Goroutine,599,
ipam/allocator.go,9,Unknown chan length,178,
ipam/allocator.go,4,Synchronous chan,179,
ipam/allocator.go,1,Goroutine,183,
ipam/allocator.go,17,Select with default (number of branch),189,2
ipam/allocator.go,3,Send,190,
ipam/allocator.go,3,Send,199,
ipam/allocator.go,4,Synchronous chan,284,
ipam/allocator.go,2,Receive,287,
ipam/allocator.go,4,Synchronous chan,293,
ipam/allocator.go,2,Receive,302,
ipam/allocator.go,4,Synchronous chan,308,
ipam/allocator.go,3,Send,309,
ipam/allocator.go,3,Send,310,
ipam/allocator.go,2,Receive,312,
ipam/allocator.go,4,Synchronous chan,317,
ipam/allocator.go,2,Receive,327,
ipam/allocator.go,3,Send,332,
ipam/allocator.go,3,Send,345,
ipam/allocator.go,3,Send,367,
ipam/allocator.go,3,Send,377,
ipam/allocator.go,4,Synchronous chan,384,
ipam/allocator.go,3,Send,385,
ipam/allocator.go,3,Send,386,
ipam/allocator.go,2,Receive,388,
ipam/allocator.go,4,Synchronous chan,404,
ipam/allocator.go,3,Send,405,
ipam/allocator.go,3,Send,409,
ipam/allocator.go,3,Send,413,
ipam/allocator.go,2,Receive,415,
ipam/allocator.go,4,Synchronous chan,448,
ipam/allocator.go,3,Send,449,
ipam/allocator.go,3,Send,461,
ipam/allocator.go,2,Receive,463,
ipam/allocator.go,4,Synchronous chan,470,
ipam/allocator.go,3,Send,471,
ipam/allocator.go,3,Send,475,
ipam/allocator.go,3,Send,482,
ipam/allocator.go,3,Send,489,
ipam/allocator.go,3,Send,499,
ipam/allocator.go,2,Receive,501,
ipam/allocator.go,3,Send,548,
ipam/allocator.go,4,Synchronous chan,564,
ipam/allocator.go,3,Send,565,
ipam/allocator.go,3,Send,575,
ipam/allocator.go,3,Send,581,
ipam/allocator.go,3,Send,583,
ipam/allocator.go,2,Receive,586,
ipam/allocator.go,4,Synchronous chan,592,
ipam/allocator.go,3,Send,593,
ipam/allocator.go,3,Send,594,
ipam/allocator.go,2,Receive,596,
ipam/allocator.go,4,Synchronous chan,634,
ipam/allocator.go,3,Send,635,
ipam/allocator.go,3,Send,636,
ipam/allocator.go,2,Receive,638,
ipam/allocator.go,4,Synchronous chan,644,
ipam/allocator.go,3,Send,645,
ipam/allocator.go,3,Send,646,
ipam/allocator.go,2,Receive,648,
ipam/allocator.go,20,Receive only chan (<-chan),678,
ipam/allocator.go,20,Receive only chan (<-chan),678,
ipam/allocator.go,16,Select (number of branch),681,3
ipam/allocator.go,2,Receive,682,
ipam/allocator.go,2,Receive,684,
ipam/allocator.go,2,Receive,686,
nameserver/dns_test.go,1,Goroutine,34,
nameserver/dns_test.go,8,Known chan length (length),131,1
nameserver/dns_test.go,8,Known chan length (length),131,1
nameserver/dns_test.go,3,Send,133,
nameserver/dns_test.go,1,Goroutine,145,
nameserver/dns.go,5,Go in for,148,
nameserver/dns.go,1,Goroutine,148,
nameserver/nameserver.go,1,Goroutine,59,
nameserver/nameserver.go,16,Select (number of branch),62,2
nameserver/nameserver.go,2,Receive,63,
nameserver/nameserver.go,2,Receive,65,
nameserver/nameserver.go,3,Send,73,
net/if.go,4,Synchronous chan,21,
net/if.go,6,Range over chan,32,
net/if.go,4,Synchronous chan,49,
net/if.go,6,Range over chan,67,
net/iptables.go,20,Receive only chan (<-chan),136,
net/iptables.go,20,Receive only chan (<-chan),212,
net/iptables.go,17,Select with default (number of branch),220,2
net/iptables.go,2,Receive,221,
net/bridge.go,4,Synchronous chan,164,
net/bridge.go,1,Goroutine,178,
net/bridge.go,6,Range over chan,179,
net/bridge.go,4,Synchronous chan,666,
net/bridge.go,1,Goroutine,671,
net/bridge.go,6,Range over chan,672,
npc/metrics/metrics.go,1,Goroutine,110,
npc/metrics/metrics.go,1,Goroutine,117,
npc/ulogd/ulogd.go,1,Goroutine,31,
npc/ulogd/ulogd.go,1,Goroutine,32,
plugin/plugin.go,8,Known chan length (length),63,1
plugin/plugin.go,2,Receive,88,
plugin/plugin.go,21,Send only chan (chan<-),91,
plugin/plugin.go,1,Goroutine,115,
plugin/plugin.go,3,Send,116,
prog/kube-utils/peerlist_test.go,5,Go in for,63,
prog/kube-utils/peerlist_test.go,1,Goroutine,63,
prog/kube-utils/annotations.go,4,Synchronous chan,142,
prog/kube-utils/annotations.go,15,Close chan,146,
prog/kube-utils/annotations.go,15,Close chan,154,
prog/kube-utils/main.go,20,Receive only chan (<-chan),267,
prog/kube-utils/main.go,8,Known chan length (length),395,1
prog/kube-utils/main.go,4,Synchronous chan,397,
prog/kube-utils/main.go,2,Receive,400,
prog/kube-utils/main.go,15,Close chan,401,
prog/sigproxy/main.go,8,Known chan length (length),18,1
prog/sigproxy/main.go,1,Goroutine,33,
prog/sigproxy/main.go,2,Receive,36,
prog/weave-npc/main.go,1,Goroutine,336,
prog/weave-npc/main.go,1,Goroutine,337,
prog/weave-npc/main.go,1,Goroutine,338,
prog/weave-npc/main.go,8,Known chan length (length),340,1
prog/weave-npc/main.go,2,Receive,342,
prog/weaver/metrics.go,3,Send,66,
prog/weaver/metrics.go,3,Send,67,
prog/weaver/metrics.go,3,Send,73,
prog/weaver/metrics.go,3,Send,78,
prog/weaver/metrics.go,3,Send,84,
prog/weaver/metrics.go,3,Send,90,
prog/weaver/metrics.go,3,Send,96,
prog/weaver/metrics.go,3,Send,107,
prog/weaver/metrics.go,3,Send,118,
prog/weaver/metrics.go,3,Send,123,
prog/weaver/metrics.go,3,Send,129,
prog/weaver/metrics.go,21,Send only chan (chan<-),154,
prog/weaver/metrics.go,21,Send only chan (chan<-),166,
prog/weaver/metrics.go,3,Send,168,
prog/weaver/main.go,1,Goroutine,288,
prog/weaver/main.go,1,Goroutine,487,
prog/weaver/main.go,1,Goroutine,497,
prog/weaver/main.go,1,Goroutine,504,
prog/weaver/main.go,1,Goroutine,508,
prog/weaver/main.go,1,Goroutine,515,
prog/weaver/main.go,4,Synchronous chan,526,
prog/weaver/main.go,1,Goroutine,527,
prog/weaver/main.go,15,Close chan,528,
proxy/proxy_intercept.go,1,Goroutine,101,
proxy/proxy_intercept.go,1,Goroutine,102,
proxy/proxy.go,4,Synchronous chan,133,
proxy/proxy.go,4,Synchronous chan,286,
proxy/proxy.go,5,Go in for,288,
proxy/proxy.go,1,Goroutine,288,
proxy/proxy.go,3,Send,289,
proxy/proxy.go,2,Receive,297,
proxy/proxy.go,3,Send,423,
proxy/proxy.go,2,Receive,441,
proxy/proxy.go,2,Receive,461,
router/pcap.go,1,Goroutine,68,
router/awsvpc.go,4,Synchronous chan,57,
router/awsvpc.go,8,Known chan length (length),58,1
router/overlay_switch.go,4,Synchronous chan,190,
router/overlay_switch.go,4,Synchronous chan,193,
router/overlay_switch.go,4,Synchronous chan,202,
router/overlay_switch.go,8,Known chan length (length),203,1
router/overlay_switch.go,5,Go in for,234,
router/overlay_switch.go,10,Make chan in for,233,
router/overlay_switch.go,4,Synchronous chan,233,
router/overlay_switch.go,1,Goroutine,234,
router/overlay_switch.go,1,Goroutine,243,
router/overlay_switch.go,21,Send only chan (chan<-),247,
router/overlay_switch.go,20,Receive only chan (<-chan),247,
router/overlay_switch.go,16,Select (number of branch),253,4
router/overlay_switch.go,2,Receive,254,
router/overlay_switch.go,2,Receive,258,
router/overlay_switch.go,2,Receive,261,
router/overlay_switch.go,2,Receive,264,
router/overlay_switch.go,16,Select (number of branch),268,2
router/overlay_switch.go,3,Send,269,
router/overlay_switch.go,2,Receive,270,
router/overlay_switch.go,20,Receive only chan (<-chan),282,
router/overlay_switch.go,20,Receive only chan (<-chan),282,
router/overlay_switch.go,16,Select (number of branch),285,2
router/overlay_switch.go,2,Receive,286,
router/overlay_switch.go,2,Receive,289,
router/overlay_switch.go,17,Select with default (number of branch),385,2
router/overlay_switch.go,3,Send,386,
router/sleeve.go,1,Goroutine,123,
router/sleeve.go,16,Select (number of branch),240,2
router/sleeve.go,3,Send,241,
router/sleeve.go,2,Receive,242,
router/sleeve.go,9,Unknown chan length,382,
router/sleeve.go,9,Unknown chan length,383,
router/sleeve.go,8,Known chan length (length),384,1
router/sleeve.go,8,Known chan length (length),385,1
router/sleeve.go,4,Synchronous chan,386,
router/sleeve.go,4,Synchronous chan,387,
router/sleeve.go,4,Synchronous chan,408,
router/sleeve.go,8,Known chan length (length),409,1
router/sleeve.go,1,Goroutine,418,
router/sleeve.go,16,Select (number of branch),435,2
router/sleeve.go,3,Send,436,
router/sleeve.go,2,Receive,437,
router/sleeve.go,21,Send only chan (chan<-),541,
router/sleeve.go,16,Select (number of branch),542,2
router/sleeve.go,3,Send,543,
router/sleeve.go,2,Receive,544,
router/sleeve.go,16,Select (number of branch),611,2
router/sleeve.go,3,Send,612,
router/sleeve.go,2,Receive,613,
router/sleeve.go,20,Receive only chan (<-chan),629,
router/sleeve.go,20,Receive only chan (<-chan),630,
router/sleeve.go,20,Receive only chan (<-chan),631,
router/sleeve.go,20,Receive only chan (<-chan),632,
router/sleeve.go,20,Receive only chan (<-chan),633,
router/sleeve.go,21,Send only chan (chan<-),634,
router/sleeve.go,16,Select (number of branch),640,9
router/sleeve.go,2,Receive,641,
router/sleeve.go,2,Receive,644,
router/sleeve.go,2,Receive,647,
router/sleeve.go,2,Receive,650,
router/sleeve.go,2,Receive,653,
router/sleeve.go,2,Receive,662,
router/sleeve.go,2,Receive,665,
router/sleeve.go,2,Receive,668,
router/sleeve.go,2,Receive,671,
router/sleeve.go,3,Send,695,
router/sleeve.go,20,Receive only chan (<-chan),698,
