Line num,0
packages num,4,8
files num,7,32
Average Line num per featured file,970
main,145
backend/backend,1
backend/localcommand/localcommand,163
pkg/homedir/homedir,11
pkg/randomstring/randomstring,16
server/server,981
utils/utils,147
webtty/webtty,367
Filename, #,Concurrent Type, Line number , Number
main.go,8,Known chan length (length),100,1
main.go,1,Goroutine,101,
main.go,3,Send,102,
main.go,22,chan used as a param,122,
main.go,8,Known chan length (length),123,1
main.go,16,Select (number of branch),130,2
main.go,2,Receive,131,
main.go,2,Receive,134,
main.go,16,Select (number of branch),139,2
main.go,2,Receive,140,
main.go,2,Receive,142,
main.go,2,Receive,145,
main.go,2,Receive,149,
backend/localcommand/local_command.go,4,Synchronous chan,39,
backend/localcommand/local_command.go,1,Goroutine,59,
backend/localcommand/local_command.go,16,Select (number of branch),84,2
backend/localcommand/local_command.go,2,Receive,85,
backend/localcommand/local_command.go,2,Receive,87,
server/handler_atomic.go,2,Receive,22,
server/server.go,8,Known chan length (length),137,1
server/server.go,1,Goroutine,138,
server/server.go,3,Send,150,
server/server.go,1,Goroutine,154,
server/server.go,16,Select (number of branch),155,2
server/server.go,2,Receive,156,
server/server.go,2,Receive,158,
server/server.go,16,Select (number of branch),162,2
server/server.go,2,Receive,163,
server/server.go,2,Receive,169,
server/handlers.go,1,Goroutine,22,
server/handlers.go,16,Select (number of branch),23,2
server/handlers.go,2,Receive,24,
server/handlers.go,2,Receive,26,
webtty/webtty_test.go,1,Goroutine,33,
webtty/webtty_test.go,1,Goroutine,88,
webtty/webtty.go,8,Known chan length (length),67,2
webtty/webtty.go,1,Goroutine,69,
webtty/webtty.go,3,Send,70,
webtty/webtty.go,1,Goroutine,86,
webtty/webtty.go,3,Send,87,
webtty/webtty.go,16,Select (number of branch),103,2
webtty/webtty.go,2,Receive,104,
webtty/webtty.go,2,Receive,106,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,0,Mutex,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,0,Mutex Lock(),147,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,0,Mutex Unlock(),148,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,21,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty_test.go,0,Mutex,21,
