Line num,0
packages num,7,16
files num,13,94
Average Line num per featured file,3635
cmd/micro/main,883
internal/action/action,4850
internal/buffer/buffer,4769
internal/clipboard/clipboard,198
internal/config/config,1777
internal/display/display,1631
internal/info/info,208
internal/lua/lua,536
internal/screen/screen,177
internal/shell/shell,268
internal/util/util,497
internal/views/views,397
pkg/highlight/highlight,705
runtime/config,26
runtime/syntax/main,191
tools/main,365
Filename, #,Concurrent Type, Line number , Number
cmd/micro/micro_test.go,8,Known chan length (length),23,8
cmd/micro/micro_test.go,3,Send,109,
cmd/micro/micro.go,4,Synchronous chan,348,
cmd/micro/micro.go,8,Known chan length (length),350,1
cmd/micro/micro.go,8,Known chan length (length),351,1
cmd/micro/micro.go,1,Goroutine,356,
cmd/micro/micro.go,3,Send,362,
cmd/micro/micro.go,2,Receive,370,
cmd/micro/micro.go,16,Select (number of branch),374,2
cmd/micro/micro.go,2,Receive,375,
cmd/micro/micro.go,2,Receive,377,
cmd/micro/micro.go,16,Select (number of branch),402,7
cmd/micro/micro.go,2,Receive,403,
cmd/micro/micro.go,2,Receive,408,
cmd/micro/micro.go,2,Receive,414,
cmd/micro/micro.go,2,Receive,415,
cmd/micro/micro.go,2,Receive,416,
cmd/micro/micro.go,2,Receive,418,
cmd/micro/micro.go,2,Receive,420,
cmd/micro/micro.go,2,Receive,427,
internal/action/command.go,1,Goroutine,688,
internal/buffer/save.go,8,Known chan length (length),40,1
internal/buffer/save.go,1,Goroutine,42,
internal/buffer/save.go,2,Receive,43,
internal/buffer/backup.go,2,Receive,40,
internal/buffer/backup.go,8,Known chan length (length),50,10
internal/buffer/backup.go,1,Goroutine,52,
internal/buffer/backup.go,17,Select with default (number of branch),57,2
internal/buffer/backup.go,3,Send,58,
internal/buffer/buffer.go,1,Goroutine,799,
internal/clipboard/terminal.go,16,Select (number of branch),19,2
internal/clipboard/terminal.go,2,Receive,20,
internal/clipboard/terminal.go,2,Receive,25,
internal/config/autosave.go,4,Synchronous chan,15,
internal/config/autosave.go,1,Goroutine,32,
internal/config/autosave.go,3,Send,41,
internal/config/plugin_installer.go,4,Synchronous chan,96,
internal/config/plugin_installer.go,5,Go in for,102,
internal/config/plugin_installer.go,1,Goroutine,102,
internal/config/plugin_installer.go,3,Send,103,
internal/config/plugin_installer.go,1,Goroutine,107,
internal/config/plugin_installer.go,6,Range over chan,109,
internal/config/plugin_installer.go,15,Close chan,115,
internal/screen/screen.go,17,Select with default (number of branch),44,2
internal/screen/screen.go,3,Send,45,
internal/screen/screen.go,8,Known chan length (length),138,8
internal/screen/screen.go,8,Known chan length (length),191,8
internal/shell/job.go,8,Known chan length (length),12,100
internal/shell/job.go,3,Send,50,
internal/shell/job.go,1,Goroutine,78,
internal/shell/job.go,3,Send,82,
internal/shell/shell.go,8,Known chan length (length),105,1
internal/shell/shell.go,1,Goroutine,107,
internal/shell/shell.go,6,Range over chan,108,
internal/shell/terminal.go,4,Synchronous chan,25,
internal/shell/terminal.go,1,Goroutine,95,
internal/shell/terminal.go,3,Send,120,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/display/bufwindow.go,0,Mutex,117,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/display/bufwindow.go,0,Mutex,205,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/display/bufwindow.go,0,Mutex,362,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/display/infowindow.go,0,Mutex,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/display/statusline.go,0,Mutex,103,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/display/termwindow.go,0,Mutex,21,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/backup.go,0,Mutex,40,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/buffer.go,0,Mutex,245,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/buffer.go,0,Mutex,292,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/eventhandler.go,0,Mutex,151,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Lock(),322,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Unlock(),323,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Lock(),329,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Unlock(),330,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Lock(),336,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Unlock(),337,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Lock(),343,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Unlock(),344,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Lock(),349,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Unlock(),350,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Lock(),355,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/line_array.go,0,Mutex Unlock(),356,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/save.go,0,Mutex,34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/serialize.go,0,Mutex,57,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/serialize.go,0,Mutex,57,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/buffer_test.go,0,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/buffer_test.go,0,Mutex,126,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/buffer_test.go,0,Mutex,134,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/buffer/buffer_test.go,0,Mutex,154,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,0,Mutex Lock(),19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,0,Mutex Unlock(),21,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,0,Mutex Lock(),25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,0,Mutex Unlock(),27,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,0,Mutex Lock(),34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/autosave.go,0,Mutex Unlock(),36,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,0,Waitgroup,93,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,0,Waitgroup Add(var),94,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,0,Waitgroup,98,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/zyedidia++micro/internal/config/plugin_installer.go,0,Waitgroup Add(const),99,&{14183959 INT 1} val is : 1
